id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,ii_approach,ii_elements_included,ii_programmes_mentioned
46325672,Cassel (1962) 1_2,1962,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",8.4455,1.1815,NA,Computer Mathematics Achievement Test (Grade 12),With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",8.4455,1.1815,NA,NA,NA,NA,NA,NA,64,1,4,['Secondary/High school'],"['17', '18', '14', '15', '16']",NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],['Digital technology'],NA,3,60,NA,['Individual pace'],['Digital technology'],"['Programmed instruction', 'Computer-assisted instruction']"
41661305,Charles (1970),1970,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",0.8,0.1698,['Pre-post gain'],Cloze Test I,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.8,0.1698,NA,NA,NA,300,3,NA,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],3,2,80,['Toolkit: Individualised instruction'],['Individual work'],NA,NA
41661195,Chien (2008),2008,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.37,0.2563,NA,Post test Score (Mathematic),With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.37,0.2563,NA,NA,NA,NA,NA,NA,62,1,2,['Secondary/High school'],"['12', '13']",NA,NA,['Malaysia'],['Individual RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],['Digital technology'],1,5 ,60,NA,"['Individual work', 'Individual pace', 'Individual feedback']",['Digital technology'],"['Computer-assisted instruction', 'Intelligent tutoring']"
49769671,Chu (2014),2014,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.5177,0.1827,['Post-test adjusted for baseline attainment'],Learning Achievement (Fractions) - Individualised Instruction,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.5177,0.1827,NA,NA,NA,NA,NA,NA,124,1,4,['Primary/elementary school'],"['10', '11']",NA,NA,['Taiwan'],['Cluster RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],['Class teachers'],3 ,3,60 ,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace', 'Individual feedback']","['Digital technology', 'Testing for mastery']",['Intelligent tutoring']
41661134,Clough (1971),1971,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0189,0.0888,['Pre-post gain'],SRA Maths total-– Individual. Instruct,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0189,0.0888,NA,NA,NA,NA,NA,NA,507,4,NA,['Primary/elementary school'],"['6', '7', '8', '9']",NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'One to one']",['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],['Class teachers'],32,5,50,['Toolkit: Individualised instruction'],"['Individual pace', 'Individual work']","['Pre-testing of content', 'Testing for mastery']",['Individually Prescribed Instruction (IPI)']
41661058,Cohen (1970),1970,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.4243,0.1222,['Post-test adjusted for baseline attainment'],"SRA Modern Math Understanding Test, Form D (Post-test)",With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.4243,0.1222,NA,NA,NA,NA,NA,NA,274,2,NA,['Middle school'],"['11', '12']",NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],NA,5,25,['Toolkit: Individualised instruction'],['Individual pace'],"['Pre-testing of content', 'Testing for mastery']",NA
41661059,Corbin (1974),1974,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1511,0.1406,['Post-test unadjusted (select one from this group)'],IOWA - Arithmetic Concepts (Grade 7&8),With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1511,0.1406,NA,NA,NA,NA,NA,NA,204,1,11,['Middle school'],"['12', '13', '14']",NA,NA,['Germany'],['Individual RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['No'],['No'],['No'],['During regular school hours '],['Class teachers'],24 , , ,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace']","['Collaboration', 'Testing for mastery']","['Individually Prescribed Instruction (IPI)', 'Mastery learning']"
41661060,Cowan (1967),1967,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5081,0.2612,['Post-test unadjusted (select one from this group)'],STEP (R),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5081,0.2612,NA,NA,NA,NA,NA,NA,['Science primary outcome'],0.5081,0.2612,NA,NA,NA,70,10,NA,['Secondary/High school'],"['14', '15', '16', '17', '18']",NA,NA,['USA'],['Prospective QED'],['Student alone (self-administered)'],['No'],['No'],['No'],['During regular school hours '],['Unclear/not specified'],20,5 , ,['Toolkit: Individualised instruction'],['Individual work'],NA,NA
49769718,Coyne (2013),2013,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4019,0.2131,['Post-test adjusted for baseline attainment AND clustering'],CTOPP Sound matching - Individualised Instruction,With active control,['Sample: Low achievers'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4019,0.2131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,9,40,['Primary/elementary school'],['5'],NA,NA,['USA'],['Cluster RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],36,5 ,30,['Toolkit: Individualised instruction'],"['Individual pace', 'Individual work']","['Pre-testing of content', 'Testing for mastery']",['Mastery learning']
49769711,Craig (2013),2013,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0673,0.1258,['Post-test adjusted for baseline attainment'],6th Grade TCAP - Individualised Instruction,With active control,['Sample: Low achievers'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0673,0.1258,NA,NA,NA,NA,NA,NA,253,4,16,['Middle school'],"['11', '12']",NA,NA,['USA'],['Multisite RCT'],['Student alone (self-administered)'],['Yes (Please specify)'],['Yes'],['No'],['Before/after school'],['Digital technology'],25 ,2,120,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace']",['Digital technology'],['Intelligent tutoring']
41661061,Crangle (1971),1971,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.4378,0.2572,['Post-test unadjusted (select one from this group)'],Maths Achievement ,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.4378,0.2572,NA,NA,NA,NA,NA,NA,62,1,NA,['Middle school'],"['13', '14']",NA,NA,['USA'],['Prospective QED'],['Student alone (self-administered)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],8,5 ,60,['Toolkit: Individualised instruction'],"['Individual pace', 'Individual work']","['Pre-testing of content', 'Testing for mastery']",['Mastery learning']
41661104,Crawford (1970),1970,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3186,0.3711,['Post-test unadjusted (select one from this group)'],Wide Range Achievement Test,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3186,0.3711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,2,['Middle school'],"['12', '13']",NA,NA,['USA'],['Prospective QED'],['Student alone (self-administered)'],['Yes (Please specify)'],['Yes'],['Yes'],['Before/after school'],['Digital technology'],8 ,5 ,15,['Toolkit: Individualised instruction'],['Individual work'],"['Digital technology', 'Pre-testing of content']",['Computer-assisted instruction']
41661309,Crocker (1974),1974,['Conference paper'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",-0.2504,0.1833,['Post-test unadjusted (select one from this group)'],Achievement Test,With active control,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",-0.2504,0.1833,NA,NA,NA,120,1,4,['Middle school'],"['11', '12']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['External teachers'],2,1, ,['Toolkit: Individualised instruction'],['Individual pace'],['Collaboration'],['Programmed instruction']
41661062,Crosby (1960),1960,['Technical report'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1048,0.0665,NA,Mathematics Achievement Test,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1048,0.0665,NA,NA,NA,NA,NA,NA,95,9,36,['Secondary/High school'],"['14', '15']",NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],36,5 ,45,['Toolkit: Individualised instruction'],"['Individual pace', 'Individual work']","['Collaboration', 'Peer feedback', 'Testing for mastery']",['Mastery learning']
41661063,Crosby (1960),1960,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0665,0.2054,['Post-test unadjusted (select one from this group)'],Algebra- Individ. Instr.-A+B,With business as usual,['Sample: All'],Mathematics,"['Test type: Standardised test ', 'Test type: National test']",NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0665,0.2054,NA,NA,NA,NA,NA,NA,95,2,4,['Secondary/High school'],"['14', '15']",NA,NA,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['No'],['No'],['No'],['During regular school hours '],['Research staff'], , ,45,['Toolkit: Individualised instruction'],['Individual work'],"['Collaboration', 'Testing for mastery']",NA
41661310,Darnowski (1968),1968,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",0.6774,0.1539,['Post-test adjusted for baseline attainment'],Nuclear Chemistry - Science - Branched vs Control,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.6774,0.1539,NA,NA,NA,104,2,7,['Secondary/High school'],"['14', '15', '16', '17', '18']",NA,NA,['USA'],['Prospective QED'],['Student alone (self-administered)'],['No'],['Yes'],['No'],['During regular school hours '],['Class teachers'],7,1,40 ,['Toolkit: Individualised instruction'],"['Individual feedback', 'Individual pace']","['Digital technology', 'Testing for mastery']","['Programmed instruction', 'Mastery learning']"
41661313,Denton (1972),1972,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",0.0486,0.3028,NA,Physics Achievement Instrument,With business as usual,NA,Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.0486,0.3028,NA,NA,NA,44,1,3,['Secondary/High school'],"['16', '17', '18']",NA,NA,['USA'],['Cluster RCT'],['Student alone (self-administered)'],['No'],['Yes'],['No'],['During regular school hours '],"['Class teachers', 'Digital technology']",5,5 ,20,NA,"['Individual work', 'Individual pace', 'Individual feedback']","['Digital technology', 'Pre-testing of content']","['Computer-assisted instruction', 'Individually Prescribed Instruction (IPI)']"
41661312,Denton (1975),1975,['Conference paper'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",0.4753,0.103,['Post-test unadjusted (select one from this group)'],Objectives mastered,With active control,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.4753,0.103,NA,NA,NA,47,1,2,['Secondary/High school'],['No information provided'],NA,NA,['USA'],['Cluster RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],5,5 ,50 ,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace']",['Testing for mastery'],['Mastery learning']
49769719,Denton (2013),2013,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Reading primary outcome']",0.414,0.2501,['Post-test unadjusted (select one from this group)'],WJ III Basic Reading,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.414,0.2501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,10,NA,['Primary/elementary school'],"['7', '8']",TRUE,79.0,['USA'],['Individual RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",24,5 ,45 ,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace', 'Individual feedback']",['Testing for mastery'],['Program for Learning in Accordance with Needs (PLAN)']
41661105,Dick (1970),1970,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Other outcome']",0.8899,0.2621,['Post-test unadjusted (select one from this group)'],Post test Score,With business as usual,['Sample: All'],Curriculum  other,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,2,"['Secondary/High school', 'Middle school']","['13', '14']",NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],"['Class teachers', 'Digital technology']",0.2 ,1,60,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace']",['Digital technology'],"['Computer-assisted instruction', 'Programmed instruction']"
41661137,Earnshaw (1972),1972,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.3786,0.1519,['Post-test unadjusted (select one from this group)'],Gates-MacGinitie (Comprehension),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.3786,0.1519,NA,NA,NA,['Mathematics primary outcome'],-0.4855,0.1528,NA,NA,NA,NA,NA,NA,183,1,8,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],36 , , ,['Toolkit: Individualised instruction'],['Individual work'],NA,NA
41661065,Englert (1972),1972,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1631,0.1802,['Post-test unadjusted (select one from this group)'],Algebra Test  Teachers A+B+C  Individualised instruction,With business as usual,['Sample: Low achievers'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1631,0.1802,NA,NA,NA,NA,NA,NA,147,1,6,['Secondary/High school'],"['14', '15']",NA,NA,['USA'],['Cluster RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],16,5 ,40,['Toolkit: Individualised instruction'],['Individual pace'],['Self-checking/ self-marking'],['Audio-tutorial instruction']
41661315,Eshleman (1967),1967,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",-0.5625,0.0716,['Post-test unadjusted (select one from this group)'],Solar and Cells combined Immediate learning and retention combined,With business as usual,['Sample: All'],Science,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",-0.5625,0.0716,NA,NA,NA,99,1,12,['Middle school'],"['13', '14']",NA,NA,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],4 , ,40,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace', 'Individual feedback']",['Self-checking/ self-marking'],"['Programmed instruction', 'Mastery learning']"
47269795,Evans (1985) II,1985,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.7248,0.2067,['Post-test unadjusted (select one from this group)'],Stanford Cloze,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.7248,0.2067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,20,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Retrospective QED  '],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],36 ,5 ,50,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace']",['Testing for mastery'],['Mastery learning']
49769712,Fanusi (2015),2015,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.4881,0.1216,['Post-test unadjusted (select one from this group)'],CRCT math scores,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.4881,0.1216,NA,NA,NA,NA,NA,NA,294,1,NA,['Middle school'],"['11', '12', '13']",NA,NA,['USA'],['Retrospective QED  '],['Student alone (self-administered)'],['No'],['Yes'],['No'],['During regular school hours '],['Class teachers'],36 ,5 ,45,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace']",['Digital technology'],['Mastery learning']
41661141,Ferney (1969),1969,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2606,0.1044,['Post-test unadjusted (select one from this group)'],CAT  Reading- Individual. Instr.,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2606,0.1044,NA,NA,NA,['Mathematics primary outcome'],-0.2436,0.1044,NA,NA,NA,NA,NA,NA,371,NA,NA,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Prospective QED'],['One to one'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],36 ,5 ,90,['Toolkit: Individualised instruction'],['Individual work'],NA,['Program for Learning in Accordance with Needs (PLAN)']
41661142,Fielder (1971) 1_1,1971,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.3522,0.15,['Post-test unadjusted (select one from this group)'],Stanford Achievement Test (Computation),With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.3522,0.15,NA,NA,NA,NA,NA,NA,258,1,NA,['Primary/elementary school'],"['10', '9', '11']",NA,NA,['USA'],['Retrospective QED  '],['Student alone (self-administered)'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],"['Class teachers', 'Digital technology']",72,5 ,60,['Toolkit: Individualised instruction'],"['Individual work', 'Individual feedback']",['Digital technology'],['Individually Prescribed Instruction (IPI)']
45336731,Fielder (1971) 1_2,1971,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.4332,0.1475,['Post-test unadjusted (select one from this group)'],Stanford Achievement Test (Computation),With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.4332,0.1475,NA,NA,NA,NA,NA,NA,261,1,NA,['Primary/elementary school'],"['9', '10', '11']",NA,NA,['USA'],['Retrospective QED  '],['Student alone (self-administered)'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],"['Class teachers', 'Digital technology']",72,5 ,60,['Toolkit: Individualised instruction'],"['Individual work', 'Individual feedback']",['Digital technology'],['Individually Prescribed Instruction (IPI)']
41661066,Fisher (1967) 1_1,1967,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.265,0.23,['Post-test unadjusted (select one from this group)'],Arithmetic reasoning,With active control,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.265,0.23,NA,NA,NA,NA,NA,NA,83,1,2,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],36 ,5 ,40,['Toolkit: Individualised instruction'],"['Individual pace', 'Individual feedback']",['Self-checking/ self-marking'],NA
45336732,Fisher (1967) 1_2,1967,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3341,0.24,['Post-test unadjusted (select one from this group)'],California Test of Basic Skills (Arithmetic Reasoning),With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3341,0.24,NA,NA,NA,NA,NA,NA,55,1,4,['Primary/elementary school'],"['11', '12']",NA,NA,['USA'],['Cluster RCT'],"['Large group/class teaching (+6)', 'One to one']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],36 ,5 , ,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace', 'Individual feedback']",['Self-checking/ self-marking'],NA
41661143,Fisher (1968) 1_1,1968,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",1.042,0.229,['Post-test unadjusted (select one from this group)'],Metropolitan Achievement Test (Grade Equivalent Score) ,With active control,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",1.042,0.229,NA,NA,NA,NA,NA,NA,323,5,11,['Primary/elementary school'],"['8', '9', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Student alone (self-administered)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],36 ,5 ,50,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace', 'Individual feedback']","['Pre-testing of content', 'Testing for mastery']",['Programmed instruction']
45336733,Fisher (1968) 1_2,1968,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-1.0523,0.2218,['Post-test unadjusted (select one from this group)'],Metropolitan Achievement Score (Grade Equivalent,With active control,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-1.0523,0.2218,NA,NA,NA,NA,NA,NA,263,5,NA,['Primary/elementary school'],"['8', '9', '10', '11']",NA,NA,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)']",['No'],['No'],['No'],['During regular school hours '],['Class teachers'],108,5,50,['Toolkit: Individualised instruction'],"['Individual pace', 'Individual work']","['Testing for mastery', 'Self-checking/ self-marking']",['Mastery learning']
41661067,Fisher (1973),1973,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2672,0.2206,['Post-test unadjusted (select one from this group)'],Maths Achievement scores,With business as usual,['Sample: All'],Mathematics,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2672,0.2206,NA,NA,NA,NA,NA,NA,83,1,8,['Secondary/High school'],"['16', '17']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],['Class teachers'],36 ,1,100,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace', 'Individual feedback']","['Digital technology', 'Pre-testing of content', 'Testing for mastery']","['Individually Prescribed Instruction (IPI)', 'Computer-assisted instruction', 'Personalized System of Instruction (Keller)', 'Mastery learning']"
41661068,Fremont (1963),1963,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1476,0.247,['Post-test adjusted for baseline attainment'],STEP- Individ.Instr. - 1 year group,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1476,0.247,NA,NA,NA,NA,NA,NA,100,2,4,['Secondary/High school'],"['15', '16']",NA,NA,['USA'],['Multisite RCT'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],32, , ,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace']",['Collaboration'],['Program for Learning in Accordance with Needs (PLAN)']
41661069,Friend (1968),1968,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",0.0323,0.1873,['Post-test unadjusted (select one from this group)'],Watson-Glaser Critical Thinking Appraisal ,With business as usual,['Sample: All'],Science,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.0323,0.1873,NA,NA,NA,114,1,4,['Middle school'],"['13', '14']",NA,NA,['USA'],['Cluster RCT'],['Student alone (self-administered)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],24, , ,['Toolkit: Individualised instruction'],['Individual work'],['Self-checking/ self-marking'],NA
41661317,Fritz (1963),1963,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",0.1059,0.2142,['Pre-post gain'],Cognitive Achievement - Individualised instruction,With active control,"['Sample: High achievers', 'Sample: Low achievers', 'Sample: Average']",Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.1059,0.2142,NA,NA,NA,88,1,4,['Secondary/High school'],['No information provided'],NA,NA,['USA'],['Prospective QED'],['Student alone (self-administered)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],36 , ,30 ,['Toolkit: Individualised instruction'],['Individual work'],NA,NA
