class_treat_info,class_treat_ht,class_cont_info,class_cont_ht,class_total_info,class_total_ht,class_na_raw,class_na_info,class_na_ht
NA,NA,NA,NA,128,"['Page 11:\n[¬s]""At the conclusion of the recruitment effort a total of 45 schools (22 rural and 23\nsuburban schools with a total of 128 classrooms)[¬e]""']",NA,NA,NA
59,"['Page 8:\n[¬s]""The random assignment was done at the teacher\nlevel. As a result we had 59 classrooms in the ITSS group[¬e]""']",49,"['Page 8:\n[¬s]""d 49\nin the control group after random assignment of the teachers within\neach school[¬e]""']",108,NA,NA,NA,NA
24,"['Page 10:\n[¬s]""24 teachers originally selected[¬e]""']",25,"['Page 10:\n[¬s]"" 25 effect sizes[¬e]""']",49,"['Page 10:\n[¬s]""24 teachers""\n""25 effect sizes[¬e]""']",NA,NA,NA
2,"['Page 7:\n[¬s]""two classes[¬e]""']",2,"['Page 7:\n[¬s]""two classes[¬e]""']",4,"['Page 7:\n[¬s]""The six classes participating in the study included two classes in each of three different schools with the research and control group schools being randomly assigned.[¬e]""']",NA,NA,NA
2,"['Page 36:\n[¬s]""Four groups were drawn randomly from two sixth grade language arts classes taught by different teachers.[¬e]""']",2,"['Page 36:\n[¬s]""Four groups were drawn randomly from two sixth grade language arts classes taught by different teachers.[¬e]""']",2,"['Page 36:\n[¬s]""Four groups were drawn randomly from two sixth grade language arts classes taught by different teachers.[¬e]""']",NA,NA,NA
2,"['Page 36:\n[¬s]""Four groups were drawn randomly from two sixth grade language arts classes taught by different teachers.[¬e]""']",2,"['Page 36:\n[¬s]""Four groups were drawn randomly from two sixth grade language arts classes taught by different teachers.[¬e]""']",2,"['Page 36:\n[¬s]""Four groups were drawn randomly from two sixth grade language arts classes taught by different teachers.[¬e]""']",NA,NA,NA
1,NA,1,NA,2,"['Page 2:\n[¬s]""Both time-on-task classrooms[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"['Page 45:\n[¬s]""Five classes w e r e a s s i g n e d to group X[¬e]""']",5,"['Page 45:\n[¬s]""five w e r e in Y[¬e]""']",10,"['Page 45:\n[¬s]""Five""\n""five[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
