n_cont_ht,n_cont_info,Control_Group_Pre-test_Mean_HT,Control_Group_Pre-test_Mean_comments,Control_Group_Pre-test_SD_HT,Control_Group_Pre-test_SD_comments,Control_Group_Post-test_Mean_HT,Control_Group_Post-test_Mean_comments,Control_Group_Post-test_SD_HT,Control_Group_Post-test_SD_comments,Control_Group_Gain_Score_Mean_HT,Control_Group_Gain_Score_Mean_comments,Control_Group_Gain_Score_SD_HT,Control_Group_Gain_Score_SD_comments,Control_Group_Other_Info_HT,Control_Group_Other_Info_comments,Follow_Up_Data_Reported,Follow_Up_Data_Reported_YES,Follow_Up_Data_Reported_NO,Follow_Up_Data_Reported_HT,Follow_Up_Data_Reported_comments
NA,90,"['Page 10:\n[¬s]""462.94[¬e]""']",462.94,"['Page 10:\n[¬s]""(22.54[¬e]""']",22.54,"['Page 10:\n[¬s]""479.72[¬e]""']",479.72,"['Page 10:\n[¬s]""(15.19[¬e]""']",15.19,NA,16.78,NA,11.41,NA,NA,['No'],0,1,NA,NA
"['Page 4:\n[¬s]""f 1[¬e]""']",15,"['Page 8:\n[¬s]""11[¬e]""']",11.47,"['Page 8:\n[¬s]""6.[¬e]""']",6.45,"['Page 8:\n[¬s]"" 9.[¬e]""']",9.93,"['Page 8:\n[¬s]""9.3[¬e]""']",9.39,"['Page 8:\n[¬s]""-1.[¬e]""']",-1.53,"['Page 8:\n[¬s]"" 7.[¬e]""']",7.79,NA,NA,['No'],0,1,NA,NA
"['Page 4:\n[¬s]""f 15 [¬e]""']",NA,"['Page 8:\n[¬s]"" 11.[¬e]""']",11.47,"['Page 8:\n[¬s]""6.[¬e]""']",6.45,"['Page 8:\n[¬s]"" 9.[¬e]""']",9.93,"['Page 8:\n[¬s]"" 9.[¬e]""']",9.39,"['Page 8:\n[¬s]""-1.5[¬e]""']",-1.53,"['Page 8:\n[¬s]"" 7.[¬e]""']",7.79,NA,NA,['No'],0,1,NA,NA
NA,16,NA,82.78,NA,18.41,NA,97.94,NA,23.25,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Yes'],1,0,"['Page 5:\n[¬s]""Approximately 3 weeks later, the same criterion test was readministered to assess delayed retention.[¬e]""']",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Yes'],1,0,"['Page 6:\n[¬s]""t. Posttests were conducted in two stages. The immediate posttest was administered immediately after the training session, while the delayed posttest took place two weeks[¬e]""']",NA
"['Page 6:\n[¬s]""20[¬e]""']",20,"['Page 6:\n[¬s]""3.050[¬e]""']",3.050,"['Page 7:\n[¬s]""0.648[¬e]""']",0.648,"['Page 6:\n[¬s]""3.250[¬e]""']",3.250,"['Page 7:\n[¬s]""0.494[¬e]""']",0.494,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 7:\n[¬s]"" 25[¬e]""']",25,"['Page 7:\n[¬s]""3.296[¬e]""']",3.296,"['Page 7:\n[¬s]"" 0.443[¬e]""']", 0.443,"['Page 7:\n[¬s]"" 3.360[¬e]""']",3.360,NA,0.512,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,35,"['Page 5:\n[¬s]""9.31 [¬e]""']",9.31,"['Page 5:\n[¬s]""1.62 I[¬e]""']",1.62,"['Page 5:\n[¬s]""8.94 [¬e]""']",8.94,"['Page 5:\n[¬s]""1.95 [¬e]""']",1.95,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,12,NA,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Yes'],1,0,"['Page 3:\n[¬s]""One week following the experi\xad mental phase, each subject read each trigram once to assess maintenance across time. The maintenance test pro\xad vided a dependent measure of experi\xad mental words correct taken 1 week following feedback.[¬e]""']",NA
"['Page 6:\n[¬s]""10[¬e]""']",10,"['Page 6:\n[¬s]""26.60[¬e]""']",26.60,"['Page 6:\n[¬s]""3.92[¬e]""']",3.92,"['Page 6:\n[¬s]""26.90[¬e]""']",26.90,"['Page 6:\n[¬s]""4.95[¬e]""']",4.95,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,46,NA,2.36,NA,0.65,NA,2.62,NA,0.84,NA,NA,NA,NA,NA,NA,['Yes'],1,0,"['Page 17:\n[¬s]"" A week and 2 days after the transfer task, and thirteen days after the intervention, students wrote a persuasive essay on a new persuasive topic and revised their draft the next day; this task was done to examine maintenance.[¬e]""']",NA
NA,44,"['Page 10:\n[¬s]""2.36[¬e]""']",2.36,"['Page 10:\n[¬s]""(0.65[¬e]""']",0.65,"['Page 10:\n[¬s]""2.56[¬e]""']",2.56,"['Page 10:\n[¬s]""(0.68[¬e]""']",0.68,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 9:\n[¬s]""N=19[¬e]""']",19,NA,NA,NA,NA,"['Page 9:\n[¬s]""2.16[¬e]""']",2.16,"['Page 9:\n[¬s]""1.26[¬e]""']",1.26,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 4:\n[¬s]""TABLE I[¬e]""']",70,NA,NA,NA,NA,"['Page 4:\n[¬s]""TABLE I[¬e]""']",18.0,"['Page 4:\n[¬s]""TABLE I[¬e]""']",2.22,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,70,NA,NA,NA,NA,"['Page 4:\n[¬s]""TABLE I[¬e]""']",18,"['Page 4:\n[¬s]""TABLE I[¬e]""']",2.22,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Yes'],1,0,"['Page 1:\n[¬s]""Children were given a pretest and immediate and delayed posttests, each of which was comprised of five tasks,[¬e]""']",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 23:\n[¬s]""1,013[¬e]""']",1013,NA,NA,NA,NA,"['Page 23:\n[¬s]""101.17[¬e]""']",101.17,"['Page 23:\n[¬s]""15.23[¬e]""']",15.23,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,Only the post test data is available.
NA,10,"['Page 107:\n[¬s]"" 101.8[¬e]""']",101.8,"['Page 107:\n[¬s]""11.3[¬e]""']",11.3,"['Page 107:\n[¬s]""103.4[¬e]""']",103.4,"['Page 107:\n[¬s]""11.5[¬e]""']",11.5,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,"['Page 3:\n[¬s]""16.39 10.49[¬e]""']",13.35,"['Page 3:\n[¬s]""6.16 6.42[¬e]""']",6.88,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,2819,NA,NA,NA,NA,"['Page 9:\n[¬s]""students completing\nconventional Algebra I (274.7).[¬e]""']",274.7,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,24,NA,NA,NA,NA,"['Page 4:\n[¬s]""12.59[¬e]""']",NA,"['Page 4:\n[¬s]""4,25[¬e]""']",NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,11,"['Page 5:\n[¬s]""9.2[¬e]""']",9.2,"['Page 5:\n[¬s]""(1.7)[¬e]""']",1.7,"['Page 5:\n[¬s]""11.9[¬e]""']",11.9,"['Page 5:\n[¬s]""(1.5)[¬e]""']",1.5,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Yes'],1,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Yes'],1,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 4:\n[¬s]""The experiment was run in six shifts of from eight to 10 children. Approxi\xad mately equal numbers of children from within each shift received each of the three conditions.[¬e]""']",17,"['Page 4:\n[¬s]""28[¬e]""']",28,NA,NA,"['Page 4:\n[¬s]""•43[¬e]""']",43,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 8:\n[¬s]""Conventional""\n""(n = 30)""\n""Conventional""\n""(n = 31)[¬e]""']",61,NA,NA,NA,NA,NA,60.903,NA,14.975,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,52,"['Page 3:\n[¬s]""6.4[¬e]""']",6.4,"['Page 3:\n[¬s]""7.0[¬e]""']",7,"['Page 3:\n[¬s]""14.4[¬e]""']",14.4,"['Page 3:\n[¬s]""13.5[¬e]""']",13.5,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 92:\n[¬s]""248[¬e]""']",248,"['Page 92:\n[¬s]""17.09[¬e]""']",17.09,"['Page 92:\n[¬s]""4.69[¬e]""']",4.69,"['Page 95:\n[¬s]""25.04[¬e]""']",25.04,NA,NA,"['Page 95:\n[¬s]""7.99[¬e]""']",7.99,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Yes'],1,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,223,"['Page 10:\n[¬s]""22.30[¬e]""']",22.30,"['Page 10:\n[¬s]""10.71[¬e]""']",10.71,"['Page 10:\n[¬s]""25.52[¬e]""']",25.52,"['Page 10:\n[¬s]""10.90[¬e]""']",10.90,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,1294,"['Page 18:\n[¬s]""27.29[¬e]""']",27.29,"['Page 18:\n[¬s]""11.44[¬e]""']",11.44,"['Page 18:\n[¬s]""32.84[¬e]""']",32.84,"['Page 18:\n[¬s]""12.21[¬e]""']",12.21,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,887,"['Page 12:\n[¬s]""35.46[¬e]""']",35.46,"['Page 12:\n[¬s]""11.51[¬e]""']",11.51,"['Page 12:\n[¬s]""37.42[¬e]""']",37.42,"['Page 12:\n[¬s]""13.47[¬e]""']",13.47,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 62:\n[¬s]"" 10[¬e]""']",10,"['Page 62:\n[¬s]""24.75[¬e]""']",24.75,NA,NA,"['Page 62:\n[¬s]""24.65[¬e]""']",24.65,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 62:\n[¬s]""10[¬e]""']",10,"['Page 62:\n[¬s]""24.75[¬e]""']",NA,NA,NA,"['Page 62:\n[¬s]""24.65[¬e]""']",24.65,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,52,NA,60.419,NA,15.483,NA,62.921,NA,14.939,NA,NA,NA,NA,NA,NA,['Yes'],1,0,NA,NA
NA,135,NA,15.39,NA,4.49,NA,25.15,NA,7.16,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
