Outcome_ID_1,Outcome_ID_2,Outcome_ID_3,Outcome_ID_4,Outcome_ID_5,Outcome_ID_6,Outcome_ID_7,Outcome_ID_8,Outcome_ID_9,Outcome_ID_10
"The Illinois Standards Achievement Test (ISAT  ISBE, 2001) was also used as an external criterion of students’ writing performance. The ISAT is a standardized test given to students in the state of Illinois in Grades 3, 5, and 8 in the academic areas of reading, writing, and mathematics. In the area of writing, students are given 40 minutes to write on a topic that is either narrative, persuasive, or expository in nature.","The Illinois Standards Achievement Test (ISAT  ISBE, 2001) was also used as an external criterion of students’ writing performance. The ISAT is a standardized test given to students in the state of Illinois in Grades 3, 5, and 8 in the academic areas of reading, writing, and mathematics. In the area of writing, students are given 40 minutes to write on a topic that is either narrative, persuasive, or expository in nature.",NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA
The on-line post-test was administered after the practice session. Each post-test included 20 multiple choice questions on the stimulus material.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Postest no feedback v elaborative feedback,NA,NA,NA,NA,NA,NA,NA,NA,NA
Administered in May. Data included here is from Table 8. Outcomes for all grades can be seen in Table 6.,NA,NA,NA,NA,NA,NA,NA,NA,NA
A summative test for the science unit - Earth's Oceans. The test had 36 questions with an additional bonus task if participants finished early. ,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Data from MCAS has been retrieved from Table 1, adjusted post-means for pre-test from the table have been included here rather than raw means. The final analysis included only those students with MCAS scores from both 2006 (6th grade test) and 2007 (7th grade test), and students whose math teacher assignment could be determined either from ASSISTments use or MAP 2 test data. MAP or Measures of Academic Progress are computerized adaptive tests administered three times during the school year.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The text of 70 words from a reading book for the second grade students was used to measure reading accuracy. The text was used instead of a word list because meaningful context influenced reading accuracy, especially in poor readers (Stanovich, 1980). Besides, by using the same text for all students, the reading situation was standardized and all students read the same number of words. The measure of reading accuracy was the number of errors made during reading. Calculated using F test / Effect Size Calculator.","The score from the Furlan's Aloud Reading Test (Furlan, 1975) was used to evaluate reading fluency. The test consists of a list of 120 words, listed first from short and known words to very long and less-known ones. Children read the list for 60 seconds and the score was the number of correctly read words.",NA,NA,NA,NA,NA,NA,NA,NA
"At the end of the school year, students were assigned narrative prompts if they did descriptive writing in the fall, and they were assigned descriptive prompts if they did narrative writing in the fall. Each student booklet contained two writing prompts for a given genre and students were asked to write on one of these assigned prompts. Student writing was evaluated for six traits using the five-point analytic rubrics developed for the 6+1 Trait® Writing model  student writing was not evaluated for presentation. In addition, the overall quality of writing was evaluated using a six-point holistic scale that is not part of the model framework. Data from Table 4 - 4th Grade only. Post-test score adjusted for clustering but not baseline. ","At the end of the school year, students were assigned narrative prompts if they did descriptive writing in the fall, and they were assigned descriptive prompts if they did narrative writing in the fall. Each student booklet contained two writing prompts for a given genre and students were asked to write on one of these assigned prompts. Student writing was evaluated for six traits using the five-point analytic rubrics developed for the 6+1 Trait® Writing model  student writing was not evaluated for presentation. In addition, the overall quality of writing was evaluated using a six-point holistic scale that is not part of the model framework. Data from Table 4 - 3rd Grade only. Post-test score adjusted for clustering but not baseline. ","At the end of the school year, students were assigned narrative prompts if they did descriptive writing in the fall, and they were assigned descriptive prompts if they did narrative writing in the fall. Each student booklet contained two writing prompts for a given genre and students were asked to write on one of these assigned prompts. Student writing was evaluated for six traits using the five-point analytic rubrics developed for the 6+1 Trait® Writing model  student writing was not evaluated for presentation. In addition, the overall quality of writing was evaluated using a six-point holistic scale that is not part of the model framework. Data from Table 4 - 5th Grade only. Post-test score adjusted for clustering but not baseline. ","The student-level dependent variables were the scores on the six-point holistic scale and the scores on the five-point analytic scales for the first six traits. Since the writing assessments were not on a common scale across the grades, separate analyses were conducted for the student achievement data at the four grade levels (3, 4, 5, and 6).","The student-level dependent variables were the scores on the six-point holistic scale and the scores on the five-point analytic scales for the first six traits. Since the writing assessments were not on a common scale across the grades, separate analyses were conducted for the student achievement data at the four grade levels (3, 4, 5, and 6). ","The student-level dependent variables were the scores on the six-point holistic scale and the scores on the five-point analytic scales for the first six traits. Since the writing assessments were not on a common scale across the grades, separate analyses were conducted for the student achievement data at the four grade levels (3, 4, 5, and 6).","The student-level dependent variables were the scores on the six-point holistic scale and the scores on the five-point analytic scales for the first six traits. Since the writing assessments were not on a common scale across the grades, separate analyses were conducted for the student achievement data at the four grade levels (3, 4, 5, and 6).","At the end of the school year, students were assigned narrative prompts if they did descriptive writing in the fall, and they were assigned descriptive prompts if they did narrative writing in the fall. Each student booklet contained two writing prompts for a given genre and students were asked to write on one of these assigned prompts. Student writing was evaluated for six traits using the five-point analytic rubrics developed for the 6+1 Trait® Writing model  student writing was not evaluated for presentation. In addition, the overall quality of writing was evaluated using a six-point holistic scale that is not part of the model framework. Data from Table 4 - 6th Grade only. Post-test score adjusted for clustering but not baseline. ","At the end of the school year, students were assigned narrative prompts if they did descriptive writing in the fall, and they were assigned descriptive prompts if they did narrative writing in the fall. Each student booklet contained two writing prompts for a given genre and students were asked to write on one of these assigned prompts. Student writing was evaluated for six traits using the five-point analytic rubrics developed for the 6+1 Trait® Writing model  student writing was not evaluated for presentation. In addition, the overall quality of writing was evaluated using a six-point holistic scale that is not part of the model framework. Data from Table 4 - combination of scores using Campbell Calculator. Post-test score adjusted for clustering but not baseline. ",NA
"This 18-item paper-and-pencil test examined all student group - (GFG and CONT) posttest ability to transfer the mathematical knowledge and skills learned in the instructional unit to the more formal, less authentic tasks typifying their usual math tasks in school. Means have a range of 0 to 100. ",,,,"An authentic mathematical inquiry task was adapted from PISA (2003). Each group solved the task according to the mode they practiced in class  in an online discussion environment for GFG students, and as paper-and-pencil for CONT students. The six-item task assessed students' procedural and conceptual understanding of patterns of change and relationships. Means have a range of 0 to 100. ",,,NA,NA,NA
"Both pretest and posttest consisted of 10 trials of ordered recall of three out of six pictures from the Peabody Picture Vocabulary Test. Essentially following Flavell et al.’s (7) procedure, children were pretrained to point to the same pictures in the same order as the E. On each trial, the E shuffled the six pictures, laid them out before the child, and pointed to a random series of three. The child then closed his or her eyes. After a delay of approximately 15 seconds during which the E reshuffled the pictures and recorded their order of presentation, the recall signal was given. The child then opened his or her eyes and tried to point to the same pictures in the same order as had the E.","Both pretest and posttest consisted of 10 trials of ordered recall of three out of six pictures from the Peabody Picture Vocabulary Test. Essentially following Flavell et al.’s (7) procedure, children were pretrained to point to the same pictures in the same order as the E. On each trial, the E shuffled the six pictures, laid them out before the child, and pointed to a random series of three. The child then closed his or her eyes. After a delay of approximately 15 seconds during which the E reshuffled the pictures and recorded their order of presentation, the recall signal was given. The child then opened his or her eyes and tried to point to the same pictures in the same order as had the E. Simple effects of feedback in Rehearsal condition",NA,NA,NA,NA,NA,NA,NA,NA
"reading comprehension was assessed with the ‘Frankfurter Leseverständnistest (FLVT) 5-6’ (Frankfurt Reading Comprehension Test for Grade 5 and 6  Souvignier, Trenk- Hinterberger, Adam-Schwebe & Gold, 2008).","The reading fl uency measure (Salzburger Lesescreening 5-8  Salzburg Reading Screen- ing, Grade 5 to 8  Auer, Gruber, Mayringer & Wimmer, 2005) contained 67 statements with an ascending level of diffi culty (e.g., sentences like ‘Mercury is a planet, where teachers like to spend their holidays’).","The assessment of the meta-cognitive knowledge in reading consisted of fi ve learning scenarios (Lingel, Neuenhaus, Artelt & Schneider, 2010)",NA,NA,NA,NA,NA,NA,NA
"This standardized test included ﬁve texts (i.e., continuous and discontinuous) and 20 questions (i.e., maximum score was 20). The questions required retrieving, interpreting, integrating or reﬂecting beyond the text information as deﬁned by PISA framework",NA,NA,NA,NA,NA,NA,NA,NA,NA
"This standardized test included ﬁve texts (i.e., continuous and discontinuous) and 20 questions (i.e., maximum score was 20). The questions required retrieving, interpreting, integrating or reﬂecting beyond the text information as deﬁned by PISA framework",NA,NA,NA,NA,NA,NA,NA,NA,NA
,,NA,NA,NA,NA,NA,NA,NA,NA
,,NA,NA,NA,NA,NA,NA,NA,NA
,,NA,NA,NA,NA,NA,NA,NA,NA
,,NA,NA,NA,NA,NA,NA,NA,NA
"Data from Table 1 (adjusted means reported). Both for the pre-test and for the post-test, all the subjects listened to two texts, selected from stories and scientific games for children, being read  a short narrative text and an expository one, which consisted of the description of a simple physics experiment. All four texts (two short stories and two descriptions of experiments) were adjusted in order to make every critical consequential relation as clear and apparent as possible. A set of corresponding pictures was also shown in order to support the text comprehension by the subjects. Then they were asked to tell in writing the information just acquired to an absent classmate, carefully explaining how and why the facts happened in order for him/her to fully understand it. Subjects' written texts were analysed in order to ascertain how many consequential connections had been reproduced completely, that is how many times both the antecedent and the consequence were mentioned.","Data from Table 2 (adjusted means reported). This condition should avoid the risk of passive imitation of the cognitive processes experienced during the treatment sessions. In any case, the instructions for the test task were obviously different from the instructions for the educational treatment, during the post-test no help through recorded verbal protocols was provided to the groups.  Subject's annotations (questions or integrations) were compared with the list of critical points mentioned above. As these points were 5, each subject received a score ranging from 0 to 5, independently of the subjects showing the detection by writing the corresponding question or by inserting the integration required.",NA,NA,NA,NA,NA,NA,NA,NA
"Two measures of quality were used. First, the final drafts of the pretest and posttest writing samples were rated for overall quality using holistic evaluation pro­ cedures. Second, the change in quality from the first to the second draft and from the first to the third draft were rated. These results are obtained from the second type of rating. Data from Table 2 Row 1  Quality of Final Draft, (pretest and post-test measures given). ","All three drafts were scored for number of words and spelling, capitalization, and punctuation errors, mispelt words results were used as an overall indicator of errors. Errors were calculated as proportions of errors to opportunities (see MacArthur & Graham, 1987). Data from Table 1, Row 1  Proportion of Miss-spelling Words and Final Column  Draft 3 (final drafts from post-test).","The method of analyzing revisions was based on procedures described by MacArthur and Gra­ ham (1987). Any change from one draft to the next was scored as a revision. Revisions were categorized by level (surface or non-surface), impact on meaning (preserved or changed), and quality (better, no change, or worse). Data uses the combined results of surface and non-surface revisions in Row 3 of Table 1, from the 'Draft 3' column of the Post-test section.",NA,NA,NA,NA,NA,NA,NA
"Forty-eight questions on science, history, geogra- phy, and other educational topics were selected from Brain Quest† flashcards. Brain Quest† questions are categorised by grade",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Forty-eight questions on science, history, geogra- phy, and other educational topics were selected from Brain Quest† flashcards. Brain Quest† questions are categorised by grade",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paired associate learning task. Forty-seven slides, with line drawings of familiar objects,randomly paired, were presented to the children, e.g., hat-thermometer, fork-cow, and chair-barrel. after projecting the 47 pairs, the first member of each pair was projected again in random order. The children were given booklets in which each page contained five objects, one of which had previously been associated with the projected one. The task of the children consisted in identifying that object.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Pause prompt feedback on Macmillan Group Reading Test,Pause prompt praise feedback on Macmillan Group Reading Test,NA,NA,NA,NA,NA,NA,NA,NA
"The CAT-4 assesses both response to text (ideas, support) and writing (content, content management) using a rubric.","The CAT-4 assesses both response to text (ideas, support) and writing (content, content management) using a rubric.","The CAT-4 assesses both response to text (ideas, support) and writing (content, content management) using a rubric.","The CAT-4 assesses both response to text (ideas, support) and writing (content, content management) using a rubric.","The CAT-4 assesses both response to text (ideas, support) and writing (content, content management) using a rubric.",NA,NA,NA,NA,NA
"A measure of each student's reading comprehension was obtained using the Stanford Diagnostic Reading Test Level I, Forms W and X (1968) and the comprehension subtest of the Stanford Diagnostic Reading Test, Level II, Forms W and X (1966).","Derived from stories randomly selected from Levels lb, lib, and Illb of the Power Builder Kits (SRA, 1963, 1969). Data from Table 1, Row 1, Independent Results from Group 3 (DMD) and Group 4 (UC) coded as intervention and control respectively.","Derived from stories randomly selected from Levels lb, lib, and Illb of the Power Builder Kits (SRA, 1963, 1969). Data from Table 1, Row 2, Independent Results from Group 3 (DMD) and Group 4 (UC) coded as intervention and control respectively.","Derived from stories randomly selected from Levels lb, lib, and Illb of the Power Builder Kits (SRA, 1963, 1969). Data from Table 1, Row 3, Independent Results from Group 3 (DMD) and Group 4 (UC) coded as intervention and control respectively.",NA,NA,NA,NA,NA,NA
"Mean gains between pre- and post-testing for the experimental and the control groups using the Metropolitan Spelling Achievement Test (MSAT), R form. On Wednesday of each week students were given an orally administered test on the 17 words included in the unit. All students were given the same word list used in the Wednesday test to study on Thursday. On Friday, they were tested again on this word list. This procedure was followed throughout the 15-week period.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"An unadjusted post-test mean spelling score composed of 50 words selected randomly from the 210 programmed units, which were extracted from the four weekly post-tests administered at the end of each week.","An unadjusted post-test mean spelling score combining the four weekly post-tests (consisting of the words contained in the unit assigned for the week) with the final post-test (composed of 50 words selected randomly from the 210 programmed units, which were extracted from the four weekly post-tests administered at the end of each week).",NA,NA,NA,NA,NA,NA,NA,NA
"Woodcock Reading Mastery Test (WRMT) (Woodcock, 1998). The Word Identification, Word Attack, Word Comprehension, and Passage Compre- hension subtests of the WRMT, Form G, were administered to measure both lower-level and higher-level reading processes","Woodcock Reading Mastery Test (WRMT) (Woodcock, 1998). The Word Identification, Word Attack, Word Comprehension, and Passage Compre- hension subtests of the WRMT, Form G, were administered to measure both lower-level and higher-level reading processes","Woodcock Reading Mastery Test (WRMT) (Woodcock, 1998). The Word Identification, Word Attack, Word Comprehension, and Passage Compre- hension subtests of the WRMT, Form G, were administered to measure both lower-level and higher-level reading processes","Spelling. To measure spelling accuracy, we used the Test ofWritten Spelling (Larsen, Hammill, & Moats, 1999).","Spelling. To measure spelling accuracy, we used the Test ofWritten Spelling (Larsen, Hammill, & Moats, 1999).","Woodcock Reading Mastery Test (WRMT) (Woodcock, 1998). The Word Identification, Word Attack, Word Comprehension, and Passage Compre- hension subtests of the WRMT, Form G, were administered to measure both lower-level and higher-level reading processes",NA,NA,NA,NA
"Pre-post gain Q-score (number of targeted qualitative errors) on the Porteus Maze Test which mainly deals with how well the subject is able to follow certain instructions. It consisted of the total number of Cut Corner errors, Crossed Line errors, and Lift Pencil errors. ","Pre-post gain Q-score (nontargeted qualitative errors) on the Porteus Maze Test which mainly deals with how well the subject is able to follow certain instructions. It consisted of the total number of errors from the categories of First 3rd, Last 3rd, Wavy Line, Wrong Direction and Year VII. ","Pre-post gain Q-score (number of targeted qualitative errors) on the Porteus Maze Test which mainly deals with how well the subject is able to follow certain instructions. It consisted of the total number of Cut Corner errors, Crossed Line errors, and Lift Pencil errors. ","Pre-post gain Q-score (number of nontargeted qualitative errors) on the Porteus Maze Test which mainly deals with how well the subject is able to follow certain instructions. It consisted of the total number of errors from the categories of First 3rd, Last 3rd, Wavy Line, Wrong Direction and Year VII.",NA,NA,NA,NA,NA,NA
"Pre-post gain Q-score (number of targeted qualitative errors) on the Porteus Maze Test which mainly deals with how well the subject is able to follow certain instructions. It consisted of the total number of Cut Corner errors, Crossed Line errors, and Lift Pencil errors.","Pre-post gain Q-score (number of nontargeted qualitative errors) on the Porteus Maze Test which mainly deals with how well the subject is able to follow certain instructions. It consisted of the total number of errors from the categories of First 3rd, Last 3rd, Wavy Line, Wrong Direction and Year VII. ","Pre-post gain Q-score (number of targeted qualitative errors) on the Porteus Maze Test which mainly deals with how well the subject is able to follow certain instructions. It consisted of the total number of Cut Corner errors, Crossed Line errors, and Lift Pencil errors.","Pre-post gain Q-score (number of nontargeted qualitative errors) on the Porteus Maze Test which mainly deals with how well the subject is able to follow certain instructions. It consisted of the total number of errors from the categories of First 3rd, Last 3rd, Wavy Line, Wrong Direction and Year VII. ",NA,NA,NA,NA,NA,NA
"Quality of writing. Data collection. Data consisted of the rough drafts of lesson 6, collected and copied before and after the formal revising session and the final drafts of the same lesson. Those drafts were used in the analysis of revision behav­ ior and writing quality. The scale used in this study to ana­ lyze writing quality was an adaptation of Cooper’s (1977) Personal Narrative Writing Scale. Data from Table 7 - Dependent Variable Means and Standard Deviation for Final Draft (post test).",NA,NA,NA,NA,NA,NA,NA,NA,NA
"This test contains 45 items and covers addition, subtraction, division, multiplication of decimals, rounding of decimals, and changing fractions to percentages. It was designed by the investi­ gator to measure the amount of instructional material that was learned during this experiment, and was used as the criterion measure for both immediate and delayed retention. Data from Table 12-1., comparison of Feedback (G1) and Nonfeedback (G2) conditions.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Testing involving three stages -pretest, training, and posttest - was carried out individually in a quiet screened-off corner the school library. Subjects were seated across the table from the perimenter with all the test materials assembled on the table. ","Testing involving three stages -pretest, training, and posttest - was carried out individually in a quiet screened-off corner the school library. Subjects were seated across the table from the perimenter with all the test materials assembled on the table. ",NA,NA,NA,NA,NA,NA,NA,NA
"Post-test mean scores of second grade students’ writing prompts. Each essay was graded by three raters using the 6+1 traits writing assessment model, who assigned a numerical value from 1 (lowest score) to 5 (highest score) for each of the six traits—ideas, organization, voice, word choice, sentence fluency, and conventions. Then, the six scores (one for each trait) of all three raters (which totaled 18 scores for each student) were averaged in order to determine a final mean score for each student.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Post-test mean scores of second grade students’ writing prompts. Each essay was graded by three raters using the 6+1 traits writing assessment model, who assigned a numerical value from 1 (lowest score) to 5 (highest score) for each of the six traits—ideas, organization, voice, word choice, sentence fluency, and conventions. Then, the six scores (one for each trait) of all three raters (which totaled 18 scores for each student) were averaged in order to determine a final mean score for each student. ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Students studie 900-word text followed by a multiple-choice test, and, after 24 hr., were given feedback either on their own test form or on an unused test form. Retesting of half the immediate- test items was done immediately following feedback, of the other half six days later.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Post-test mean score for recall of specific factual information measured by a set of 13 multiple-choice factual questions (4 alternatives).,"Post-test mean score for correct number of guess questions answered measured by a 13 multiple-choice set (4 alternatives).  They consisted of questions which dealt with elements from the story, but could not be answered on the basis of information derived from the text  in answering these questions subjects thus had to resort to guessing. One of the alternatives to each question was randomly assigned to be the correct answer. ",NA,NA,NA,NA,NA,NA,NA,NA
,,NA,NA,NA,NA,NA,NA,NA,NA
Mean Number of Experimental Words Correct. Data from Table 4 (SD not provided). A posttest on the transfer word list immediately followed the test trial on the experimental words. All subjects read each transfer trigram once and no feedback was given. From f-value.,A posttest on the transfer word list immediately followed the test trial on the experimental words. All subjects read each transfer trigram once and no feedback was given. The posttest provided a dependent measure of transfer words correct following feedback manipulation trials.,NA,NA,NA,NA,NA,NA,NA,NA
A timed standardized reading comprehension test.,A timed standardized reading comprehension test.,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Students were asked to revise the papers written at pretest. The first group of research assistants returned to the classrooms and asked the students to revise the papers they had written on the first and second days of the study. Only the posttest of the first day - Uniforms is reported here. ,NA,NA,NA,NA,NA,NA,NA,NA,NA
Persuasive writing quality reviewers v reader controls,Persuasive writing quality reviewers v time controls posttest adjusted,NA,NA,NA,NA,NA,NA,NA,NA
Compositions were scored using a six-point focused holistic scoring. Each composition received two independent readings. Scores that varied more than one point were read by a third reader who assigned the score. Cohen's Kappa was calculated on the unarbitrated scores and yielded a reliability coefficient of .94 on the pretest and .92 on the posttest.,,,,NA,NA,NA,NA,NA,NA
"Achievement was measured using a 30 item, paper-and pencil test This test consisted of three sections on the parts. functions, and use of the microscope. ",NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The speaking task (Task 1) included three items targeting each on one of the three major abilities required to communicate effectively  that is, (l) to engage in comparison activity, (2) to be aware of the instrumental nature of a message in recognizing that the discriminating attributes of a given referent vary with the particular set of nonreferents and that the comparison activity is not done once for all , (3) to take into account the perspective of the listener.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPS, designed and tested at the University of Kansas Institute for Research in Learning Disabilities, is a strategy for making mechanical revisions. Posttest ANOVA analysis carried out. The paragraphs were rated using the Diederich (1974) analytic scale, which evaluates writing in two overall areas  general merit and mechanics. General merit includes four factors  ideas, organization, wording, and flavor, while mechanics is broken down into usage, punctuation, spelling, and handwriting. Two raters score each of the eight factors on a 5-point scale, based upon the description of high, medium, and low papers.","Evaluative and Directive Phrases, a strategy developed by Bereiter and Scar- damalia (1982), provides a series of phrases to describe sentence content and to suggest revision tactics. Posttest - ANOVA Analysis",NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,
"Reading was tested using the paper version of the Progress in English Test (PiE) published by GL Assessment. PiE is a summative test of English through spelling, punctuation, grammar and reading comprehension.",Maths was assessed using the digital version of the Access Maths Test (AMT) published by Hodder Education. The outcome is measured in post test only. ,"Reading was tested using the paper version of the Progress in English Test (PiE) published by GL Assessment. PiE is a summative test of English through spelling, punctuation, grammar and reading comprehension.",Maths was assessed using the digital version of the Access Maths Test (AMT) published by Hodder Education. The outcome is measured in post test only. ,NA,NA,NA,NA,NA,NA
"The Test of Word Reading Efficiency is a brief reading measure containing two subtests  Sight Word Efficiency and Phonemic Decoding Efficiency. The Sight Word Efficiency subtest measures the student’s accuracy in reading real words, and the Phonemic Decoding Efficiency subtest measures the student’s accuracy with pronounceable non-words. Raw scores for each subtest are calculated based on the number of words read correctly for each subtest. Raw scores are then converted into standard scores for both subtests (M = 100, SD = 15) and the Total Word Reading Efficiency standard score (M = 100, SD = 15).","The Woodcock Johnson Test of Achievement-Third Edition (Woodcock, McGrew & Mather, 2001) is a standardized, norm-referenced test designed to measure children’s achievement in the areas of reading, mathematics and writing. All students were individually administered the Broad Written Language Cluster of the Woodcock Johnson Test of Achievement, which includes the subtests of Spelling, Writing Fluency, and Writing Samples. The Spelling subtest examined a student’s ability to correctly write orally presented words. The Writing Fluency subtest was a timed measure that examined a student’s ability to create sentences based on a specific picture or words. The Writing Samples subtest examined the quality of a student’s ability to utilize a variety of writing skills, including spelling, length of response, vocabulary and grammar.","The Test of Word Reading Efficiency is a brief reading measure containing two subtests  Sight Word Efficiency and Phonemic Decoding Efficiency. The Sight Word Efficiency subtest measures the student’s accuracy in reading real words, and the Phonemic Decoding Efficiency subtest measures the student’s accuracy with pronounceable non-words. Raw scores for each subtest are calculated based on the number of words read correctly for each subtest. Raw scores are then converted into standard scores for both subtests (M = 100, SD = 15) and the Total Word Reading Efficiency standard score (M = 100, SD = 15).","The Woodcock Johnson Test of Achievement-Third Edition (Woodcock, McGrew & Mather, 2001) is a standardized, norm-referenced test designed to measure children’s achievement in the areas of reading, mathematics and writing. All students were individually administered the Broad Written Language Cluster of the Woodcock Johnson Test of Achievement, which includes the subtests of Spelling, Writing Fluency, and Writing Samples. The Spelling subtest examined a student’s ability to correctly write orally presented words. The Writing Fluency subtest was a timed measure that examined a student’s ability to create sentences based on a specific picture or words. The Writing Samples subtest examined the quality of a student’s ability to utilize a variety of writing skills, including spelling, length of response, vocabulary and grammar.",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Post-test adjusted mean score for 70 questions asked using Form A Series 1 and Form A Series 2 science sections of the Sequential Test of Educational Progress (STEP). ,"Science section, Form A, Sequential test of Educational Progress (STEP)",NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA
Recall Video+Questions v Video,Recall Video+Questions+ Feedback v Video,Acquisition rate Video+questions v video,Acquisition rate Video+questions+feedback  v video,NA,NA,NA,NA,NA,NA
"For the skill test children were given one topic for each of the four paragraph types. Three different forms of the test were developed which includ- ed the same four paragraph types but different topics. The parallel forms were used on the pretest, posttest, and mainte- nance test to eliminate potential effects due to topic familiarity. ","The self- efficacy test assessed perceived capabilities for performing five paragraph writing tasks  generate ideas, decide on the main idea, plan the paragraph, write the topic sentence, write the supporting sentences. The efficacy scale ranged in 10-unit intervals from 10—not sure, to 100—really sure.",NA,NA,NA,NA,NA,NA,NA,NA
,,NA,NA,NA,NA,NA,NA,NA,NA
Posttest means and SD's for Writing Skill. Process Goal and Feedback vs control,Posttest means and SD's for Writing Skill. Process Goal and Feedback vs Process Goal ,NA,NA,NA,NA,NA,NA,NA,NA
Post test mean gain fine points scores for reading comprehension.   Teacher assessment or Test in the appropriate Key Stage for all relevant year cohorts.,Post test mean gain fine points scores for mathematics comprehension.   Teacher assessment or Test in the appropriate Key Stage for all relevant year cohorts.,Post test mean gain fine points scores for writing. Teacher assessment or Test in the appropriate Key Stage for all relevant year cohorts.,NA,NA,NA,NA,NA,NA,NA
"Each child received a 10-trial speaking task, a 10-trial listening task, and a 20-trial criticism task.","Each child received a 10-trial speaking task. On the speaking task, the children had to describe the chess piece and its location so that Tara would later be able to respond appropriately (place the proper piece on the designated square). ","One week after Session I, each child received a 1O-trial  listening task. On the listening task, children heard a tape recording of Tara giving either informative or ambiguous messages. ","On the criticism task, the child had to assess the adequacy ofthe speaker and listener dolls' performances. On 5 of the trials, the speaker gave informative messages and the listener responded appropriately. On 15 of the trials, the speaker gave an ambiguous message, and the listener either responded as if the message had been informative, attempted to follow the speaker's instructions but made an error, or said "" I don't understand.""",NA,NA,NA,NA,NA,NA
The primary outcome was student’s GCSE Attainment 8 score. This uses the new GCSE numerical grades introduced in 2016/2017 which range from 0 to 9. ,The primary outcome was student’s GCSE Attainment 8 score. This uses the new GCSE numerical grades introduced in 2016/2017 which range from 0 to 9. ,NA,NA,NA,NA,NA,NA,NA,NA
Rate students choose to repeat task high performers v low,NA,NA,NA,NA,NA,NA,NA,NA,NA
"'A one-way analysis of variance and F-test of significance at the .05 level of significance was used, and t-tests were conducted to determine the specific treatments responsible for any differences. A pool of questions consisting of sixteen questions for eaqh of the five objectives was selected from the previoqs seven years of regents examinations in chemistry.","'A one-way analysis of variance and F-test of significance at the .05 level of significance was used, and t-tests were conducted to determine the specific treatments responsible for any differences. A pool of questions consisting of sixteen questions for eaqh of the five objectives was selected from the previoqs seven years of regents examinations in chemistry.",NA,NA,NA,NA,NA,NA,NA,NA
"Post-test adjusted mean score for multiplication. A criterion measure consisted of 24 multiplication problems. In half of the problems the number being multiplied was a randomly-generated two-digit number, in the other half a randomly-generated three-digit number. The multiplier was a randomly-selected one-digit number (2-9). The same paper-and-pencil form of the criterion measure was used as a pretest and a post-test.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The criterion measure consisted of 24 multiplication problems. In half of the problems the number being multiplied was a randomly-generated two-digit number, in the other half a randomly-generated three-digit number. The covariance adjustment of the criterion post-test removed variation present on the criterion pre-test.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Posttest Means and SD's for Higher Mental Processes ,Posttest Means and SD's for Lower Mental Processes,NA,NA,NA,NA,NA,NA,NA,NA
Posttest means and SD's for Higher Mental Process,Posttest Means and SD's for Lower Mental Processes,NA,NA,NA,NA,NA,NA,NA,NA
Final achievement in both content areas was indicated by the scores students obtained on the summative test given to all groups at the end of the series of learning tasks. The tests contained 40 multiplechoice items selected from a specific domain covered in all the learning units. The final scores were computed as follows  (corrected responses/40) x 100.,A summative achievement test was provided at the end of the term and included all of the content covered in all the learning units.,A summative achievement test was provided at the end of the term and included all of the content covered in all the learning units.,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA
Post-test totals from Nelson-Denny Reading Test. Numbers for Intervention and control inferred from total N (55).,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIFS was designed to measure pupil competency on reading and arithmetic objectives. As each objective was measured by five items, teachers were able to'determine whether a student had mastered a specific objective. Post-test scores minus pre-test scores were taken to calculate each pupil's difference score.","MIFS was designed to measure pupil competency on reading and arithmetic objectives. As each objective was measured by five items, teachers were able to'determine whether a student had mastered a specific objective. Post-test scores minus pre-test scores were taken to calculate each pupil's difference score.",NA,NA,NA,NA,NA,NA,NA,NA
