part_assig_raw,part_assig_ht,part_assig_info
"Non-random, but matched","['Page 4:\n[¬s]""re divided by their respective teachers into t[¬e]""', 'Page 5:\n[¬s]""groups on the basis of their achievement in French (both oral and written: reading vocabulary and grammar exercises, written composition): good/very good, and average/poor. The dyads were made up of two pupils from the same group, but with a slightly different level of expertise. Two children who were either close friends or showed animosity towards each other were never placed in the s[¬e]""']",Teachers of 3 classes rated their 72 students to either v.good/good or average/poor in French. 24 dyads were created my matching pupils within a category. 24 students worked solo. 
Random (please specify),"['Page 2:\n[¬s]""An equal number of each sex were given IKR and no-IKR. Otherwise, subjects were randomly assigned to experimental conditions.[¬e]""']",NA
Unclear,"['Page 6:\n[¬s]""4649 cases, 2819 students who completed conventional Algebra I\n(the Comparison Sample), and 1830 students completing Cognitive Tutor (the Program\nSample)[¬e]""']",NA
Random (please specify),"['Page 3:\n[¬s]""Students were then randomly\nassigned to an instructional presentation[¬e]""']",NA
Random (please specify),"['Page 3:\n[¬s]""Participants were 33 fourth graders from two classes in one elementary school.""\n""Students previously had been classified as academically gifted in language arts by the school district[¬e]""', 'Page 4:\n[¬s]""Children were assigned randomly by gender and classroom to one of three experimental conditions: paragraph goal, strategy goal, strategy goal plus progress feedback. [¬e]""']",NA
Random (please specify),"['Page 6:\n[¬s]""Children were assigned randomly within gender and classroom to one of four experimental conditions[¬e]""']",NA
Random (please specify),"['Page 6:\n[¬s]""Children were assigned randomly within gender and classroom to one of four experimental conditions[¬e]""']",NA
"Non-random, but matched","['Page 6:\n[¬s]"" partially matched comparator group[¬e]""']",action research design
Random (please specify),"['Page 2:\n[¬s]""Chil\xad dren were randomly assigned to groups with the restriction that there be an equal number of boys and girls in each group.[¬e]""']",NA
Random (please specify),"['Page 10:\n[¬s]""Schools participating in the trial were randomly assigned to one of two trial arms,[¬e]""', 'Page 12:\n[¬s]""Schools were identified as belonging to blocks based on the proportion of students in each school to achieve five A*–C grades in the 2014 GCSE examinations (low, medium, high—where these thresholds are chosen to achieve equal sized groups), and the proportion of students in each school to be eligible for Free School Meals (FSM, low, medium, high) using DfE sources; thresholds were chosen to achieve equal sized groups. Blocking was undertaken to minimise bias at baseline by factors of particular relevance to the study.""\n""Within the nine blocks combining the three dimensions of GCSE performance and FSM, schools were randomly allocated to treatment and control groups (half each). This was achieved using a random number generator.[¬e]""']",NA
Random (please specify),"['Page 4:\n[¬s]""e level, students\nwere blocked by gender and total score and were ran-\ndomly assigned within blocks to one of two treatment\nconditions: comment-and-score or scor[¬e]""']",NA
Random (please specify),"['Page 5:\n[¬s]"" A random number generator was selected to create three groups of students a\'nd to assign t&e treatments.[¬e]""']",NA
Random (please specify),NA,the 58 children from 1st and 2nd year classes were randomly assigned to the 4 conditions:(to be ignored: tests only)no feedback(to be ignored: passive feedback)active feedback
Random (please specify),"['Page 3:\n[¬s]"" They were re-assigned to no feedback,""\n"" or active feedback conditions using a stratified random sampling[¬e]""', 'Page 4:\n[¬s]""procedure. The children were divided into groups of three matched on the basis of pre-test scores from the previous experiment. From within each group one child was assigned at random to each condition.[¬e]""']",NA
Random (please specify),"['Page 70:\n[¬s]""At the beginning\nof the school year, students were assigned to classes by a random procedure.[¬e]""']",NA
Random (please specify),"['Page 69:\n[¬s]""The\nstudents who requested algebra were assigned to different treatments by a\nrandom procedure using a computer program designed for this purpose.[¬e]""']",NA
Random (please specify),"['Page 5:\n[¬s]""The students who applied for algebra were assigned to different treatments by a random procedure using a computer program designed for this purpose""\n"" At the beginning of the school year, students were assigned to classes by a random procedure.[¬e]""']",NA
Random (please specify),"['Page 3:\n[¬s]""A total of 104 students was employed. Of the\ntotal, 47 were recruited from a Catholic parochial\nschool, and the remaining 57 from a Jewish paro-\nchial school""\n""The\nexperiment was run during class time, and the stu-\ndents were asked to volunteer by their teachers.""\n""students were randomly assigned to one\nof two rooms in which they were required to com-\nplete the program in either a constructed response\nor a reading group.[¬e]""']",NA
Random (please specify),"['Page 6:\n[¬s]""were randomly assigne 1""\n"" Students""\n""to three conditions[¬e]""']",NA
Random (please specify),NA,NA
Random (please specify),"['Page 32:\n[¬s]""In both phases, students were assigned to two groups, and the groups randomly assigned to an experimental or control condition, as illustrated in Figure 3.2 below. Students at each grade were stratified on gender and then randomly assigned to conditions. That the randomization “worked” is supported by statistical comparison of groups by ethnicity and a stanine-equivalent (a measure of prior achievement). No significant differences existed between groups.[¬e]""']",NA
Random (please specify),"['Page 48:\n[¬s]""Group T: This was a randomly assigned group of one or more class sections for each participating teacher using the full FACTS intervention.""\n""Group C: This was a randomly assigned control group of one or more class sections for each participating teacher.[¬e]""']",NA
Random (please specify),"['Page 1:\n[¬s]""The classes were randomly assigned to the conditions[¬e]""']",NA
Random (please specify),"['Page 76:\n[¬s]""Two classes were random ly assigned to the control condition and the other two to the feedback condition for the first two-week unit o f instruction. During the second unit o f instruction each group received the opposite condition,[¬e]""']","Assigned randomly to condition, although both groups experienced control and experimental conditions."
"Non-random, not matched prior to treatment","['Page 32:\n[¬s]""The two classrooms in which the curriculum-based measurement procedures were implemented (CBM-A and CBM-B) consisted of 21 and 19 students""\n""The two classrooms that utilized a variation of mastery learning (ML-A and ML-B) consisted of 21 and 16 students[¬e]""', 'Page 36:\n[¬s]""The four teachers volunteered for either the mastery learning variation group or the CBM group.[¬e]""']",NA
Random (please specify),NA,NA
"Non-random, not matched prior to treatment",NA,NA
Random (please specify),"['Page 3:\n[¬s]""Assignment of students to specific classes was accomplished through linear programming based on the elected courses of students and the availability of class openings.[¬e]""', 'Page 4:\n[¬s]""Classes were randomly assigned to particular learning strategies and feedback treatments.[¬e]""']",NA
Random (please specify),"['Page 14:\n[¬s]""a clustered randomised control trial, with randomisation at the school level.[¬e]""']",NA
Random (please specify),NA,NA
Random (please specify),NA,NA
Random (please specify),NA,NA
"Non-random, not matched prior to treatment",NA,NA
Random (please specify),"['Page 7:\n[¬s]""the research and control group schools being randomly assigned[¬e]""']",NA
Random (please specify),NA,"Subjects were 35 sixth grade students, in two classrooms, randomly assigned to one of the four treatment groups"
Random (please specify),"['Page 36:\n[¬s]""Four groups were drawn randomly from two sixth grade language arts classes""\n"" Student volunteers in each class were randomly placed in one of four treatment groups blocked by sex.[¬e]""']",NA
Random (please specify),"['Page 2:\n[¬s]""Children who participated in the study were second and third graders from an in- termediate elementary school. Pupils were selected using three criteria: (1) IQ 89 or above a\'s determined by the Short Form Test of Academic Aptitude; (2) achievement performance one or more grade levels behind in reading on the Comprehensive Test of Basic Skills; (3) less than 50% on-task during reading instruction in the regular classroom as measured by the Walker Observation Scale (Walker, 1971). The majori- ty of the children selected actually spent less than 30% of available time-on-task. Initial referrals were solicited from teachers by asking them to nominate children they considered to be: (1) capable, but performing well below grade level in reading, and to have (2) persistent classroom behavior problems or chronic inatten- tiveness. To aid them in systematically applying the second referral criterion, teachers rated each chfld referred using the Walker Problem Behavior Identification Checklist (Walker, 1970). From the population of second and third grade children meeting the selection criteria, ten were randomly assigned to the time-on-task classroom while ten others were so assigned to a comparison group. The same procedure was followed in establishing intervention and comparison groups from the fifth and sixth grade pupils who met the selection criteria.[¬e]""']",NA
Random (please specify),"['Page 62:\n[¬s]""Since o n ly 12 teachers participated in the study, stratified random assignment was carried out in an attempt to make the experimental group and control group as s im ila r as possible. Teachers were matched in to six pairs based on schools and aggregate student characteristics. A n d then one member o f each pairs was random ly assigned in to either the experimental group (E) o r the control group (C).[¬e]""', 'Page 7:\n[¬s]""The 12 teachers were[¬e]""', 'Page 8:\n[¬s]""matched in pairs and random ly assigned to the experimental group and control group.[¬e]""']",12 teachers were randomly assigned to exprimental (n=6) or control groups (n=6). Classes were roughly matched based on school-level information but not well matched on teacher / student level information (such as atainment or length of teacher experience).
Random (please specify),"['Page 45:\n[¬s]"" The names of a l l 16 teachers were p l a c e d in a box. The first n a m e drawn was assig ned to t he se lf-assessment group, the second w e n t to the p r a c t i c e group,[¬e]""']",NA
Random (please specify),"['Page 3:\n[¬s]""Then, equal numbers of boys and girls of each age group were randomly assigned to each demon- stration condition.""\n""One half of the boys and girls in each structure group were randomly assigned to an imitation treat- ment.[¬e]""']",NA
