rand_raw,rand_ht,rand_info
['Yes'],"['Page 4:\n[¬s]""All papers were scored by the experimenters. They\ndivided the students into high and low performance\nlevels on each task by grade based on the median score\nfor each grade. Within each performance level, students\nwere blocked by gender and total score and were ran-\ndomly assigned within blocks to one of two treatment\nconditions: comment-and-score or scor[¬e]""']",NA
['Yes'],"['Page 5:\n[¬s]""The sqbjects for this comparison, were 53 high school students enrolled in regents chemistry in Victor, New York during 1974-75 aca\xad demic year.""\n"" The students differed mainly in their past achievement and interests and wete en- I rolled in^two ( classes that met four class periods and two laboratory periods ppr week. A random number generator was selected to create three groups of students a\'nd to assign t&e treatments.[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]"" The subjects were 52 of the children who had partici\xad pated in the first experiment. They were re-assigned to no feedback, passive feedback or active feedback conditions using a stratified random sampling[¬e]""', 'Page 4:\n[¬s]""procedure. The children were divided into groups of three matched on the basis of pre-test scores from the previous experiment. From within each group one child was assigned at random to each condition.[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""The subjects were randomly assigned to the four con\xad ditions of the experiment, which were : tests only, no feedback, passive feedback or active feedback. The tests-only condition served as a control for the priming effect of the pre-test, maturation, and other correlative factors.[¬e]""']",2nd and 3rd year children were randomly assigned to four different conditions. 
['No/Unclear'],NA,NA
['Yes'],"['Page 69:\n[¬s]""The\nstudents who requested algebra were assigned to different treatments by a\nrandom procedure using a computer program designed for this purpose.[¬e]""']",NA
['Yes'],"['Page 5:\n[¬s]"" The students who applied for algebra were assigned to different treatments by a random procedure using a computer program designed for this purpose.""\n"" At the beginning of the school year, students were assigned to classes by a random procedure[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""erefore, students were randomly assigned to one\nof two rooms in which they were required to com-\nplete the program in either a constructed response\nor a reading group. After the program was com-\npleted, the posttest was administered, followed by\nan attitude scale. T[¬e]""']",NA
NA,NA,NA
['No/Unclear'],"['Page 4:\n[¬s]""MIFS\' wafs implemented in five ALar.ge city elementary schools. Fi\\fe additional schools were selected at random to form a control grdup.[¬e]""']",Very limited information is provided on randomisation.  
['Yes'],"['Page 88:\n[¬s]""This study was an experimental study. The full design of this study was a 2 x 2 x 2 (grade x treatment x occasion) experiment with repeated measures on the occasion factor. In both phases of the study, students in a particular grade-level (e.g. 6th or 7th grade) were randomly assigned to one of two groups, and the groups randomly assigned to an experimental or control condition. Randomization stratified on gender initially; then supported by statistical comparison of the two groups by ethnicity and a stanine-[¬e]""']",NA
NA,NA,NA
['Yes'],"['Page 1:\n[¬s]""Fourteen third-grade classes from 14 primary schools in the north- ern Netherlands participated. One school was not included in the analysis because a check by an independent judge showed that the teacher had not performed the experimental manipulations correctly.""\n"" The control condition consisted of 87 students from 5 schools. The cooperation- with-individual-feedback and cooperation-with-shared-feedback con- ditions, each at 4 schools, consisted of 64 and 67 students, respec- tively. The classes were randomly assigned to the conditions.[¬e]""']",NA
['Not applicable'],NA,It's a quasi experimental study
['Yes'],NA,NA
['No/Unclear'],"['Page 8:\n[¬s]""In order to divide\nthem up, we first administered the Comprehension Strategies Test (Test de\nEstrategias de Comprensión, TEC) in its electronic version (TEC-e; Martínez,\nVidal-Abarca, Gil, & Gilabert, 2009) that assessed their general comprehension\nability. Once arranged by scores, they were randomly assigned to the experimental\nand control groups in comparable numbers. Ultimately, there were thirteen stu-\ndents in the control group and twelve in the experimental, without any differences\nin their general comprehension ability (Experimental Group: M = 13.00, SD =\n3.90, Control Group: M = 12.84, SD = 3.64, t = ‒.102, p = .920).[¬e]""']",NA
['Not applicable'],NA,NA
['Yes'],"['Page 4:\n[¬s]""Classes were randomly assigned to particular learning strategies and feedback treatments.[¬e]""']",NA
['Yes'],"['Page 14:\n[¬s]""The evaluation was a clustered randomised control trial, with randomisation at the school level. The evaluation team considered randomisation of the intervention (a) at the school level and (b) at the class level. Given the whole-class nature of the intervention, randomisation at school level was the preferred option.[¬e]""']",NA
['Yes'],"['Page 6:\n[¬s]""A multi-site cluster randomized trial was conducted with rural and suburban 4th and 5th grade classrooms. Fig. 6 illustrates the design.\nExperimental and control groups actually had the same curriculum (except for a class period each week) because classrooms were randomly\nassigned to ITSS or control groups within schools. One of the regular language arts class was substituted by ITSS instruction each week for\nthe experimental group while the control group continued with their regular language arts class. The diagram shows the consistency in\ncurriculum and instructional time within the school. Schools agreed to use the software as a partial substitute to the Language Arts\nclassrooms for 30–45 min each week.\nA volunteer sample of 128 teachers and their 5th grade classrooms were randomly assigned to the ITSS and control groups within\nschools. Similarly, 131 teachers and their 4th grade classrooms were also randomly assigned to the ITSS or control groups within the schools.\nSchools signed a memorandum of understanding agreeing to participate in the research study.[¬e]""']",NA
['Yes'],"['Page 10:\n[¬s]""A volunteer sample of 128 teachers and their\nclassrooms were randomly assigned to the ITSS and control groups within schools. The\nwithin-school random assignment of classrooms maintains curricular consistency between\nthe intervention and control classrooms in the same school. Teachers in the ITSS condition\nagreed to use ITSS for about 20 to 30 min a week instead of regular classroom instruction.\nThe control teachers used the school’s standard language arts curriculum for the total\nlanguage arts instructional time. Schools signed a memorandum of understanding agreeing\nto participate in the research study.[¬e]""']",NA
['Yes'],"['Page 8:\n[¬s]""This multisite cluster randomized efficacy study investigated the\neffects of a web-based tutoring system (ITSS) to deliver the\nstructure strategy-based comprehension instruction to 7th-grade\nstudents in rural and suburban settings. A volunteer sample of 108\nclassrooms were stratified by school and randomly assigned to\nITSS or business as usual control.""\n""The within-school random assignment of classrooms required\nfewer participating schools (compared with random assignment of\nschools) and provided curricular consistency between the ITSS\nand control classrooms. Schools were also eager to participate\nbecause they would build capacity to use the intervention, and\ncontrol classrooms had the opportunity to use the software after the\nposttests were completed. The possibility of contamination was\nminimized by the password protected ITSS software for the stu-\ndents.[¬e]""']",NA
['Not applicable'],NA,NA
['Yes'],"['Page 74:\n[¬s]""Subjects were not randomly assigned to treatments. Instead, treatments were randomly assigned to intact classes.[¬e]""']",NA
['Yes'],"['Page 36:\n[¬s]""Four groups were drawn randomly from two sixth grade language arts classes taught by different teachers. For administrative reasons the experimenter administered the treatments outside the regular classroom. Students in each class were told that a research project in creative writing was to be conducted with volunteers. They were given parental permission slips that indicated not only that participation was voluntary, but also that students could withdraw at any time. Student volunteers in each class were randomly placed in one of four treatment groups blocked by sex.[¬e]""']",NA
['Yes'],"['Page 36:\n[¬s]""Four groups were drawn randomly from two sixth grade language arts classes taught by different teachers.""\n""For administrative reasons the experimenter administered the treatments outside the regular classroom. Students in each class were told that a research project in creative writing was to be conducted with volunteers. They were given parental permission slips that indicated not only that participation was voluntary, but also that students could withdraw at any time. Student volunteers in each class were randomly placed in one of four treatment groups blocked by sex.[¬e]""']",NA
['Yes'],"['Page 2:\n[¬s]""From the population of second and third grade children meeting the selection criteria, ten were randomly assigned to the time-on-task classroom while ten others were so assigned to a comparison group.[¬e]""']",NA
['Yes'],"['Page 62:\n[¬s]""Since o n ly 12 teachers participated in the study, stratified random assignment was carried out in an attempt to make the experimental group and control group as s im ila r as possible. Teachers were matched in to six pairs based on schools and aggregate student characteristics. A n d then one member o f each pairs was random ly assigned in to either the experimental group (E) o r the control group (C).[¬e]""', 'Page 7:\n[¬s]""The 12 teachers were[¬e]""', 'Page 8:\n[¬s]""matched in pairs and random ly assigned to the experimental group and control group.[¬e]""']",NA
['Yes'],"['Page 45:\n[¬s]""The names of a l l""\n""teachers were p l a c e d in a box. The first n a m e drawn was assig ned to t he se lf-assessment group, the second w e n t to the p r a c t i c e group,""\n"" Five classes w e r e a s s i g n e d to group X w i t h 93 students, five w e r e in Y w i t h 100 students,[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""Then, equal numbers of boys and girls of each age group were randomly assigned to each demon- stration condition.""\n""One half of the boys and girls in each structure group were randomly assigned to an imitation treat- ment.[¬e]""']",NA
