int_objec_ht,int_objec_info
"['Page 2:\n[¬s]"" The primary purpose of this study was to examine the effect of peer feedback on the quality of student writing and the amount and kind of revision behavior.[¬e]""', 'Page 3:\n[¬s]""Research questions guiding this investigation were as follows: 1. Will type and amount of revision behavior vary signif\xad icantly across ""\n"" different instructional situations? 2. Will quality of writing vary significantly across in\xad structional situations? 3. Will quality of writing vary significantly between rough and final drafts within each instructional situa\xad tion?[¬e]""']",NA
"['Page 3:\n[¬s]""2. To what extent do instructions using feedback (as compared with no feedback) influence the learning of anxious children?[¬e]""']",NA
"['Page 3:\n[¬s]""The""\n""nt study is different in that it specifically examines the cognitive and motivational effect of feedback treatments (knowledge- of-results) on the attainment of conservation by Ibo-speaking Nigerian sub[¬e]""', 'Page 7:\n[¬s]""learner. The two hypotheses of this study have been formulated in order to investigate, using Nigerian subjects, the asser- tion by a number of previous researchers who see feedback as leading to considerable gains in conservation and in transfer to nontrained tas[¬e]""']","Primary aim of study is to test the cognitive and motivational effect of KOR feedback treatment on subjects' attainment of Piaget's ""conservation"" concept of cognitive ability.   Two hypotheses were tested to ascertain the impact of feedback on participants' achievement in posttest conservation tasks in relation to 1. substance and 2. quantity between intervention and control groups. "
"['Page 2:\n[¬s]"" determine if the implementation of a cross-age tutoring program would have a significant impact on students\x92 actual writing abilities,[¬e]""']",NA
"['Page 2:\n[¬s]""if the implementation of a cross-age tutoring program would have a significant impact on students\x92 actual writing abilities,[¬e]""']",To improve students' actual wrting abilites
NA,"To test the impact of immediate feedback on students' performance where the control group are given the correct answers on their own test papers and the treatment group receives feedback on ""fresh"" (blank) exam papers. "
"['Page 1:\n[¬s]""Effects of Informative Feedback in Relation to Retention of Initial Responses J[¬e]""']",NA
"['Page 8:\n[¬s]""performance on a retention test[¬e]""']",Not explictly stated. Inferred as  to improve information retention 
"['Page 2:\n[¬s]""The purpose of the present study was to investigate the effects of""\n""feedback procedures on the oral read\xad""\n""ing errors of children with learning disabilities while considering level of task acquisition. ""\n""Additionally, the study sought to measure maintenance across time and generalization across similar tasks.[¬e]""']",NA
"['Page 1:\n[¬s]""improving the comprehension skills ofadolescents labeled\nas reading disabled[¬e]""', 'Page 3:\n[¬s]""the current study\nevaluated the effect offeedback on the development ofstudents’ comprehen-\nsion skills.[¬e]""']",NA
"['Page 2:\n[¬s]""t is expected that enhancing interpersonal behavior will positively\naffect a group’s social performance (Geister, Konradt, & Hertel,\n2006; McLeod & Liker, 1992; Phielix et al., 2010), indirectly affect-\ning its cognitive performance (Kreijns et al., 2003).[¬e]""']",NA
"['Page 31:\n[¬s]""The purpose of this study is to investigate whether practice reviewing papers of other students, using genre-specific criteria, can help students learn to revise their own papers more effectively, resulting in papers of better quality.[¬e]""', 'Page 34:\n[¬s]""Research Questions The research questions that guided this investigation were as follows: 1. Is there an effect of condition on the quality of students\x92 papers? • Will students in the reviewer condition produce revised posttest papers of better quality compared to the reader""\n""group""\n"" Will students in the reviewer condition produce first and revised drafts on a transfer paper of better quality compared to the reader""\n""group""\n""Will students in the reviewer condition produced first and revised drafts of better quality on a maintenance writing task compared to the reader ""\n""group""\n""2. Is there an effect of condition on the length of students\x92 papers?[¬e]""', 'Page 35:\n[¬s]""• Will students in the reviewer condition produce longer first drafts and revised drafts compared to the reader""\n""group""\n""3. Will students in the reviewer condition include more persuasive elements in their revised drafts?[¬e]""']",NA
"['Page 3:\n[¬s]""whether practice in reviewing papers of other students,\nusing genre- specific criteria, could help students learn\nto revise their own papers more effectively, resulting in\npapers of better quality. T[¬e]""']",NA
"['Page 5:\n[¬s]"" the following study was designed to investigate the effectiveness of peer response groups with LEP writers.[¬e]""']",NA
NA,benefit attainment
NA,benefit attainment
"['Page 13:\n[¬s]""A second objective of the present project was to study the respective influence of interrogative-cognitive feedback and degree of overt activity on the amount of learning induced.[¬e]""']",NA
"['Page 2:\n[¬s]""The purpose of the present research is to determine the effects of in\xad struction in both strategies on the con\xad tent and mechanics of students\' para\xad graph writing.[¬e]""']",NA
NA,NA
"['Page 8:\n[¬s]""this evaluation seeks to explore the role and feasibility of Powerful Learning Conversations (PLC). The PLC intervention involves a training programme for Year 9 English and Maths teachers, with the aim of improving feedback practices by applying techniques used in sport. PLC is a feedback intervention which includes focused talk as a fundamental aspect of the learning process. It is based on the idea that feedback techniques used in sport are rapid and immediate and that children are less likely to respond negatively to criticism because of the way in which the feedback is delivered.[¬e]""']",NA
"['Page 34:\n[¬s]""The purpose of the present study was to examine whether a performance feedback intervention was effective in improving the written expression skills of a group of elementary-aged students. In addition, this study attempted to examine whether varying the frequency of feedback affected the amount of improvement observed in students\x92 written expression skills. For the purpose of the present study, general written expression skills, as measured by standardized achievement measures, and writing fluency skills, as measured by CBM-WE, were specifically targeted [¬e]""']",NA
NA,(they claim) to develop children's internal dialogue to improve the organisation of their written texts (but children don't get to write a single sentence)
"['Page 2:\n[¬s]""There were a variety of reasons for carrying out the present study. The first was to see whether the influence of IKR found with a college population (5) would also exist with junior high students, and if so whether the effect would be different for boys and girls.""\n""The final ob\xad jective was to assess whether the IKR was actually func\xad tional or merely descriptive, adding little to the students’ intrinsic idea of how well they are doing.[¬e]""']",NA
"['Page 3:\n[¬s]""This evaluation of the 2002-2003 Cognitive Tutor Algebra I Program was designed to explore\nrelationships between Algebra I Cognitive Tutor and student’s resulting FCAT and final grade\nperformance[¬e]""']",NA
"['Page 1:\n[¬s]""recall[¬e]""']",NA
"['Page 2:\n[¬s]""The purpose of this study was to investigate the effects of goal setting and progress feedback on writing skills and achievement beliefs among academically gifted elementary school children.[¬e]""']",NA
"['Page 1:\n[¬s]"" how goal setting and progress feedback affect self-efficacy and writing achievement[¬e]""', 'Page 3:\n[¬s]""Schunk and Swartz (1991) also examined the role of self-efficacy. Self-efficacy theory predicts that students with higher self-efficacy should be likely to choose to write and expend effort and persist if they encounter difficulty (Schunk, 1989). [¬e]""', 'Page 4:\n[¬s]""In the present study we replicated the Schunk and Swartz (1991) methodology and attempted to expand the generality of their results.[¬e]""']",NA
"['Page 2:\n[¬s]""self-efficacy and writing achievement[¬e]""']",improve writing achievement and self-efficacy 
"['Page 7:\n[¬s]""the intervention aimed to formulate and develop a fuller programme to encourage teachers to use effective feedback routinely in the classrooms.[¬e]""']",NA
"['Page 2:\n[¬s]""The purpose of this study was to determine whether criticism training will transfer to novel speaking, listen\xad ing, and criticism tasks.[¬e]""']",NA
"['Page 8:\n[¬s]""The broad aim for the TLC workshops and peer observations is to improve teaching and learning by embedding formative assessment strategies in teaching practices.[¬e]""']",NA
"['Page 2:\n[¬s]""t gender on c""\n""as conducted to examine the\nef[¬e]""']",NA
"['Page 4:\n[¬s]"" It is a pr.imary objective of -this study to 9 ompare and contrast the two popular approaches t& mastery learning: Keller’s PSI and Bloom\'s LFM.[¬e]""']","However, I am looking at Keller's PSI in relation to traditional methods."
NA,to become fluent in 3-digit multiplications using a bullet-proof system
"['Page 2:\n[¬s]"" develop and validate computer-controlled feedback procedures to help children learn to multiply two- and tliree-digit numbers by one-digit numbers.[¬e]""']",NA
NA,Improved science outcomes
NA,Improved learning outcomes
"['Page 2:\n[¬s]"" t o determine the extent t o which lower and higher processes of cognitive outcomes of learning are affected by the instruc- tional conditions provided t o student[¬e]""']",NA
"['Page 1:\n[¬s]""higher\nachievement[¬e]""']",NA
"['Page 5:\n[¬s]""Our task, then, is to conduct the kind of research which will ultimately allow us to infer that different instructional methods will, in fact, lead to alternative cognitive processing for specified students.[¬e]""']",NA
"['Page 1:\n[¬s]""The purpose of this study was to determine the effectiveness of the Multi-Ethnic Information Feedback System (MIFS) on the reading and arithmetic achievement of fifth grade pupils.[¬e]""']",NA
"['Page 17:\n[¬s]""The aim of this dissertation, in broad terms, is to examine the viability of formative assessment—a teaching practice that assesses students’ current understanding, identifies the gap between current and expected understanding, and provides immediate and useful feedback to students on how to close the gap—-in bringing about conceptual change in the domain of sinking and floating.[¬e]""']",NA
"['Page 16:\n[¬s]""The purpose of this study was to pilot an intervention with teachers that[¬e]""', 'Page 17:\n[¬s]""incorporated formative assessment and collaboration at the classroom level. The goal was to change instructional practices and improve student learning.[¬e]""']",NA
NA,NA
"['Page 28:\n[¬s]""The study has three m ajor purposes. The first is to confirm the effects o f feedback on perform ance o f middle school science students in an ecologically valid setting. The second is to examine the motivational[¬e]""', 'Page 29:\n[¬s]""effects o f feedback. The third is to identify differential effects o f feedback on low- achieving vs. high achieving students. [¬e]""']",NA
"['Page 5:\n[¬s]"" compare achievement under mastery learning and curriculum-based measurement conditions using the second grade spelling curriculum[¬e]""']",NA
"['Page 8:\n[¬s]""intensive training for improving specific read-\ning literacy processes with TuinLEC will increase the students’ competence,[¬e]""']",specifically comprehension
"['Page 3:\n[¬s]""to test its viability as a support\xad ive context for students to practice summarizing[¬e]""']",NA
"['Page 3:\n[¬s]""The present study sought to investigate the outcomes""\n"" with varying amounts of feedback being given to students with re- gard to their responses to multiple-choice test items on mastery tests.[¬e]""']",NA
"['Page 5:\n[¬s]"" The aim is to improve outcomes by increasing the speed and quality of classroom feedback.[¬e]""']",NA
"['Page 3:\n[¬s]""The enabling learning goals\ninclude ﬁnding signaling words in a passage (see Fig. 3), learning to identify which text structure uses those signaling words, using a main\nidea pattern to construct a summary and strategic representation for the text (see Fig. 4), writing a recall of the text without access to the[¬e]""', 'Page 4:\n[¬s]""passage (from memory), and reviewing/monitoring understanding by checking his or her organizing structure and completeness of recall.[¬e]""']",NA
"['Page 2:\n[¬s]""tutoring system for the structure strategy designed to improve content area read-\ning comprehension.[¬e]""']",NA
"['Page 1:\n[¬s]""The goal of this project was to intervene at the\n7th-grade level to increase the likelihood of the students acquiring\nreading comprehension skills prior to entering their final year in\nmiddle school.[¬e]""']",NA
"['Page 2:\n[¬s]""This paper reports on the achievement of secondary school students who worked in classrooms where teachers made time to develop formative assessment strategies.[¬e]""']",NA
"['Page 31:\n[¬s]""Research Questions Direct Revision Instruction 1. What are the effects of direct revision instruction on the quality of eighth graders\' persuasive essays when compared to""\n""regular revision instruction?[¬e]""', 'Page 32:\n[¬s]""2. What are the effects of direct revision instruction on the quantity of revisions made in eighth graders\' persuasive essays when compared to""\n""regular revision instruction?""\n""3. What are the effects of direct revision instruction on the types of revisions made in eighth graders\' persuasive essays when compared to""\n""regular revision instruction?[¬e]""', 'Page 33:\n[¬s]""Regular Revision Instruction 7. What are the effects of regular revision instruction on the quality of eighth graders\' persuasive essays when compared to direct revision instruction""\n""8. What are the effects of regular revision instruction on the quantity of revisions made in eighth graders\' persuasive essays when compared to direct revision instruction""\n""9. What are the effects of regular revision instruction on the types of revisions made in eighth graders\' persuasive essays when compared to direct revision instruction""\n""Relationships Between Levels of Revision, Stages of Revision and Rated Quality 10. What are the relationships between levels of revision and the rated quality (holistic score) of the essays? 11. Are there initial group differences in writing quality among the direct revision instruction""\n""and the regular revision instruction groups?[¬e]""', 'Page 6:\n[¬s]""The purpose of this study was to examine the effects of teacher-guided direct revision instruction""\n""on the quality of eighth grade students\' persuasive essays.[¬e]""']",NA
"['Page 28:\n[¬s]""Improvement in writing is defined as gains in com\xad pleteness, development, and fluency in short autobiogra\xad phical narratives. 1) Student narratives will increase in completeness, development, and fluency after they receive quantitative positive feedback.[¬e]""']","to improve the quality of students' creative writing (completeness, development, fluency)"
"['Page 10:\n[¬s]"" the efficacy of using the feedback variable to improve writing, controlling other aspects of the writing instructional process.""\n"" Can feedback alone help students improve their performance on a writing task? 2) What kind of feedback will be most effective in helping students improve their writing? 3) In what manner should feedback be provided?[¬e]""']",NA
"['Page 2:\n[¬s]""The aim of the present study was to examine the effects of increas- ing time-on-task upon reading achievement in underachieving children.[¬e]""']",NA
"['Page 23:\n[¬s]""(1) Can form ative assessment im prove students’ m otivational beliefs, especially those hypothesized to be related to both conceptual change and form ative assessment? (2) Can form ative assessment im prove students’ science achievement and conceptual change? (3) Is students’ science achievement and conceptual change correlated w ith their m otivational beliefs? This study was designed, conducted, and data analyzed w ith the goal o f answering these main questions.[¬e]""']",NA
"['Page 14:\n[¬s]""The p u r p o s e of this study is to examine i n s t r u c t i o n a l strategies that c o u l d p rovi de students w i t h skills t o do this. W r i t i n g i n s t r u ctio nal strategies t h a t combine c ontem p o r a r y methods of a sse ssing w r i t i n g qua lity w i t h l e a r n i n g the w r i t i n g process are compared. Two questions about t each ing w r i t i n g are addressed: (a) Can f o u r t h graders enhance the ir w r i t i n g perf or m a n c e b y l e a r n i n g to use the criteria in a w r i t i n g rubric to assess their o w n w o r k in soc ially m e d i a t e d classroom situations that include p e e r and t e a c h e r input? (b) Is there a rela tionship b e t w e e n students\' w r i t i n g pe r f o r m a n c e and their a bilit y to l i s t the criteria of g o o d writing?[¬e]""']",NA
"['Page 1:\n[¬s]""The effects of""\n"" degrees of structuring in a teacher\'s demonstration upon rule learning were studied with 6- and 8-year-old children.[¬e]""']",NA
