school_treat_info,school_treat_ht,school_cont_info,school_cont_ht,school_total_info,school_total_ht,school_na_raw,school_na_info,school_na_ht
1,NA,1,"['Page 2:\n[¬s]""Twenty first graders (mean age = 6 years, 2 months) from a private school in suburban Baltimore, Maryland, participated in this study. [¬e]""']",1,"['Page 2:\n[¬s]""Twenty first graders (mean age = 6 years, 2 months) from a private school in suburban Baltimore, Maryland, participated in this study. [¬e]""']",NA,NA,NA
70,"['Page 19:\n[¬s]""Intervention (N=70[¬e]""']",70,"['Page 19:\n[¬s]""Control (n=70,[¬e]""']",140,NA,NA,NA,NA
3,"['Page 3:\n[¬s]""three suburban schools[¬e]""']",3,NA,3,NA,NA,NA,NA
1,"['Page 3:\n[¬s]""Fifty-three\' students enrolled in a high school regents ^ \'chemistry course were"" randomly assigned to three treatment groups (Keeler group, Bloom grbup, and traditional group).[¬e]""']",1,NA,1,"['Page 3:\n[¬s]""Fifty-three\' students enrolled in a high school regents ^ \'chemistry course were"" randomly assigned to three treatment groups (Keeler group, Bloom grbup, and traditional group).[¬e]""']",NA,NA,NA
1,"['Page 2:\n[¬s]""a junior school[¬e]""']",1,"['Page 2:\n[¬s]"" a junior school[¬e]""']",1,"['Page 2:\n[¬s]""a junior school[¬e]""']",NA,NA,NA
1,"['Page 2:\n[¬s]""The subjects were 58 children enrolled in a second- year class and a third-year class at a junior school[¬e]""']",1,"['Page 2:\n[¬s]""The subjects were 58 children enrolled in a second- year class and a third-year class at a junior school[¬e]""']",1,"['Page 2:\n[¬s]""The subjects were 58 children enrolled in a second- year class and a third-year class at a junior school[¬e]""']",NA,NA,NA
1,NA,1,NA,1,NA,NA,NA,NA
1,NA,1,NA,1,NA,NA,NA,NA
NA,NA,NA,NA,2,"['Page 5:\n[¬s]"" a high schoo""\n"" an elementary schoo[¬e]""']",NA,NA,NA
2,"['Page 3:\n[¬s]""A total of 104 students was employed. Of the\ntotal, 47 were recruited from a Catholic parochial\nschool, and the remaining 57 from a Jewish paro-\nchial school[¬e]""']",2,"['Page 3:\n[¬s]""A total of 104 students was employed. Of the\ntotal, 47 were recruited from a Catholic parochial\nschool, and the remaining 57 from a Jewish paro-\nchial school[¬e]""']",2,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"['Page 4:\n[¬s]""MIFS\' wafs implemented in five ALar.ge city elementary schools[¬e]""']",5,NA,10,"['Page 4:\n[¬s]""MIFS\' wafs implemented in five ALar.ge city elementary schools. Fi\\fe additional schools were selected at random to form a control grdup.[¬e]""']",NA,NA,NA
1,"['Page 30:\n[¬s]""This study took place in two phases, involving 102 sixth and seventh graders in a charter school in Hawai‘i,[¬e]""']",1,"['Page 30:\n[¬s]""This study took place in two phases, involving 102 sixth and seventh graders in a charter school in Hawai‘i,[¬e]""']",1,"['Page 30:\n[¬s]""This study took place in two phases, involving 102 sixth and seventh graders in a charter school in Hawai‘i,[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"['Page 1:\n[¬s]""The cooperation- with-individual-feedback and cooperation-with-shared-feedback con- ditions, each at 4 schools, consisted of 64 and 67 students, respec- tively.[¬e]""']",5,NA,NA,NA,NA,NA,NA
1,"['Page 77:\n[¬s]""Permission to conduct the study was obtained from the principal o f the school,[¬e]""']",1,"['Page 77:\n[¬s]""Permission to conduct the study was obtained from the principal o f the school,[¬e]""']",NA,NA,NA,NA,NA
1,"['Page 32:\n[¬s]""The participants consisted of four second grade teachers at a midwestem elementary school who volunteered to participate in this study.[¬e]""']",1,"['Page 32:\n[¬s]""The participants consisted of four second grade teachers at a midwestem elementary school who volunteered to participate in this study. [¬e]""']",4,"['Page 1:\n[¬s]""This study compared two procedures utilizing participants enrolled in four second grade classrooms in a midwestem elementary school[¬e]""', 'Page 32:\n[¬s]""The participants consisted of four second grade teachers at a midwestem elementary school who volunteered to participate in this study[¬e]""']",NA,NA,NA
1,"['Page 8:\n[¬s]""Twenty-five students in their sixth year of primary school, from a school in the\nAutonomous Community of Valencia, participated.[¬e]""']",1,"['Page 8:\n[¬s]""Twenty-five students in their sixth year of primary school, from a school in the\nAutonomous Community of Valencia, participated[¬e]""']",1,NA,NA,NA,NA
NA,NA,NA,NA,1,"['Page 18:\n[¬s]""a suburban school[¬e]""']",NA,NA,NA
NA,NA,NA,NA,2,"['Page 3:\n[¬s]"" two high schools[¬e]""']",NA,NA,NA
49,"['Page 25:\n[¬s]""Allocated to intervention 49 Schools[¬e]""']",48,"['Page 25:\n[¬s]""Allocated to control 48 schools[¬e]""']",97,"['Page 24:\n[¬s]""Out of the population of 532 eligible schools, 97 took part.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,5,"['Page 6:\n[¬s]""A total of 5\nschools and 24 classrooms were used in this analysis.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,45,"['Page 11:\n[¬s]""At the conclusion of the recruitment effort a total of 45 schools (22 rural and 23\nsuburban schools with a total of 128 classrooms) signed the agreement to participate in the\nresearch study[¬e]""']",NA,NA,NA
NA,NA,NA,NA,25,"['Page 8:\n[¬s]""The recruitment effort resulted in a total of 25 schools ([¬e]""']",NA,NA,NA
6,NA,6,NA,6,"['Page 2:\n[¬s]""six schools[¬e]""']",NA,NA,NA
1,"['Page 75:\n[¬s]""one each from three different middle schools[¬e]""']",1,"['Page 75:\n[¬s]""one each from three different middle schools,[¬e]""']",2,"['Page 75:\n[¬s]""Three teachers, one each from three different middle schools, participated in the study.[¬e]""']",NA,NA,NA
1,"['Page 36:\n[¬s]""The school population is drawn from a suburban town of 12,000 with few minority students.[¬e]""']",1,"['Page 36:\n[¬s]""The school population is drawn from a suburban town of 12,000 with few minority students.[¬e]""']",1,"['Page 36:\n[¬s]""The school population is drawn from a suburban town of 12,000 with few minority students.[¬e]""']",NA,NA,NA
1,"['Page 36:\n[¬s]""The school population is drawn from a suburban town of 12,000 with few minority students.[¬e]""']",1,"['Page 36:\n[¬s]""The school population is drawn from a suburban town of 12,000 with few minority students.[¬e]""']",1,"['Page 36:\n[¬s]""The school population is drawn from a suburban town of 12,000 with few minority students.[¬e]""']",NA,NA,NA
1,"['Page 2:\n[¬s]""an intermediate (4-6) school[¬e]""']",1,"['Page 2:\n[¬s]""an intermediate (4-6) school[¬e]""']",2,"['Page 2:\n[¬s]""One intervention program was begun in a primary (K-3) school located in a predominantly white, relatively affluent area. The other program was established in an intermediate (4-6) school located in a predominantly black, economically depress- ed area. The two schools had been paired for busing purposes, with an equal racial balance.[¬e]""']",NA,NA,NA
6,"['Page 62:\n[¬s]""Teachers were matched in to six pairs based on schools and aggregate student characteristics. A n d then one member o f each pairs was random ly assigned in to ""\n"" the experimental group (E) [¬e]""']",6,"['Page 62:\n[¬s]"" Teachers were matched in to six pairs based on schools and aggregate student characteristics. A n d then one member o f each pairs was random ly assigned in to""\n"" the control group (C).[¬e]""']",12,"['Page 7:\n[¬s]"" 12 different schools[¬e]""']",NA,NA,NA
NA,NA,NA,NA,8,"['Page 38:\n[¬s]""eight sch ools in an u r b a n district[¬e]""']",NA,NA,NA
1,"['Page 3:\n[¬s]""a private school[¬e]""']",1,"['Page 3:\n[¬s]""a private school[¬e]""']",1,"['Page 3:\n[¬s]"" a private school[¬e]""']",NA,NA,NA
