int_design_raw,int_design_ht,int_design_info
['Individual RCT'],"['Page 5:\n[¬s]"" The students who applied for algebra were assigned to different treatments by a random procedure using a computer program designed for this purpose.""\n"" At the beginning of the school year, students were assigned to classes by a random procedure.[¬e]""']",NA
['Individual RCT'],"['Page 3:\n[¬s]""herefore, students were randomly assigned to one\nof two rooms in which they were required to com-\nplete the program in either a constructed response\nor a reading group. After the program was com-\npleted, the posttest was administered,[¬e]""']",NA
['Cluster RCT'],NA,NA
['Cluster RCT'],"['Page 4:\n[¬s]""MIFS\' wafs implemented in five ALar.ge city elementary schools. Fi\\fe additional schools were selected at random to form a control grdup.[¬e]""']",NA
['Cluster RCT'],"['Page 32:\n[¬s]""In both phases, students were assigned to two groups, and the groups randomly assigned to an experimental or control condition, as illustrated in Figure 3.2 below. Students at each grade were stratified on gender and then randomly assigned to conditions. That the randomization “worked” is supported by statistical comparison of groups by ethnicity and a stanine-equivalent (a measure of prior achievement).[¬e]""', 'Page 88:\n[¬s]""This study was an experimental study.""\n"" students in a particular grade-level (e.g. 6th or 7th grade) were randomly assigned to one of two groups, and the groups randomly assigned to an experimental or control condition. Randomization stratified on gender initially; then supported by statistical comparison of the two groups by ethnicity and a stanine-[¬e]""']",NA
['Cluster RCT'],NA,NA
['Cluster RCT'],"['Page 1:\n[¬s]""The classes were randomly assigned to the conditions.[¬e]""']",NA
['Prospective QED'],"['Page 76:\n[¬s]"" The study is quasi-experimental, using a w ithin-subjects crossover design (Campbell & Stanley, 1966)[¬e]""']",NA
['Multisite RCT'],"['Page 32:\n[¬s]""The participants consisted of four second grade teachers at a midwestem elementary school who volunteered to participate in this study.[¬e]""']",Students of an elemetary school were randomly assigned to treatment and control groups. Since they were in the same school I consider the design to be multisite.
['Individual RCT'],"['Page 8:\n[¬s]""Twenty-five students in their sixth year of primary school, from a school in the\nAutonomous Community of Valencia, participated. Half were assigned to the\ncontrol group and the other half to the experimental group. In order to divide\nthem up, we first administered the Comprehension Strategies Test (Test de\nEstrategias de Comprensión, TEC) in its electronic version (TEC-e; Martínez,\nVidal-Abarca, Gil, & Gilabert, 2009) that assessed their general comprehension\nability. Once arranged by scores, they were randomly assigned to the experimental\nand control groups in comparable numbers[¬e]""']",NA
['Prospective QED'],NA,NA
['Cluster RCT'],NA,NA
['Cluster RCT'],"['Page 5:\n[¬s]""A cluster randomised controlled trial was used to evaluate the impact of the intervention on Year 6 maths and reading outcomes[¬e]""']",NA
['Multisite RCT'],"['Page 6:\n[¬s]""A multi-site cluster randomized trial was conducted with rural and suburban 4th and 5th grade classrooms. Fig. 6 illustrates the design.\nExperimental and control groups actually had the same curriculum (except for a class period each week) because classrooms were randomly\nassigned to ITSS or control groups within schools. One of the regular language arts class was substituted by ITSS instruction each week for\nthe experimental group while the control group continued with their regular language arts class. The diagram shows the consistency in\ncurriculum and instructional time within the school. Schools agreed to use the software as a partial substitute to the Language Arts\nclassrooms for 30–45 min each week.[¬e]""']",NA
['Multisite RCT'],"['Page 10:\n[¬s]""This efﬁcacy study investigated the effects of a web-based tutoring system to teach the\nstructure strategy to ﬁfth-grade students in rural and suburban settings. To accomplish this,\nwe used a multisite cluster randomized trial. A volunteer sample of 128 teachers and their\nclassrooms were randomly assigned to the ITSS and control groups within schools. The\nwithin-school random assignment of classrooms maintains curricular consistency between\nthe intervention and control classrooms in the same school. Teachers in the ITSS condition\nagreed to use ITSS for about 20 to 30 min a week instead of regular classroom instruction.\nThe control teachers used the school’s standard language arts curriculum for the total\nlanguage arts instructional time. Schools signed a memorandum of understanding agreeing\nto participate in the research study.[¬e]""']",NA
['Multisite RCT'],"['Page 8:\n[¬s]""This multisite cluster randomized efficacy study investigated the\neffects of a web-based tutoring system (ITSS) to deliver the\nstructure strategy-based comprehension instruction to 7th-grade\nstudents in rural and suburban settings. A volunteer sample of 108\nclassrooms were stratified by school and randomly assigned to\nITSS or business as usual control. Schools agreed to use the ITSS\nsoftware as a partial substitute for the language arts period for\n30–45 min each week[¬e]""']",NA
['Prospective QED'],NA,NA
['Cluster RCT'],NA,"Note that while the highlighted sections relate to three school/teachers, data extraction is only for two schools/teachers. "
['Multisite RCT'],"['Page 36:\n[¬s]""Four groups were drawn randomly from two sixth grade language arts classes taught by different teachers.[¬e]""']",Both the groups belonged to same school.
['Multisite RCT'],"['Page 36:\n[¬s]""Four groups were drawn randomly from two sixth grade language arts classes taught by different teachers.[¬e]""']",Both the groups belonged to same school.
['Individual RCT'],NA,NA
['Cluster RCT'],NA,NA
['Multisite RCT'],NA,NA
['Multisite RCT'],NA,NA
