base_diff_raw,base_diff_ht,base_diff_info
['Yes'],"['Page 4:\n[¬s]""The children were divided into four groups of 40, each contain\xad ing 20 girls (10 high-anxious, 10 low-anxious) and 20 boys (10 high-anxious, 10 low-anxious). High-anxious children had TASC scores that fell at or above the 80th percentile (score range: 13-28 for boys, and 17-30 for girls). The TASC scores of low-anxious children fell at or below the 20th percentile (score range: 0-5 for boys, 0-7 for girls).[¬e]""']",NA
['Yes'],"['Page 5:\n[¬s]"" was given knowledge-of-results while the other half was not. Both groups, who did not differ in initial ability level, were then post- tested twice to see if any significant difference existed in their conservation performance [¬e]""']",NA
['Yes'],"['Page 6:\n[¬s]""M scores for both the second- and fourth-grade treatment and non-treatment groups were similar.[¬e]""']",NA
['Yes'],"['Page 6:\n[¬s]""M scores for both the second- and fourth-grade treatment and non-treatment groups were similar.[¬e]""']",NA
['Yes'],"['Page 2:\n[¬s]"" the two groups of children obtained highly imilar scores on the initial test and did not differ on T2 and T3 after feedback.[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""t, the Interesse- Schoolvorderingen-Intelligentie Reeks (Snijders, Souren, & Welten, 1968)). Analysis of variance of the scores on this test yielded no significant differences between the conditions.[¬e]""', 'Page 5:\n[¬s]""Immediate test ""\n""Factual ""\n""Short feedback delay (N = 34)""\n""Long feedback delay (N = 28)""\n""Control (N = 35)""\n""9.11 ""\n""9.00 ""\n""9.31 [¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""previously taken a test of reading ability (a subtest of a Dutch intelligence test, the Interesse- Schoolvorderingen-Intelligentie Reeks (Snijders, Souren, & Welten, 1968)). Analysis of variance of the scores on this test yielded no significant differences between the conditions.[¬e]""']",Reading ability test taken initially showed no difference between the children of any conditions. 
['No/Unclear'],"['Page 5:\n[¬s]""Although this study included selection of school-identified subjects with learning disabilities ac\xad cording to level of task performance, specific data such as treatment group means of intelligence levels, achieve\xad ment levels, and socioeconomic status were not available and therefore should be considered as a limitation in interpretation of the results.[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""There\nwere no signiﬁcant differences between treatment groups in initial mean scores on the GM.[¬e]""']",NA
NA,NA,NA
['Yes'],"['Page 119:\n[¬s]""Table 2 Demographic Composition of Participants per Group Condition Reviewers Readers Control Ethnicity Females Males Females Males Females Males[¬e]""', 'Page 139:\n[¬s]""First, an analysis of variance (ANOVA) was performed across the three groups on the participants\x92 age, as well as a chi-square test for ethnicity, gender, and provision of special education services. All assumptions for ANOVA were examined and met (Levene Statistic (2,142) = 1.321, p = .27. No statistically significant difference was found between groups on age (F(2,142) = .042, p = .959.) ""\n""Table 4 Means and Standard Deviations for Age Among the Three Groups[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""Analyses were conducted to check for differences by group in demographics and academic performance""\n""no statistically significant differences were\nfound among the groups[¬e]""']",NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,"The study does not report any differences at baseline, but students were randomly assigned to conditions hence lack of differences are highly probable."
['No/Unclear'],NA,NA
['Yes'],NA,NA
['Yes'],"['Page 4:\n[¬s]""Pretest scores were analyzed first via analysis of variance (ANOVA) to check for equality of groups before interven\xad tion. No significant differences among the groups, F(2,50) = 0.96,p> .05, or between the Content and Mechanics subscores,/ 7 (1,50) = 0.20,p>.05, were found.[¬e]""']",NA
['No/Unclear'],NA,NA
['Yes'],"['Page 20:\n[¬s]""Table 4: Characteristics of participating schools""\n""Baseline Comparison[¬e]""']",Baseline characteristics of schools
['Yes'],"['Page 51:\n[¬s]""Chi-square analyses revealed no significant difference between the demographic characteristics of the participants and their condition assignment, including gender, χ 2 (2) = .99, p = .61, and ethnicity, χ 2 (2) = 1.84, p = .21. In addition, no significant difference between the age of the participants and condition was found, F (2, 41) = .70, p = .50.[¬e]""', 'Page 52:\n[¬s]""No significant differences were found between participants\x92 classroom assignment and the dependent variables of total words written, F (2, 41) = 2.42, p = .10; correctly spelled words, F (2, 41) = 2.33, p = .14; or number of sentences, F (2, 41) = 1.18, p = .34, as assessed on the curriculum-based assessment of written expression. No significant differences were also found between the participants\x92 performance on the standardized measures at pre-assessment, including the Test of Word Reading Efficiency, F (2, 41) = .55, p =.58; the Test of Written Language, F (2, 41) =.71, p =.50; or the Broad Written Language Cluster of the Woodcock Johnson Test of Achievement, F (2,41) =.62, p =.54. These results suggest that the participants assigned to the three conditions did not differ significantly on demographic variables nor were there statistically significant differences in the participants\x92 performance on initial assessment measures.[¬e]""']",NA
NA,NA,NA
['No/Unclear'],NA,Not reported
['No/Unclear'],NA,NA
['No/Unclear'],"['Page 3:\n[¬s]""Students were blocked as high or low in\nachievement based upon cumulative grade\npoint average (GPA).[¬e]""']",NA
['No/Unclear'],NA,NA
['Yes'],"['Page 9:\n[¬s]""Preliminary ANOVAs yielded no significant between-conditions differences on pretest measures. There were no significant differences on any measure due to classroom or gender, nor were there significant interactions between condition, classroom, and gender.[¬e]""']",NA
['Yes'],"['Page 9:\n[¬s]""Preliminary ANOVAs yielded no significant between-conditions differences\non pretest measures. There were no significant differences on any measure due\nto classroom or gender, nor were there significant interactions between\ncondition, classroom, and gender[¬e]""']",NA
['Yes'],"['Page 27:\n[¬s]""Step 1: background and prior attainment[¬e]""']",NA
NA,NA,NA
['Yes'],"['Page 21:\n[¬s]""Table 4 provides a comparison between treatment and control at baseline and suggests the trial is well balanced in terms of inspection grade, broad school type, cohort size, and eligibility for FSM. Most importantly it is well balanced in terms of the KS2 score pre-test.""\n""Table 4: Baseline comparison[¬e]""']",NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
['Yes'],"['Page 3:\n[¬s]""The subjects were 52 of the children who had partici\xad pated in the first experiment. They were re-assigned to no feedback, passive feedback or active feedback conditions using a stratified random sampling[¬e]""', 'Page 4:\n[¬s]""procedure. The children were divided into groups of three matched on the basis of pre-test scores from the previous experiment. From within each group one child was assigned at random to each condition.[¬e]""']",NA
['No/Unclear'],NA,NA
['Yes'],"['Page 80:\n[¬s]""The results of these comparisons indicate that the small differences\nfound among the three groups in prior achievement in each of the studies are\nnot significant.[¬e]""']",see table 4 for comparability of teacher given science grades
['Yes'],NA,see Table 4 for pretest comparisons
['Yes'],"['Page 4:\n[¬s]""Table 1.-Comparison of Means and Standard Deviations for Prior Achievement""\n""Sixth grade-science""\n""Ninth grade-algebra""\n""aNo two groups are significantly different at the 0.05 level.""\n""The analysis revealed no significant differences among the three instructional groups in both studies. [¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""Means and Standard Deviations for Pre- and\nPosttests\nVariable\nPretest\nPosttest""\nProgram error1\'\nb• Total points = 28.\nConstructed\nresponse\nU\n7.3\n16.1\n6.[¬e]""']",NA
NA,NA,NA
NA,NA,NA
['Yes'],"['Page 31:\n[¬s]""Table 3.1: Student characteristics and performance at Pretest, by grade-level.[¬e]""', 'Page 32:\n[¬s]"" No significant differences existed between groups.[¬e]""']",No differences were there in the baseline
NA,NA,NA
['Yes'],"['Page 2:\n[¬s]""At the outset of the investigation, students in the coopera- tion-with-individual-feedback condition scored lower on achievement than did students in the control condition.[¬e]""']",NA
['No/Unclear'],NA,NA
NA,NA,NA
['Yes'],"['Page 8:\n[¬s]""(Experimental Group: M = 13.00, SD =\n3.90, Control Group: M = 12.84, SD = 3.64, t = ‒.102, p = .920).[¬e]""']",NA
['No/Unclear'],NA,NA
['Yes'],"['Page 3:\n[¬s]""A preliminary test was made to determine if significant age differ- ences existed between the groups. This was ac- complished by extracting students\' ages from cumulative files and computing a one-way analysis of variance. The analysis of variance yielded no significant age differences (p > .7) between groups with an overall age mean of 16 years 5 months and a standard deviation of 10 months. All students were administered the Otis-Lennon Mental Ability Test (Otis & Lcnnon, 1967), and these scores were used as a classification variable for the study. A one-way analysis of variance was also computed for deviation IQ scores with no significant differences (p > .5) between groups noted. Mean deviation IQ was 99.2 with a standard deviation of 11.[¬e]""']",NA
['Yes'],"['Page 29:\n[¬s]"" This difference is equivalent to an effect size of around 0.14 standard deviations (not presented) in baseline test scores (in favour of the control group). Hence for cohort A there is evidence of some imbalance in pre-intervention achievement between the intervention and control groups.""\n""For cohort B, there seems to be evidence of better balance in pre-intervention characteristics between treatment and control groups.[¬e]""', 'Page 30:\n[¬s]""Table 8: Baseline comparison for cohort A (one year of intervention)[¬e]""', 'Page 31:\n[¬s]""Table 9: Baseline comparison for cohort B (two years of intervention)[¬e]""']",NA
['No/Unclear'],"['Page 9:\n[¬s]""There was no statistically signiﬁcant difference between ITSS and control groups on the pretests at the random assignment classroom\nlevel (t21 ¼j.31j, p ¼ .76 for the GSRT; t21 ¼j.36j, p ¼ .72 for the Signaling test; t19 ¼j.16j, p ¼ .88 for Main Idea Quality; t21 ¼j.75j, p ¼ .46 for\nComparison Competency). This indicated that the ITSS and control classrooms were comparable in their reading level before the imple-\nmentation of the experiment.[¬e]""']",NA
['Yes'],"['Page 18:\n[¬s]""Pretest""\n""65\n65\n1,351\n1,258\nM\n27.82\n35.49\n28.04\n35.43\nSD\n4.07 63\n3.37 62\n11.45 1,294\n11.13 1,227\nn\nControl\nM\n27.06\n3""\n""Pretest[¬e]""']",NA
['Yes'],"['Page 12:\n[¬s]""able 1\nGrade 7 Class- and Student-Level Means and Standard Deviations on Reading Measures\nITSS\nPretest\nMeasure\nGSRT\nShort comparison text\nSignaling test\nTop-level structure\nNo. of issues\nCompetence\nLong comparison text\nTop-level structure\nNo. of issues\nCompetence\nMain idea\nTop-level structure\nNo. of issues\nCompetence\nProblem and solution text\nTop-level structure\nCompetence\nGSRT\nShort comparison text\nSignaling test\nTop-level structure\nNo. of issues\nCompetence\nLong comparison text\nTop-level structure\n# issues\nCompetence\nMain idea\nTop-level structure\nNo. of issues\nCompetence\nProblem and solution text\nTop-level structure\nCompetence\nn M SD\n59 35.75\n59 13.82\n59\n59\n59\n5.41\n1.66\n4.37\n59\n59\n59\n59\n59\n59\n59\n59\n2.67\n0.20\n1.48\n3.75\n0.16\n2.97\n4.37\n3.65\n5.02\n2.69\n0.70\n0.52\n0.84\n0.67\n0.19\n0.47\n0.41\n0.12\n0.4[¬e]""']",NA
['No/Unclear'],NA,NA
['Yes'],"['Page 77:\n[¬s]"" Thirty-one students were black, 101 were white, and two were classified as ""other"". Of the 134 students, 66 were female and 68 were male.[¬e]""']",NA
['Yes'],"['Page 51:\n[¬s]""TABLE 6 A COMPARISON OF THE MEANS BETWEEN CLASSES ON PRE- AND POSTTEST SCALES 1, 2, & 3[¬e]""']",NA
['Yes'],"['Page 51:\n[¬s]""TABLE 6 A COMPARISON OF THE MEANS BETWEEN CLASSES ON PRE- AND POSTTEST SCALES 1, 2, & 3[¬e]""']",NA
['No/Unclear'],NA,NA
['Yes'],"['Page 65:\n[¬s]""Table 3.1 M atching Between Experimental Group Schools and Control Group Schools""\n""Experimental Control Teachera School Size Ethnicity % F L b % Proficiencyc Teacher School Size Ethnicity % FL % Proficiency[¬e]""', 'Page 67:\n[¬s]""Table 3.2 Information about the Participant Teachers and Their Classes Experimental Control Teacher Teaching Experience "" Degree Student Grade Level Number of Classese Average Class Size Teacher Teaching Experience Degree Student Grade Level Number o f Classes Average Class Size[¬e]""']",NA
['Yes'],"['Page 63:\n[¬s]""A o n e - w a y A N O V A was u s e d to determi ne w h e t h e r there were b e t w e e n group d i ffe rence s prior to treatment. A l t h o u g h the random assignme nt of e a c h class to trea t m e n t was expected to control for effects due to i n d i v i d u a l group differences, the analysis showed that the groups were si gnif i c a n t l y d i f f e r e n t pri o r to treatment, F(2, 289) = 8.41, p < .01 (see Figure 1 for a graph showing the differences b e t w e e n groups p r i o r to a n d after the t r e a t m e n t ) .[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]"" it is necessary to examine the pretest scores to determine if the cards alone differentially cued either age group. A t test revealed no differences of signifi- cance between groups.[¬e]""']",NA
