comp_var_rep_raw,comp_var_rep_ht,comp_var_rep_info,comp_var_raw,comp_var_ht,comp_var_info
['Yes'],NA,NA,['Educational attainment'],"['Page 3:\n[¬s]""grade\npoint average (GPA)[¬e]""']",NA
['No'],NA,NA,NA,NA,NA
['Yes'],NA,NA,NA,NA,NA
['Yes'],NA,NA,['Gender'],NA,NA
['N/A'],NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA
['N/A'],NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
['Yes'],"['Page 4:\n[¬s]""pre-test scores from the previous experiment[¬e]""']",NA,['Educational attainment'],"['Page 3:\n[¬s]"" The tests-only condition served as a control for the priming effect of the pre-test, maturation, and other correlative factors. The intention was to make tliree orthogonal comparisons among the conditions after covariance adjustment to eliminate differences in ability to multiply which appeared on the pre-test.[¬e]""']",NA
['No'],NA,NA,NA,NA,NA
['Yes'],NA,NA,['Educational attainment'],NA,NA
['Yes'],NA,NA,['Educational attainment'],NA,NA
['N/A'],NA,NA,NA,NA,NA
['Yes'],NA,NA,"['Educational attainment', 'Gender']","['Page 3:\n[¬s]""Table 3\nMeans and Standard Deviations for Pre- and\nPosttests[¬e]""', 'Page 3:\n[¬s]""he mean age of the students was 11.5\nyears; there were 52 females and 52 males in al[¬e]""']",NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
['Yes'],"['Page 31:\n[¬s]""Table 3.1: Student characteristics and performance at Pretest, by grade-level.[¬e]""']",NA,"['Educational attainment', 'Gender', 'Other (please specify)']","['Page 32:\n[¬s]""Stanine""\n""MC Pretest[¬e]""', 'Page 31:\n[¬s]""Gender[¬e]""', 'Page 31:\n[¬s]""Ethnicity[¬e]""']",Ethnicity
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
['Yes'],NA,NA,['Educational attainment'],"['Page 14:\n[¬s]""he results show that the experimental group improved its performance in\nreading literacy skills (M = 13.00, SD = 3.67) with regard to the control group\n(M = 10.0, SD = 4.66), F(1, 22) = 4.329; p = .049. In addition, the effect of the\ncovariate turned out to be statistically significant, F(1, 22) = 13.776; p < .01,\nindicating that the scores achieved in reading literacy skills were influenced by the\nlevel of initial comprehension.[¬e]""']",NA
['N/A'],NA,NA,NA,NA,NA
['N/A'],NA,NA,NA,NA,NA
['Yes'],"['Page 30:\n[¬s]""Table 8: Baseline comparison for cohort A (one year of intervention)[¬e]""', 'Page 31:\n[¬s]""Table 9: Baseline comparison for cohort B (two years of intervention)[¬e]""']",NA,"['Educational attainment', 'Gender', 'Socio-economic status']","['Page 30:\n[¬s]""KS1 maths""\n""KS1 reading""\n""KS1 writing""\n""KS1 APS[¬e]""', 'Page 31:\n[¬s]""KS1 maths""\n""KS1 reading""\n""KS1 writing""\n""KS1 APS[¬e]""', 'Page 30:\n[¬s]""Sex, male[¬e]""', 'Page 31:\n[¬s]""Sex, male[¬e]""', 'Page 30:\n[¬s]""Currently eligible for FSM[¬e]""', 'Page 31:\n[¬s]""Currently eligible for FSM[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender']","['Page 10:\n[¬s]""dent and class level means, standard deviations, statistical results, and effect size of HLM analysis on adjusted scores of the Gray Silent Reading Test (GSRT; Wiederholt &\nBlalock, 20[¬e]""', 'Page 8:\n[¬s]""HLM models, student-level predictors included gender (1 ¼ female, 0 ¼ male, grand-mean centered), G[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender', 'Socio-economic status']","['Page 13:\n[¬s]""Reading comprehension\nGray Silent Reading Testa\nProblem and solution textb\nTotal recall\nCompetency\nComparison textb\nTotal recall\nCompetency\nMain idea quality\nSignaling[¬e]""', 'Page 16:\n[¬s]""A base model was then estimated to answer the main research\nquestion, in which there were predictor variables at each level. At the student level, predictor\nvariables included gender (1 = female, 0 = male; grand-mean-centered[¬e]""', 'Page 11:\n[¬s]""Proportion of racial/ethnic minority students (%)\nProportion of socioeconomically disadvantaged students (%)b\nStudent education expenditure rate (dollars)c""\n""Proportion of racial/ethnic minority students (%)\nProportion of socioeconomically disadvantaged students (%)b\nStudent education expenditure rate (dollar[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender', 'Socio-economic status']","['Page 12:\n[¬s]""SRT\nShort comparison text\nSignaling test\nTop-level structure\nNo. of issues\nCompetence\nLong comparison text\nTop-level structure\nNo. of issues\nCompetence\nMain idea\nTop-level""\n""No. of issues\nCompetence\nProblem and solution text\nTop-level structure\nCompe[¬e]""', 'Page 8:\n[¬s]""About 48% of the student\nsample (48.2%; n ⫽ 1,200) was female[¬e]""']",NA
['N/A'],NA,NA,NA,NA,NA
['N/A'],NA,NA,NA,NA,NA
['Yes'],"['Page 51:\n[¬s]""A COMPARISON OF THE MEANS BETWEEN CLASSES ON PRE- AND POSTTEST SCALES 1, 2, & 3[¬e]""']",NA,NA,NA,NA
['Yes'],"['Page 51:\n[¬s]""TABLE 6 A COMPARISON OF THE MEANS BETWEEN CLASSES ON PRE- AND POSTTEST SCALES 1, 2, & 3[¬e]""']",NA,NA,NA,NA
['N/A'],NA,NA,NA,NA,NA
['Yes'],NA,NA,"['Educational attainment', 'Other (please specify)']","['Page 166:\n[¬s]"" In this study, students had rather different starting m otivation and achievement scores, therefore, predictors at level 1, specifically pretest scores, were added to the model as covariate(s) to account fo r the outcome variable variance within-teacher.""\n""Take the posttest M C score as an example. T o account fo r the within-teacher variance o f posttest M C , which is 38.831 (see Table 5.7), the M C pretest score and the pretest m otivation subscale scores were introduced at level-1 as covariates fo r the M C posttest score.[¬e]""']",Motivation
['Yes'],NA,NA,['Educational attainment'],"['Page 63:\n[¬s]"" Therefore, us i n g pre test scores as the covariate, an a naly sis of covariance (ANCOVA) was use d in the final ana lysis of the p osttest scores to correct for the di ffer e n c e s in the groups b e f o r e treatment (Tabachnick & Fidell, 1989) and to d e t e r m i n e the effectiveness of the treatment groups.[¬e]""']",NA
['N/A'],NA,NA,NA,NA,NA
