base_n_treat_ht,base_n_treat_info,base_n_cont_ht,base_n_cont_info,base_n_treat2_ht,base_n_treat2_info,base_n_treat3_ht,base_n_treat3_info
"['Page 8:\n[¬s]""Enhanced CPR + FB/C""\n""(n = 30)""\n""Enhanced CPR + FB/C""\n""( n = 29)[¬e]""']",59,"['Page 8:\n[¬s]""Conventional""\n""(n = 30)""\n""Conventional""\n""(n = 31)[¬e]""']",61,NA,NA,NA,NA
"['Page 3:\n[¬s]""57 from a Jewish paro-\nchial school.[¬e]""']",57,"['Page 3:\n[¬s]""47 were recruited from a Catholic parochial\nschoo[¬e]""']",47,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""MIFS—WHITE 100""\n""MIFS-jBLACK 240[¬e]""']",340,"['Page 4:\n[¬s]""CONTROL-WHITE . 156""\n""CONTROL-BLACK\' . 222[¬e]""']",378,NA,NA,NA,NA
"['Page 7:\n[¬s]""a small randomized experiment involving 102 middle school students was conducted.[¬e]""']",52,"['Page 7:\n[¬s]"" In Phase I of the study, 52 6th graders were randomly assigned to a treatment or control group; in Phase II of this study, 50 7th graders were randomly assigned to a treatment or control group[¬e]""']",50,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 1:\n[¬s]""The cooperation- with-individual-feedback and cooperation-with-shared-feedback con- ditions, each at 4 schools, consisted of 64 and 67 students, respec- tively.[¬e]""']",64,"['Page 1:\n[¬s]"" The control condition consisted of 87 students from 5 schools.[¬e]""']",87,"['Page 1:\n[¬s]"" cooperation-with-shared-feedback con- dition""\n""67 students,[¬e]""']",67,NA,NA
"['Page 78:\n[¬s]""The population consisted o f 23 boys and 39 girls.[¬e]""']",31,"['Page 78:\n[¬s]"" The population consisted o f 23 boys and 39 girls.[¬e]""']",31,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 8:\n[¬s]""twelve in the experimental[¬e]""']",12,"['Page 8:\n[¬s]""there were thirteen stu-\ndents in the control group[¬e]""']",13,NA,NA,NA,NA
"['Page 18:\n[¬s]""52 students altogether[¬e]""']",26,"['Page 18:\n[¬s]""2 students altogether[¬e]""', 'Page 19:\n[¬s]""Half of the students at Time 1 used Summary Street, and the other half of the students used Summary Street at Time 2.[¬e]""']",26,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 25:\n[¬s]""~ Cohort A (1 yr intervention) 1492 pupils ~Cohort B (2 yrs intervention) 1570 pupils[¬e]""']",3062,"['Page 25:\n[¬s]""Allocated to control 48 schools ~ Cohort A (1 yr intervention) 1721 pupils ~Cohort B (2 yrs intervention) 1789 pupils[¬e]""']",3510,NA,NA,NA,NA
"['Page 10:\n[¬s]""244""\n""ent lvl\nPret""\n""TSS[¬e]""']",244,"['Page 10:\n[¬s]""223""\n""Control[¬e]""']",223,NA,NA,NA,NA
"['Page 12:\n[¬s]""At pretest\n65 classrooms with 1,351 students were assigned to the ITSS research condition[¬e]""']",1351,"['Page 12:\n[¬s]""63\nclassrooms with 1,294 students were assigned to be in the control condition.[¬e]""']",1294,NA,NA,NA,NA
"['Page 8:\n[¬s]""(n ⫽ 1,415) were\nin the ITSS condition, a[¬e]""']",1415,"['Page 8:\n[¬s]""(n ⫽ 1,325) came from rural\ndistricts.[¬e]""']",1325,NA,NA,NA,NA
"['Page 10:\n[¬s]""shown in Table 4[¬e]""']",679,"['Page 10:\n[¬s]""shown in Table 4[¬e]""']",1383,NA,NA,NA,NA
"['Page 104:\n[¬s]"" 46[¬e]""']",46,"['Page 104:\n[¬s]""41[¬e]""']",41,NA,NA,NA,NA
NA,10,NA,12,NA,NA,NA,NA
NA,11,NA,12,NA,NA,NA,NA
"['Page 6:\n[¬s]""25[¬e]""']",25,"['Page 6:\n[¬s]""27[¬e]""']",27,NA,NA,NA,NA
"['Page 159:\n[¬s]"" 145[¬e]""']",145,"['Page 159:\n[¬s]"" 135[¬e]""']",135,NA,NA,NA,NA
"['Page 45:\n[¬s]""93[¬e]""']",93,"['Page 45:\n[¬s]""100[¬e]""']",100,NA,NA,NA,NA
"['Page 3:\n[¬s]""The subjects were 36 6- and 8-year-old children""\n""Then, equal numbers of boys and girls of each age group were randomly assigned to each demon- stration condition.""\n""One half of the boys and girls in each structure group were randomly assigned to an imitation treat- ment.[¬e]""']",6,NA,6,NA,NA,NA,NA
