int_desc_ht,int_desc_info
"['Page 4:\n[¬s]""In the tangible reward condition, the experimenter\nrevealed a bag of goldfish-shaped pretzels and in-\nformed the child that he or she could earn a pretzel\nfor ""each good road you do.""\nSubjects in the verbal reward condition were told\nthat the experimenter would inform them when they\nperformed ""good roads."" The experimenter\'s reward-\ning statements included ""That\'s a good road,""\n""You\'re doing fine,"" and ""You\'re really good at this\ngame.""\nFor the symbolic and self-reward conditions, the\nexperimenter revealed the ""honor roll bulletin board""\nwith several ""good player awards"" already attached\nto the board. These awards consisted of round badges\nof red construction paper 3 inches (7.6 cm) in diam-\neter, a blue paper ribbon, and a self-adhesive white\nlabel for the child\'s name and stars. In the symbolic\nreward condition, the experimenter stated that he\nwould place a star on the subject\'s award for each\n""good road."" In the self-reward group, the instruc-\ntion was, ""When you\'re done with a road, you can\nput a star on your award if you think you did a good\nroad."" At the conclusion of the maze task, the ""good\nplayer award"" was pinned to the honor roll bulletin\nboard. This board was removed prior to the assess-\nment phase for these subjects and was not otherwise\npresent in the ""surprise room.""[¬e]""']",NA
"['Page 15:\n[¬s]""One-Minute Practice Sheet – Sheet of paper containing academic content such as a series of maths problems.""\n""One-Minute Probe – Sheet designed to measure the students performance on basic tool\nskills. As used in this study it is differentiated from the one-minute practice sheet in\nthat the probe is used as a measurement instrument (test) while the one-minute practice\nsheet is used for remediation""\n""This procedure will call for the administration of a one-minute probe to each student in the\narithmetic and spelling areas in small groups""\n""The experimental procedure will\nthen use one-minute practice sheets[¬e]""']",NA
"['Page 3:\n[¬s]"" The subjects were randomly assigned within classes to one of three experimental groups. The control group (CG) was given a written description of the number system in textual form. The text was written hierarchically so that broader, more inclusive concepts were introduced first, followed by narrower, less inclusive concepts. A second group?provided hierarchy (PH)?was given the identical text, but which was supplemented by the addition of a conceptual hierarchy at five different points immediately following the relevant material. Each successive conceptual hierarchy was an expanded version of preceding ones, as shown in Figure 1. The third group?draw hierarchy (DH) ?was provided a text identical to that of the first two groups, but at five points in the text this group was asked to draw a conceptual hierarchy outlining the content just read. (Subjects in all three groups had been given instruc tion in drawing conceptual h[¬e]""']",NA
"['Page 108:\n[¬s]""Data were collected in the following manner for each group for the three sessions. The first session was a practice session to familiarize the subjects with the research situation, procedures, and the researcher. Based on recommendations of Collins and Smith (1980), the first session consisted of teacher cognitive modeling to a group of twelve, followed by each subject practicing the modeled techniques while reading aloud to another subject, concluding with each subject using the techniques and thinking aloud while reading silently. The second and third sessions consisted of teacher cognitive modeling to groups of two, followed by each subject individually using the modeled strategy and thinking aloud while reading silently, followed by a buffer task, an oral retelling of the passage read, and written comprehension ques t i o n s .[¬e]""', 'Page 24:\n[¬s]""1. Passive Cognitive Modeling The researcher cognitively modeled the steps in the think-aloud strategy while reading a text passage for the subjects. The subjects then performed the strategy to themselves while silently reading another text passage. This was followed by a subject verbally retelling the passage and a sentence verification technique for comprehension assessment. 2• Active Cognitive Modeling Cognitive modeling was conducted as above with an added statement by the researcher to explain the functional value of the modeled strategy and to foster self-efficacy in the subjects. This was followed by a subject oral retelling of the passage and the sentence verification technique for[¬e]""', 'Page 25:\n[¬s]""comprehension assessment. 3. Fullrange Cognitive Mod e l i n g . Cognitive modeling was conducted the same as in the Active Cognitive Modeling group. In addition, the subjects received feedback in the form of self-assessment and encouragement from the researcher while performing the modeled strategy. This was followed by the same subject oral retelling and sentence verification technique as the other two g r o u p s .[¬e]""']",I have highlighted the 3 intervention groups to form a description of the group being considered here (Fullrange Cognitive Modeling) as combined they provide an overview of the FCM treatment.
"['Page 3:\n[¬s]""As in Cardelle and Corno (1981), written feedback\nprovided constructive criticism; that is, specific com-\nments on errors and faulty strategy tempered by sug-\ngestions on how to improve, plus at least one positive\nremark on work done well. Thus, criticism identified\nerrors and provided guidance toward corrections.[¬e]""']",NA
"['Page 17:\n[¬s]""The performance of the following three experimental groups was examined: (a) Group 1 - a text-only control group which read computerized[¬e]""', 'Page 18:\n[¬s]""2 text containing neither interspersed questions or feedback, (b) Group 2 - a group reading text containing Interspersed questions but which received no feedback, and (c) Group 3 - a group receiving feedback In addition to the Interspersed questions. The control group (Group 1) and the experimental group which received the text with only Interspersed questions (Group 2) simulated the conditions which can be provided on the printed page. The group which received immediate feedback about performance on the interspersed questions (Group 3) was given treatment which can be provided solely by a computer.[¬e]""']",NA
"['Page 53:\n[¬s]""The students in the two\nexperimental peer evaluation classes worked in groups and fol\xad\nlowed specific procedures designed to aid them in helping and\nevaluating one another in the writing process.[¬e]""']",NA
"['Page 7:\n[¬s]""A hint is defined as\ninformation providing clues for the discovery of the error\nwhen an incorrect response is made and identified.[¬e]""']",feedback on the form of a hint that provides clues to the learners about the correct response
"['Page 6:\n[¬s]""The vcrd sfeedtacke is used in this study to represent\n(2) is provided to students after the response.[¬e]""', 'Page 7:\n[¬s]""The vcrd sfeedtacke is used in this study to represent\n(2) is provided to students after the response.""\n""A cor-\nrect answer is the response that should have been given in\nplace o an incorrect answer. It does not include informa-\ntion about the correct process to""\n""use.[¬e]""']",NA
"['Page 6:\n[¬s]""The vcrd sfeedtacke is used in this study to represent\n(2) is provided to students after the response.[¬e]""', 'Page 7:\n[¬s]""The vcrd sfeedtacke is used in this study to represent\n(2) is provided to students after the response.""\n""lightarang.""\n""knowledge of results is telling students if their responses\nare right or wrong, and nothing more.[¬e]""']",NA
"['Page 2:\n[¬s]""Ninety eighth-grade general science students studied self-instructional\nmaterials on the construction and interpretation of graphs. After each of three lessons each subject took a diagnostic test covering\nthe objectives of the instruction. Subjects in Group 1 received additional instruction on prerequisites as remediation. Subjects in\nGroup 2 received additional practice items as remediation, and subjects in Group 3 received no remedial activity.[¬e]""']",NA
"['Page 11:\n[¬s]""Teachers provided third-grade textbooks in\nthe area of reading, science and social studies, as well as a schedule of state reading\nstandards, as identified above. Quizzes were developed based on these readings and\ncoordinating reading standards""\n""Each quiz consisted of five multiple-choice questions. As\ndescribed in the introduction, the CLAD process utilized multiple-choice questions\ndesigned to elicit dialogue, consensus, and easy response.""\n""Teachers prepared score\nforms using the Immediate Feedback Assessment Technique""\n""The correct answers[¬e]""', 'Page 12:\n[¬s]""were marked with invisible ink, leaving students to colour over the box of the answer they believed to be correct. The score forms were designed to provide students with immediate feedback as to the correct answer.""\n""Following the reading, students completed the five question multiple-choice quiz\nindividually. After these quizzes were completed and collected, they completed the\nsame quiz as part of four or five member teams. During this phase students collabo-\nratively read and discussed each question and possible choices, attempting to reach a\nconsensus on each response. They marked the prepared score form that indicated the\ncorrect answer as well as incorrect responses (thus allowing partial credit for second\nand third choices). Students received both an individual and group score on the quizzes.[¬e]""', 'Page 2:\n[¬s]""The CLAD process involved\nstudents collaboratively completing multiple-choice quizzes, using dialogue and critical thinking to\nreach consensus and receiving immediate feedback on their responses[¬e]""', 'Page 6:\n[¬s]"". CLAD draws\nupon socio-cultural theory that assumes learning to be a social process""\n""CLAD was designed for use in inclusive classrooms where students of mixed\nabilities collaborate to understand a reading that is interesting and embedded in a\nmeaningful unit of study.""\n""The group quiz is based on the premise that social interaction or dialogue is a\ncentral and critical component of cognitive development.[¬e]""', 'Page 7:\n[¬s]""As children disagree, discuss, explain and persuade one another, new positions, new\nideas and deeper thinking emerges.[¬e]""', 'Page 8:\n[¬s]""The collaborative quizzes are student directed""\n""The make-up of these student-directed teams is important in implementing CLAD\nsuccessfully.[¬e]""', 'Page 9:\n[¬s]""A final feature of CLAD is immediate, corrective feedback""\n""With the CLAD process, students are provided with\nanswer sheets in which the correct answer is coded with an invisible marker. When\nthey mark a response, they immediately know if they are correct.""\n"". If they are incorrect,\nthey have the opportunity to appeal their answer by providing evidence in the reading\nor selecting a second response for partial credit. This process is based on the\nImmediate Feedback Assessment Technique (IFAT)[¬e]""']",NA
"['Page 5:\n[¬s]""(a) an experimental group who re\xad ceived special instruction in the process of revision or (b) a control group who read good literature. Thirteen 45-min lessons were conducted over 1 month. At the end of the month, each child wrote a story on one day, was interviewed about potential revisions on the next day (cf. Beach & Eaton, 1984; Scar- damalia & Bereiter, 1983), and on a following day was given an opportunity to make changes on the first-day copy and then to write another draft on new, clean paper (cf. Bridwell, 1980).""\n""Stage 1 (Day 1) —in-process revisions on the first day of writing. Stage 2 (Day 2) —new revisions marked on the first day’s draft.[¬e]""', 'Page 6:\n[¬s]""D o w n l o a d e d b y [ D u r h a m U n i v e r s i t y L i b r a r y ] a t 0 8 : 4 1 1 7 S e p t e m b e r 2 0 1 7 TEACHING CHILDREN REVISION IN WRITING 7 Stage 3 (Day 2) — revisions made between the revised marked first day’s draft and a final draft on a new paper, but before in-process revisions. Stage 4 (Day 2)—in-process revisions on the final draft.[¬e]""']",NA
"['Page 7:\n[¬s]""a group of students that worked with human tutors,[¬e]""']",NA
"['Page 2:\n[¬s]""The graphical interface of iList is divided in four main parts: an area containing the\ndescription of the problem to be solved; an area reporting the history of the feedback[¬e]""', 'Page 3:\n[¬s]""messages given to the student; an area representing the current state of the linked list vir-\ntual machine; and an area in which students can enter commands and see a history of the\npreviously executed operations (Figure 1).""\n""1. The student entered a command that iList could not understand (syntax feedback).\n2. The student entered a command and iList understood it, but the command could\nnot be executed because of the contingent state of the virtual machine (execution\nfeedback). For example, the student might have tried to access a variable that had\nnever been declared, or tried to reference a node that did not exist.\n3. The student explicitly asked for his/her solution to be evaluated by pressing the\n“submit” button on the user interface (ﬁnal feedback).[¬e]""']",NA
"['Page 3:\n[¬s]""we reported on two versions of iList, capable of delivering\nfeedback of increasing complexity, in three main circumstances.\n1. The student entered a command that iList could not understand (syntax feedback).\n2. The student entered a command and iList understood it, but the command could\nnot be executed because of the contingent state of the virtual machine (execution\nfeedback). For example, the student might have tried to access a variable that had\nnever been declared, or tried to reference a node that did not exist.\n3. The student explicitly asked for his/her solution to be evaluated by pressing the\n“submit” button on the user interface (ﬁnal feedback).\nThe main difference between the ﬁrst version (iList-1) and the second (iList-2) is the\nsophistication of syntax feedback and execution feedback. The provided messages are\ndifferent in the two versions, but they are given exactly in the same circumstances.\nA limitation of iList-1 and iList-2 is that the systems are not able to evaluate the\n“semantic” qualities of a student solution before the end.[¬e]""']",NA
"['Page 2:\n[¬s]""The iList system provides the student with a simulated environment where linked lists\ncan be seen and manipulated. Lists are represented graphically, and can be manipulated\nwith programming language commands. Students are asked by the system to solve prob-\nlems in this environment, such as insert new nodes in a given linked list, remove nodes, or\nperform other more complicated operations. As a student is working towards a solution,\nthe system provides feedback to help the student make progress.[¬e]""']",NA
"['Page 12:\n[¬s]""Students in the Summary Street® condition received some one-on-one instruc- tion on the use of the program during the first two sessions, depending on how much help was needed by individual students. Most questions concerned how to submit and save summaries for future access. The Summary Street® software was modified slightly to meet the needs of the current use situation. To insure that students in the Summary Street® condition would not spend an inordinate amount of time on each text, we introduced more fluid rather than absolute thresholds for content coverage, which would allow students to pass the overall criterion after a given number of attempts if they had gotten close to the threshold, but had not actually met it. Thus, for example, a student would pass the criteria for a given text if the following conditions were met: a) the content score for every section was within 5% of the threshold; b) the student had already sub- mitted the summary 10 times for content feedback; and c) the summary was within the specified length requirements. Students in the experimental condition were instructed to work on the summaries at their own pace, using the feedback provided. After passing the Summary Street® thresholds, as described above, they were instructed to work on the next text in the sequence indicated on the computer screen.[¬e]""', 'Page 4:\n[¬s]""An algorithm is used to determine the threshold for content coverage for each main topic or section of the text, which varies in each case; [¬e]""']",NA
"['Page 1:\n[¬s]""pedagogical decisions were surveyed twice; instructional structure was observed and measured three times; students\' knowledge about their learning was assessed during a final interview; reading achievement was tested before and after treatment. Analyses of covariance revealed that experimental teachers eff[¬e]""']",NA
"['Page 2:\n[¬s]""who received either a typical commer\ncial basal reading series mastery learning treatment or an alter\nnative mastery learning treatment that adhered more closely to\nprinciples of frequent testing, corrective feedback, and techni\ncally sound m[¬e]""', 'Page 3:\n[¬s]""Regarding the nature\nof the mastery learning test materials, for example, DBI\nprocedures require (a) assessment of mastery of small\nunits of material, which correlates highly with perform\nance on global reading achievement tests (Fuchs, 1981),\nand (b) reliable measurement methods (Fuchs, Deno, &\nMarston, 1983). I[¬e]""']",NA
"['Page 1:\n[¬s]""This study assessed the effects of computerized teacher feedback systems within curriculum-based measurement (CBM) in the area of spelling.""\n"" With unenhanced feedback, decisions concerning student progress were provided to teachers without their input and without computer feedback. Control teachers monitored progress using conventional practice.[¬e]""']",NA
"['Page 3:\n[¬s]""Curriculum-Based Measurement Treatment CBM teachers tracked pupil progress toward spelling goals for 15 weeks. The C8M treatm[¬e]""', 'Page 4:\n[¬s]""comprised goal selection, ongoing measurement on the goal material, and evaluation of the data base to develop instructional programs.[¬e]""']","Curriculum-Based Measurement Treatment  CBM teachers tracked pupil progress toward spelling goals for 15 weeks. The CBM treatment comprised goal selection, ongoing measurement on the goal material, and evaluation of the data base to develop instructional programs.  "
"['Page 2:\n[¬s]""three treat\xad ments: (a) CBM with expert system advice about the nature of instructional changes (CBM-ES), (b) CBM with no expert system advice (CBM-NES), and (c) control (Le., no CBM)[¬e]""', 'Page 5:\n[¬s]""Teachers in CBM-ES and CBM-NES conditions employed CBM to track pupil progress toward spelling goals for 18 school weeks. This monitoring comprised (a) goal selection and ongoing measure\xad ment on the goal material and (b) eval\xad uation of the database to develop instruc\xad tional programs.[¬e]""', 'Page 7:\n[¬s]""Whenever prompted by the graphed decision rules, teachers were required to introduce an instructional adjustment. CBM-NES teachers, deter\xad mined the nature of the adjustment on their own. CBM-ES teachers relied on an expert system for advice about the nature of changes.[¬e]""']",NA
NA,"'Teachers employed CBM for 25 weeks to track pupil progress toward proficiency on the grade-level mathematics operations curriculum...Teachers assessed each pupil's performance weekly...software summarized each pupil's performance in terms of...a graph...a skills profile...showing the student's mastery status on each type of problem included in the year's curriculum...Teachers taught students to read and interpret graphs and skills profiles... [and] ask themselves...questions (Are my scores going up? What's my highest score? Can I beat my highest score in the next 2 weeks?)...(Are my boxes getting darker? How many black or almost black boxes do I now have for this half-month? Which skills can I workharder on to get darker boxes the nexr half-month?)...Every 2 weeks, when feedback was distributed, tteachers reminded students to ask themselves these questions...Twice monthly, teachers received a computer-generated teacher report summarizing the performance of the class...the report provided descriptions, as well as instructional recommendations...This report included the following additional information  recommendations for (a) what to teach during whole-class...' (p.522) '...instruction  (b) how to constitute small groups for instruction on skills on which students experience common chronic difficulty  (c) computer assistance instruction, listing the skill and the computer-assisted program each student should use for the next 2 weeks  and (d) classwide peer tutoring (CWPT), listing students who require and those who could provide assistance with which skills.' (p.523) 'Teachers taught...students the CWPT methods...every student was paired to work on a math skill...' (p.524) '...coaching involved verbal modeling and gradual fading of the steps required to complete the problem correctly...' (p.526) 'During coaching...teachers awarded points...when they observed good coaching  after practice, students received 1 point...for each correct problem...The pair with the most points received applause from the class.' (p.527)"
"['Page 47:\n[¬s]""*Group A (Immediate knowledge of results group) : When all the sub\xad jects in group A finished answering the questions, the correct answers were read immediately by the treatment group leader. *Group B (Token economy plus immediate knowledge of results).: This group was taught how the token system works. Hien a daily report card was given to each- student at the beginning of each session and collected at the end of each one. After the students in this group finished answering all the questions, the treatment group leader read the correct answers then he moved to each student and checked the student\'s vrork sheet. He used the student record card which is designed in such a way that the treatment group leader can indicate Clesl or (No) for each answer on the work sheet. (See Figure 11. Each question on the work sheet had a value depending upon its complexity; that means that some of the questions, had a value of one token and others had the value of two or more. While collecting the cards the treatment group leader dispensed tokens to each student. Reproduced with permission of the copyright owner. Further reproduction prohibited without permission[¬e]""', 'Page 48:\n[¬s]""35 The number of tokens that each student received depended on the number of ""Yes"" responses on his report card and the value of each question he answered correctly. When every student received his tokens (which were in this case poker chipsl they were allowed to exchange their tokens for items and privileges that they found enjoyable. These reinforcing items had different token values; in other words some items would cost one token and others may cost 10 or 20 tokens. The privil\xad eges were discussed with the students and they agreed that they consider them privileges and rewards CSee Figure Two!. Students were allowed to save their tokens to cummulate a higher value. *Group C (The control group) no tangible incentives nor knowledge of results were given. The students were given the work sheets and were asked to answer all the questions. After the questions were answered the work, sheets were collected and the students were allowed to leave.[¬e]""']",NA
"['Page 4:\n[¬s]""A 2000-word essay describing the formation of the solar system was employed as the reading passage.[¬e]""', 'Page 5:\n[¬s]""Students were randomly assigned to one of three condi- tions: (a) inserted questions, (b) inserted questions & feedback,""\n"" told that they were participating in a memory ex- periment. In addition, students were told they would be reading an essay and that they would be tested over the content. Further, they were asked to study carefully and do the best job they could of learning the content. Students also were informed they would see a sample of the kind of post- test item included on the test when they had completed their reading and that they would be asked to estimate how well they would do on the post- test. Students in the experimental conditions additionally were told that they would need to answer a series of multiple choice questions over the content as they read.[¬e]""']",NA
"['Page 4:\n[¬s]""The study was conducted with a comput- erised test on text comprehension that was designed by the research team. For the dynamic test, students were first presented with the introduction to the test procedure; this included an exemplary item. Afterwards, they were asked to read five texts and respond to the corresponding multiple- choice items. If a response was false, students from the treatment group received accuracy feedback stating ‘That is wrong’.""\n""Subse-\nquently, they were required to make their\nchoice once again with their original selec-\ntion excluded. They were then presented the\nnext item, irrespective of the accuracy of\ntheir revised response.[¬e]""']",NA
"['Page 11:\n[¬s]""AR is a networked computer-based management programme intended to encourage pupils in independent book reading. The AR programme allows teachers to monitor pupils’ reading levels and progress, and based on this information the teacher’s role is to support pupils in making an appropriate selection of books for reading and to motivate them in achieving advanced reading levels.[¬e]""', 'Page 5:\n[¬s]""Accelerated Reader (AR) is a whole-group reading management and monitoring programme that aims to foster the habit of independent reading among primary and early secondary age pupils. The internet-based software initially screens pupils according to their reading levels, and suggests books that match their reading age and reading interest. Pupils take computerised quizzes on the books they have read and earn AR points related to difficulty.[¬e]""']",NA
"['Page 3:\n[¬s]""; (2) Feedback (F) condition, where\nconfirmations were included in the program[¬e]""', 'Page 4:\n[¬s]""Ss in groups of three to ten students were administered\nthe pretest, the program and the post test in one session.\nEach condition was completed on a separate day, with\nthe extrinsic reinforcer[¬e]""']",NA
"['Page 3:\n[¬s]""; (3) Extrinsic\nReinforcement (ER) condition, where no confirmations\nwere available in the program, but the experimenter\nplaced a checkmark on each correct response which was\nexchanged for a nickel.[¬e]""', 'Page 4:\n[¬s]""high school. The only variation in treatment\nfrom the above was the involvement of the experimenter\nin the ER condition, in which she promised the Ss a\nnickel for each correct response on the program and\nrequested that they have each page checked before going\non to the next. A concerted effort was made by the\nexperimenter to give no facial, postural or verbal cues\nwhich might be construed as social reinforcement. A ""C""\nwas then placed on the S\'s page for each correct response\nand an ""X"" was placed on each incorrect or missing\nresponse. After completing the posttest, Ss were paid\nappropriately for their score on the program, but not for\ntheir posttest scores. Maximum money Ss could earn was\n$2.85[¬e]""']",NA
"['Page 295:\n[¬s]"" Parents attended a training session where they re\xad ceived instruction in new English Language Arts Standards, the stages of the writing process, strategies for developing writing as a recursive process, and in the criteria of a scoring rubric used to evaluate their child’s writing.""\n""\'The study consisted ofthree phases. In Phase 3, parents scored their child’s writing sample and discussed areas of improvement with their children based on the information shared in the training session and using a writing ru\xad bric. [¬e]""', 'Page 300:\n[¬s]""The students were given three writing samples that were designated as Phase 1, Phase 2, and Phase 3.[¬e]""']",NA
"['Page 3:\n[¬s]"" The multiple-choice test was reproduced under three different sets of directions. The total feedback directions read: For each question in this test, select the one best answer. Then on your separate answer sheet erase the carbon shield that covers the square of that answer. You will uncover a letter. “H” means “right”—you have Hit the correct answer. Any other letter-“T,” “E,” or “L”-means “wrong.” If you uncover any letter other than “H,” then try again and continue erasing until the “H” is uncovered. Erase as few squares as you can.""\n""Finally, the no feedback (conventional) directions read: For each question in this test, select the one best answer. Then on your separate answer sheet fill in the circle under the letter of that answer.[¬e]""']",NA
"['Page 1:\n[¬s]""The approach used to meet these two ob\xad jectives was first to view administrative ar\xad rangements as a research problem in which the variables of teacher abilities and in\xad structional techniques could be controlled so as to determine their individual effects on performance.[¬e]""', 'Page 2:\n[¬s]""A continuous measurement procedure was used to record the academic perfor\xad mance of each child for every academic subject. This procedure required the use of three tools which were specially developed or adapted for the purpose of precise mea\xad surement of observable behavior..""\n""Under a precision-teaching system, when a teacher determines a performance to be inadequate, e.g., with too many error re\xad sponses or too low an overall responding rate, then he alters one environmental con\xad dition such as the reinforcement schedule or curriculum. [¬e]""', 'Page 3:\n[¬s]""A token reinforcement system was used throughout the program as a means for improving student performance.[¬e]""']",NA
"['Page 7:\n[¬s]""Students in half of the classes\nwere asked to make revisions on each of the interim compositions.[¬e]""']",NA
"['Page 10:\n[¬s]""In an ex post facto causal-comparative research design, this study investigated the effectiveness of Automated Writing Evaluation (AWE) programs on raising the student writing achievement.[¬e]""']",NA
"['Page 2:\n[¬s]""The three experiments reported here were attempts to conduct experimental studies of teacher effectiveness in the classroom setting. In each experiment the writer gave classes lessons which had been planned in detail and memorized, thus minimizing extraneous teacher behavior variables. All the information to be provided and its sequencing within the lessons, all the materials to be used and their sequencing within the lessons, the wording of questions, teacher reactions to pupil responses, and so on, were predetermined, making it possible to present almost exactly the same lesson on different occasions. During the lessons variables selected from observational studies of teaching and laboratory research were experimentally manipulated. The effects of these manipulations on pupil achievement, as measured by a comprehensive posttest, were investigated.[¬e]""']",NA
"['Page 6:\n[¬s]""In this study, the students were asked to design a game for instructing the knowledge of a sustainable town, that is an ideal and pollution-free town suitable for people to live in. The students needed to utilize their imagination as well as their interpretations of the learning content and objectives.""\n""In each week, they spent 35–40 min developing the game. In the following 10–15 min, they were randomly assigned to review one game developed by their peers based on the assessment guidelines provided by the teacher.""\n""In addition to developing the game, the students in the experimental group were ran-\ndomly assigned to evaluate the games developed by their peers starting from the fourth[¬e]""', 'Page 7:\n[¬s]""week, one game per week, based on the assessment dimensions provided by the teacher;\nthat is, each student received an evaluation result from others from the fourth week on.""\n""To help the students provide informative feedback to their peers, assessment guidelines\nwere developed by two teachers who had more than 10 years’ experience of teaching the\ncourse. Moreover, the guidelines were revised by an experienced e-learning researcher.""\n""Table 1 shows the six evaluation criteria and the relevant descriptions for assessing the\ngames developed by peers.[¬e]""']",NA
NA,"This mastery learning study focused on a two-week unit on World War II taught at the high school level via a group-based, teacher-paced approach."
"['Page 3:\n[¬s]""This design was used with auto-instructional programs in two different areas mathematics and chemistry.""\n""All Ss were students in public junior high and high schools. Fifty- six of the Ss given the Gas Laws (Chemistry) program were from High School A and 53 were from High School B. The 11^ Ss given the Solving Equations (Mathematics) program were junior high school students.[¬e]""']",NA
"['Page 2:\n[¬s]""The participants were 257 third-, fifth-, and eighth-grade students from regular and special education. These students were divided into ""\n"" experimental groups which received CBM writing probes at the beginning and end o f the 12-week study (control group)""\n""or on a daily basis (daily group).[¬e]""']",NA
"['Page 3:\n[¬s]""We operationalized these perception/in-\nformation variables by first informing learn-\ners after the introductory instruction (first\nfour problems) of their initial level of rule\nusing (the actual Beta figure expressed as a\npercentage) and advising them on the\namount and sequence of instruction neces-\nsary for them to obtain the objective. Then,\nif mastery was not initially reached, we con-\ntinuously informed them after each prob-\nlem solution of their current learning level\n(iterative diagnostic update of the Beta per-\ncentage) and advised them of their learning\nneeds (updated prescription of amount and\nsequence of instruction) for rule-using mas-\ntery (Tennyson & Rothen, 1979).[¬e]""']",NA
"['Page 3:\n[¬s]""Knowledge of results (KOR) is\nthe simplest level of feedback which provides responses such as ""right"" or\n""wrong\'\\ \'\'true"" or ""false and ""correct"" and ""incorrect"" without giving the cor-\nrect answer.[¬e]""', 'Page 5:\n[¬s]""Each student spent about an hour on the stimulus material presented in multi-\nmedia mode. Subjects were assigned in random to one of the lhree treatment and\ncontinued with r.he practice tesL Upon completion of the practice test, each sub-\nject individually completed the on-line posuest[¬e]""']",NA
"['Page 3:\n[¬s]""Elaborative feedback (EF) is a higher order post-response infonnalion which\nnot only conrains result on the appropriateness of a learner\'s response, but also\nprovides reasons for why it was wrong and gives the correct answer.[¬e]""', 'Page 5:\n[¬s]""Each student spent about an hour on the stimulus material presented in multi-\nmedia mode. Subjects were assigned in random to one of the lhree treatment and\ncontinued with r.he practice tesL Upon completion of the practice test, each sub-\nject individually completed the on-line posuest[¬e]""']",NA
"['Page 1:\n[¬s]""Twenty pairs of students from seven special education *• resource rooms (elementary and intermediate grades\') were assessed on l the structure of the instruction they received. Their, reading achievement was measured, three times during ‘the year. The instructional programs for 10 experimental students were to be based . on their teachers’ use of continuous evaluation procedures; these • students were assessed also on an accuracy of implementation scale.[¬e]""']",NA
"['Page 90:\n[¬s]""The following points outline the intervention activities for the two treatment group classes: (a) formative assessments were administered every three to four days to measure student progress in developing conceptual understanding o f designated science content, (b) students were asked to reflect on their progress in developing science understanding and to consider how their own actions assisted their learning, (c) students were encouraged to pose questions and share their ""puzzlements” about target science content, (d) ongoing learner feedback was provided in a timely manner so that students were continuously aware o f their learning progress in science, and (e) responses to students\' questions were presented in writing and in class discussions so that puzzlements could be addressed.[¬e]""']",NA
"['Page 5:\n[¬s]""The name ASSISTments was coined by Ken Koedinger to describe a kind of assessment that provides instructional assistance during the test. The system provides timely feedback to assist teachers in making classroom decisions while simultaneously tutoring students as needed. Teachers can learn about particular difficulties their students are having both by directly observing and interacting with students in the computer lab and by looking at the detailed reports that ASSISTments provides. They can respond to what they learn by changing their whole class instructional strategies, for instance, to directly address a difficulty being experienced by many students[¬e]""', 'Page 6:\n[¬s]""As a tutor, ASSISTments functions by breaking down or scaffolding problems into requisite skills and knowledge components. If a student incorrectly answers the original item or requests help, the first scaffold is automatically presented. Once in the scaffold tutoring, students must complete the series of scaffolds for that item (typically about three scaffolds).[¬e]""']",NA
"['Page 3:\n[¬s]""The training was directed to increase self-correction as an observable and the most frequent manifestation of self-monitoring strategy engagement.""\n""Two aspects of coaching were used: the explicit instruction that self-correction was a required behavior, and immediate feedback. The instruction given to the children consisted of the explanation that they had to listen to themselves while reading, and to correct immediately after they recognized an error. During reading exercises, the self-corrections were recorded on a reading protocol without any interruption of reading.[¬e]""']",NA
"['Page 8:\n[¬s]""Teachers in the treatment group received two days of training in 6+1 Trait ® Writing in November 2003 and they were asked to use the model in teaching writing for the remainder of the school year. Teachers in the control group were asked to teach writing in the way that they had in the past. They were asked not to access resources on the 6+1 Trait ® Writing model from other teachers in their school, and not to discuss this model with teachers in the treatment group.[¬e]""']",NA
"['Page 10:\n[¬s]""Each student in both groups was asked to solve the weekly task, send his/her solution to the forum, provide feedback for the forum partners\x92 solutions, receive feedback for his/her own solution, and adjust his/her solution (if needed) accord- ing to the peers\x92 suggestions.[¬e]""', 'Page 6:\n[¬s]"" The GFG self-questions encouraged students to take a social perspective, and to provide elaborated feedback when working online to solve mathematical problems in a forum discussion, which demanded that the student reflect on the entire solution process of all participants.[¬e]""']",NA
