id,pub_author,pub_year,pub_type_raw,out_strand,smd_tool,se_tool,out_tit,out_out_type_tool,out_samp,out_comp,out_es_type,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,strand_raw,loc_country_raw,int_training_raw,int_approach_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,int_setting_raw,part_age_raw,school_total_info,class_total_info,int_desig_raw,sample_analysed_info,fsm_perc_info,school_target,eligibility,elig_targ_pop_info,means_tested,means_tested_thresh_info,recipient,month_avg_amount,month_avg_prim_recip,month_avg_prim_recip_info,prim_recip_dom_curr_type_info,month_avg_sec_recip,month_avg_sec_recip_info,sec_recip_dom_curr_type_info,transfer_limit,transf_lim_yes_max_per_fam_info,transf_lim_yes_max_ben_info,transfer_variation,transfer_regularity,transfer_regularity_info,time_limit,time_limit_info,primary_condition,addit_condition,health_cond_comp,health_conditions,monitoring,verification,min_attend_req,perc_attend_req,perc_attend_req_other_info,enforcement,enforcement_other_info,supply_incentive,savings_comp,savings_comp_yes_info,econ_out,econ_out_yes_info,prog_type
53901232,Behrman (2004),2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Mexico'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],198,NA,NA,"['Primary/elementary school', 'Middle school', 'Secondary/High school']","['9', '10', '11', '12', '13', '14', '7', '8']",NA,NA,['Cluster RCT'],13887,100,['Primary and secondary'],['Household income'],NA,['Not reported/Unclear'],NA,['Parent or head of household'],NA,"['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",335.5,pesos,NA,NA,NA,['Not reported/Unclear'],NA,NA,"['Gender', 'Grade']",['Bi-monthly'],NA,['No time limit'],NA,['School attendance'],['Grade promotion'],['Yes'],"['Student attendance at health check-ups', 'Health visits for pregnant and breastfeeding women', 'Mothers attendance at health education workshops']",['School attendance'],"['School attendance', 'Grade promotion']",['Yes'],['85%'],NA,['Attendance at school'],NA,['Not reported/Unclear'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['Level 6 - Conditional transfers where school attendance conditions are monitored and enforced']
53901230,Behrman (2005),2005,NA,NA,0.0403,0.346,WJ Reading Skills,"['Toolkit primary outcome', 'Reading primary outcome']",['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0403,0.346,NA,NA,NA,['Mathematics primary outcome'],-0.3303,0.2724,NA,NA,NA,NA,NA,NA,NA,['Mexico'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Other (please specify)'],['Unclear/not specified'],NA,NA,NA,['No information provided'],"['9', '10', '11', '12', '13', '14', '15']",NA,NA,['Cluster RCT'],5523,66,['Primary and secondary'],['Household income'],NA,['Not reported/Unclear'],NA,['Parent or head of household'],NA,['Transfer in domestic currency (numeric value only)'],335.50,Pesos  See Table 2.1,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",families received a standardised amount per child dependent on thei age and gender,NA,"['Gender', 'Grade']",['Monthly'],NA,['Yes - time limited'],from 1997-2003  ,['School enrolment'],NA,['Yes'],['Student attendance at health check-ups'],"['School attendance', 'Grade promotion', 'Other (detail in info box)']","['School enrolment', 'School attendance', 'Grade promotion', 'Other (details in info box)']",['Not reported/Unclear'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['Not reported/Unclear'],['No'],NA,['Not reported/Unclear'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53901231,Behrman (2005),2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Mexico'],['No'],['Other (Explain in notes)'],['No'],['No'],NA,NA,NA,NA,NA,"['Primary/elementary school', 'Middle school']","['6', '7', '8']",NA,NA,['Retrospective QED'],2566,100,['Primary and secondary'],['Household income'],NA,['Not reported/Unclear'],NA,['Parent or head of household'],['Primary recipient'],['Transfer in domestic currency (numeric value only)'],255,pesos,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Gender'],['Monthly'],NA,['Not reported/Unclear'],NA,['School enrolment'],"['School enrolment and attendance', 'Grade promotion']",['Yes'],['Student attendance at health check-ups'],['Not reported/Unclear'],"['School enrolment', 'School attendance', 'Grade promotion', 'Health attendance']",['Not reported/Unclear'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['Not reported/Unclear'],['No'],NA,['No'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53901991,Behrman (2005),2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Mexico'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Other (please specify)'],['Unclear/not specified'],NA,NA,NA,"['Primary/elementary school', 'Middle school', 'Secondary/High school']",['No information provided'],NA,NA,['Cluster RCT'],5523,100,['Primary and secondary'],['Village/neighbourhood income'],NA,['Yes'],NA,['Parent or head of household'],NA,['Transfer in domestic currency (numeric value only)'],335.5,Pesos,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",standardised amount that then depends on gender and grade,NA,"['Gender', 'Grade']",['Monthly'],NA,['Not reported/Unclear'],NA,"['School enrolment', 'School attendance']",['Other'],['Yes'],['Student attendance at health check-ups'],['Not reported/Unclear'],"['School attendance', 'Health attendance']",['Not reported/Unclear'],NA,NA,['Not reported/Unclear'],NA,['Not reported/Unclear'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53901359,Behrman (2011),2011,NA,NA,0.19,0.03,School Grades,"['Toolkit primary outcome', 'Other outcome']",['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment AND clustering'],Combined subjects,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Mexico'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Other (please specify)'],NA,NA,NA,NA,"['Primary/elementary school', 'Secondary/High school']","['9', '10', '11', '12', '13', '14', '15', '16', '17', '18']",NA,NA,['Retrospective QED'],14485,100,['Primary and secondary'],['Household income'],NA,['Not reported/Unclear'],NA,['Parent or head of household'],NA,['Transfer in domestic currency (numeric value only)'],335.5,pesos,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",a set amount dependent on grade and gender,NA,"['Gender', 'Grade']",['Monthly'],NA,['Not reported/Unclear'],NA,['School attendance'],['Not reported'],['Yes'],['Student attendance at health check-ups'],['School attendance'],['School attendance'],['Yes'],['85%'],NA,['Not reported/Unclear'],NA,['Not reported/Unclear'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53901705,Behrman (2012),2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Mexico'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],2 years,NA,NA,"['Primary/elementary school', 'Middle school', 'Secondary/High school']","['8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18']",NA,NA,['Retrospective QED'],8959,NA,['Primary and secondary'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",not specified ,['Parent or head of household'],['Primary recipient'],['Transfer in US $ (numeric value only)'],37,(pesos),NA,NA,NA,['Not reported/Unclear'],NA,NA,"['Gender', 'Grade']",['Monthly'],NA,['No time limit'],NA,['School attendance'],['Grade promotion'],['Yes'],"['Mothers attendance at health education workshops', 'Student attendance at health check-ups', 'Other (details in info box)']",['Not reported/Unclear'],['Not reported/Unclear'],['Yes'],['85%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['Yes (details in info box)'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53901706,Benedetti (2016),2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Honduras'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],NA,NA,NA,['No information provided'],"['3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",NA,NA,['Cluster RCT'],11487,NA,['Primary and secondary'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",NA,['Parent or head of household'],NA,"['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",833.33,Lempiras,NA,NA,NA,"['Yes, maximum number of beneficiaries (details in info box)']",NA,NA,['Age'],['Monthly'],NA,['Not reported/Unclear'],NA,['School enrolment'],['Not reported'],['Yes'],"['Student attendance at health check-ups', 'Student immunizations up-to-date', 'Health visits for pregnant and breastfeeding women']",['School enrolment'],['Not reported/Unclear'],['Not reported/Unclear'],NA,NA,['No enforcement'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53901088,Benhassine (2015),2015,NA,NA,0.081,0.052,Basic Maths skills,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment AND clustering'],Mathematics,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.081,0.052,NA,NA,NA,NA,NA,NA,NA,NA,['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],NA,NA,NA,NA,['No information provided'],['No information provided'],NA,NA,['Cluster RCT'],47000,100,['Primary only'],['Village/neighbourhood income'],NA,NA,NA,"['Father or male head of household', 'Mother or female head of household']",NA,"['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",60,Moroccan dirhams,NA,NA,NA,['Not reported/Unclear'],NA,NA,"['Age', 'Grade']",['Monthly'],NA,['Not reported/Unclear'],NA,['No conditions'],['Not reported'],['No'],NA,"['School enrolment', 'School attendance']",['Not reported/Unclear'],['No'],NA,NA,['No enforcement'],NA,['Not reported/Unclear'],['No'],NA,['No'],NA,"['Type 2 - Labelled transfers where participants are explicitly told that they are for use for education, but without any conditions']"
53902083,Berg (2013),2013,NA,NA,0.1584,0.0526,ELA Y1 4th Grade,"['Toolkit primary outcome', 'Reading primary outcome']",['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy  reading comprehension,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1584,0.0526,NA,NA,NA,['Mathematics primary outcome'],0.3926,0.053,NA,NA,NA,NA,NA,NA,NA,['USA'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],NA,NA,NA,"['Nursery school/pre-school', 'Primary/elementary school', 'Middle school', 'Secondary/High school']",['No information provided'],NA,NA,['Individual RCT'],11331,100,['Primary and secondary'],['Household income'],NA,['Yes'],NA,['Parent or head of household'],NA,['Transfer in US $ (numeric value only)'],600,NA,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",600,NA,"['Grade', 'Age', 'Not reported/Unclear']",['Bi-monthly'],NA,['Yes - time limited'],2-3 years,['School enrolment and attendance'],['Academic achievement (details in info box)'],['Yes'],['Student attendance at health check-ups'],['Not reported/Unclear'],"['Health attendance', 'Other (details in info box)']",['Yes'],['95%'],NA,['Not reported/Unclear'],NA,['Not reported/Unclear'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53901233,Borraz (2009),2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Uruguay'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],72,NA,NA,['No information provided'],['No information provided'],NA,NA,['Regression Discontinuity - not randomised'],NA,100,['Primary and secondary'],['Targeted population (please provide details in info box)'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",NA,['Parent or head of household'],NA,['Transfer in US $ (numeric value only)'],56,NA,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Yes - time limited'],2 years,['School enrolment'],['School attendance'],['Yes'],['Student attendance at health check-ups'],"['School enrolment', 'School attendance']","['School enrolment', 'School attendance', 'Health attendance']",['Not reported/Unclear'],NA,NA,"['Attendance at school', 'Enrolment at school', 'Other (details in info box)']",health check ups,['Not reported/Unclear'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['Level 5 - Conditional transfers where school enrolment conditions are monitored and enforced']
53902678,Bradford (2009),2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],2 years,NA,NA,['Primary/elementary school'],"['7', '8', '9', '10', '11', '12', '13']",NA,NA,['Cluster RCT'],1751,100,['Primary only'],['Targeted population (please provide details in info box)'],"a pilot program, random assignment that does not specify if it was by household income, but the communities were poor as a whole",['Yes'],"although not explicitely specified - a pilot program, random assignment that does not specify if it was by household income, but the communities were poor as a whole",['Not reported/Unclear'],['Primary recipient'],"['Transfer in domestic currency (numeric value only)', 'Transfer in US $ (numeric value only)']",25.16,C$,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Other'],['Bi-monthly'],NA,['Not reported/Unclear'],but it seems to be aa a pilot program,['School attendance'],['No additional conditions'],['Yes'],"['Student attendance at health check-ups', 'Mothers attendance at health education workshops']",NA,NA,['Yes'],['Not reported/Unclear'],NA,['Attendance at school'],NA,['Not reported/Unclear'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['Level 6 - Conditional transfers where school attendance conditions are monitored and enforced']
53902862,Cameron (2002),2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Indonesia'],['Unclear/ Not specified'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],4 months,monthly,N/A. No intervention sessions as part of this program.,"['Primary/elementary school', 'Secondary/High school']",['No information provided'],NA,NA,['Prospective QED'],NA,NA,['Primary and secondary'],['Targeted population (please provide details in info box)'],NA,['No'],NA,['Student (or student and parent/guardian)'],['Primary recipient'],['Transfer in domestic currency (numeric value only)'],"Primary  10,000 Lower Secondary  20,000 Upper-Secondary  30,000",Rp,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Grade'],['Monthly'],NA,['Not reported/Unclear'],"The study only investigated the program during the first four months of implementation, but the texts indicates that the program continued afterwards too.",['Not reported'],['Not reported'],['No'],NA,['Not reported/Unclear'],['Not reported/Unclear'],['No'],NA,NA,['Not reported/Unclear'],NA,['Not reported/Unclear'],['No'],NA,['No'],NA,['Type 1 - Unconditional program with the aim to improve educational outcomes']
53901235,Cardoso (2004),2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Brazil'],['Unclear/ Not specified'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],Not specified,Not specified,N/A. no intervention sessions to be able to measure this.,['No information provided'],"['10', '11', '12', '13', '14', '15']",NA,NA,['Prospective QED'],No details specified,NA,['Not reported/Unclear'],['Household income'],NA,"['Not reported/Unclear', 'If means testing was conducted, what was the threshold? (details in info box)']",NA,['Parent or head of household'],['Not reported/Unclear'],NA,NA,NA,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",NA,NA,['None (flat transfer)'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['School enrolment'],['Not reported'],['Not reported/Unclear'],NA,['Not reported/Unclear'],['Not reported/Unclear'],['Not reported/Unclear'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['Not reported/Unclear'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['Level 7 - Insufficient information to assign a category']
54091333,Case (2005),2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['South Africa'],['Unclear/ Not specified'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],Unclear,monthly,N/A. no intervention sessions,['No information provided'],"['3', '4', '5', '6', '7']",NA,NA,['Regression Discontinuity with randomisation'],"12,865",NA,['Not reported/Unclear'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",A Monthly income of R1100 ($470),['Parent or head of household'],['Primary recipient'],['Transfer in domestic currency (numeric value only)'],110,R,NA,NA,NA,['Not reported/Unclear'],NA,NA,['None (flat transfer)'],['Monthly'],NA,['No time limit'],NA,['No conditions'],['No additional conditions'],['No'],NA,['No monitoring'],['No verification'],['No'],NA,NA,['No enforcement'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Type 1 - Unconditional program with the aim to improve educational outcomes']
53902680,Chang-Keun (2012),2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Singapore'],['No'],['Other (Explain in notes)'],['No'],['No'],['Other (please specify)'],['Unclear/not specified'],95,4,NA,"['Primary/elementary school', 'Secondary/High school']",['14'],NA,NA,['Retrospective QED'],400,100,['Primary and secondary'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",1700 Singaporean dollars per month,['Student (or student and parent/guardian)'],"['Primary recipient', 'Secondary recipients (details in info box)']","['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",60,Singaporean dollar,"['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",90,Singaporean dollar,['Not reported/Unclear'],NA,NA,['Age'],['Monthly'],NA,['Yes - time limited'],NA,['School enrolment'],['No additional conditions'],['No'],['Not reported/Unclear'],['School enrolment'],['School enrolment'],['No'],['Not reported/Unclear'],NA,['No enforcement'],NA,['Not reported/Unclear'],['No'],NA,['No'],NA,"['Type 2 - Labelled transfers where participants are explicitly told that they are for use for education, but without any conditions']"
53901710,Chaudhury (2013),2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Philippines'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Other (please specify)'],['Unclear/not specified'],2.5 years,monthly,NA,"['Nursery school/pre-school', 'Primary/elementary school', 'Secondary/High school']","['9', '10', '11', '12', '13', '14', '3', '4', '5', '6', '7', '8']",NA,NA,['Cluster RCT'],3742,100,"['Primary and secondary', 'Nursery/Kindergarten']","['Household income', 'Targeted population (please provide details in info box)', 'Other']",NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",report does not provide details of threshold - households are selected to receive payments using a statistical model of proxy variables correlated with income - proxy variables identified in analysis of government surveys of labour force and household income,['Parent or head of household'],"['Primary recipient', 'Secondary recipients (details in info box)']","['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",300,NA,"['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",500,NA,"['Yes, maximum amount per family (details in info box)', 'Yes, maximum number of beneficiaries (details in info box)']",1400,3,['Age'],['Monthly'],NA,['No time limit'],NA,['School enrolment'],['Other'],['Yes'],"['Student attendance at health check-ups', 'Student immunizations up-to-date', 'Health visits for pregnant and breastfeeding women', 'Mothers attendance at health education workshops']",['School enrolment'],"['School enrolment', 'Health attendance']",['No'],['85%'],NA,['No enforcement'],NA,['Not reported/Unclear'],['No'],NA,['Yes (details in info box)'],increased spending on health and education decreased spending on 'adult good' e.g. alcohol increased savings,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53901849,Chaudhury (2013),2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Pakistan'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Other (please specify)'],['Unclear/not specified'],3 years,monthly,up to age 15,"['Primary/elementary school', 'Secondary/High school']","['10', '11', '12', '13', '14', '15']",4935,NA,['Regression Continuity  - naturally occurring'],approx 4 million female 5 million male,30%,['Primary and secondary'],['Targeted population (please provide details in info box)'],NA,['No'],NA,['Student (or student and parent/guardian)'],['Primary recipient'],"['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",200,NA,NA,NA,NA,['No limit'],NA,NA,['Gender'],['Monthly'],NA,['Not reported/Unclear'],NA,['School enrolment'],['No additional conditions'],['No'],['Not reported/Unclear'],['No monitoring'],['No verification'],['Not reported/Unclear'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['Not reported/Unclear'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,"['Type 2 - Labelled transfers where participants are explicitly told that they are for use for education, but without any conditions']"
53902002,Coetzee (2011),2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['South Africa'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Other (please specify)'],['Unclear/not specified'],"permanent, entire duration of childs school career 8 years",Monthly,NA,"['Primary/elementary school', 'Secondary/High school']","['5', '6', '7', '8']",NA,NA,['Retrospective QED'],1175,100,['Primary and secondary'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",less than 10 times 250 South African Rand per month,['Parent or head of household'],['Not reported/Unclear'],"['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",250,NA,NA,NA,NA,['No limit'],NA,NA,['Age'],['Monthly'],NA,['No time limit'],"limited to school age children, receive for duration of school career ",['No conditions'],['No additional conditions'],['No'],['Not reported/Unclear'],['No monitoring'],['No verification'],['No'],['Not reported/Unclear'],NA,['No enforcement'],NA,['Not reported/Unclear'],['No'],NA,['Yes (details in info box)'],"Household expenditure on food, and adult goods","['Type 2 - Labelled transfers where participants are explicitly told that they are for use for education, but without any conditions']"
53901238,Dammert (2009),2009,NA,NA,0.164,0.07,School Attendance,"['Toolkit primary outcome', 'Other outcome']",['Sample: Low achievers'],With business as usual,['Post-test adjusted for baseline attainment'],NA,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],['Other (Explain in notes)'],['No'],['Yes'],['Other (please specify)'],['Unclear/not specified'],length of school career up to age 13,2 months,NA,"['Primary/elementary school', 'Secondary/High school']","['7', '8', '9', '10', '11', '12', '13']",NA,NA,NA,1745,100,['Primary and secondary'],"['Village/neighbourhood income', 'Targeted population (please provide details in info box)']",households with children aged 7 to 13 who have not completed 4th grade in primary school,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",districts were selected to receive the payments if they scored low on an equation called 'marginality index of variables in the national population survey ,['Parent or head of household'],['Secondary recipients (details in info box)'],"['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",350,Córdoba,NA,NA,NA,['No limit'],NA,NA,['Age'],['Bi-monthly'],NA,['No time limit'],NA,['School enrolment'],['Other'],['Yes'],"['Student attendance at health check-ups', 'Mothers attendance at health education workshops']",['School enrolment'],['School enrolment'],['Not reported/Unclear'],['Not reported/Unclear'],NA,['Enrolment at school'],NA,['Not reported/Unclear'],['Not reported/Unclear'],NA,['No'],NA,['Level 5 - Conditional transfers where school enrolment conditions are monitored and enforced']
53902005,Davis (2002),2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Mexico'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Other (please specify)'],NA,1 year,2 months,NA,"['Primary/elementary school', 'Secondary/High school']","['9', '10', '11', '12', '13', '14', '15', '5', '6', '8']",NA,NA,['Individual RCT'],11310,100,['Primary and secondary'],['Household income'],NA,['Not reported/Unclear'],NA,['Mother or female head of household'],['Primary recipient'],"['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",42,NA,NA,NA,NA,['No limit'],NA,NA,['None (flat transfer)'],['Monthly'],NA,['No time limit'],NA,"['School enrolment', 'Other (details in info box)']",['No additional conditions'],['Yes'],"['Student attendance at health check-ups', 'Mothers attendance at health education workshops']",['Not reported/Unclear'],['Not reported/Unclear'],['Yes'],['85%'],NA,['Not reported/Unclear'],NA,NA,['No'],NA,['Yes (details in info box)'],"household expenditures on food, schooling, clothes and agriculture",['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53901713,de Brauw (2015),2015,NA,NA,0.46,0.115,Female School Participation 6 to 17 years ,"['Toolkit primary outcome', 'Other outcome']",['Sample: Low achievers'],With business as usual,['Post-test adjusted for baseline attainment'],Combined subjects,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Brazil'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Other (please specify)'],['Unclear/not specified'],ongoing payments for the duration of the student school career,not stated (assume monthly),NA,"['Primary/elementary school', 'Secondary/High school']","['11', '12', '13', '14', '15', '16', '17', '5', '6', '7', '8', '9', '10']",NA,NA,['Retrospective QED'],5414,100,['Primary and secondary'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",Monthly income below R$137 or US$26,['Parent or head of household'],"['Primary recipient', 'Secondary recipients (details in info box)']",NA,NA,NA,"['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",30,NA,"['Yes, maximum number of beneficiaries (details in info box)']",NA,"up to 3 age younger than 16, up to 2 younger than 18",['Age'],['Monthly'],NA,['Yes - time limited'],up to age 17,['School enrolment'],['Grade promotion'],['Yes'],"['Student attendance at health check-ups', 'Student immunizations up-to-date', 'Health visits for pregnant and breastfeeding women', 'Mothers attendance at health education workshops']","['School enrolment', 'School attendance', 'Grade promotion']","['School enrolment', 'School attendance', 'Grade promotion']",['Yes'],['85%'],NA,['Other (details in info box)'],letter home to parents but little or no exclusion from program,['Not reported/Unclear'],['No'],NA,['Not reported/Unclear'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
