id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,ap_focus,ap_involved,ap_where
41817155,Lu (1986),1986,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2578,0.2129,['Post-test unadjusted (select one from this group)'],Comprehension - Arts Participation,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2578,0.2129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,2,4,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],12,3 ,30 ,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['School']
41816515,Lunz (1974),1974,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.2488,0.3217,NA,Communication Task (combined all males and females),With business as usual,NA,Cognitive  other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1,1,['Middle school'],"['12', '13']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],2,5,45 ,['Toolkit: Arts participation '],['Drama'],['Outside experts or specialists'],['School']
41816504,Lyon-Haley (1978),1978,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.6278,0.2815,['Post-test unadjusted (select one from this group)'],Words in free recall - Arts-sociodrama group,With business as usual,['Sample: All'],Cognitive  other,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,2,NA,"['Nursery school/pre-school', 'Primary/elementary school']","['4', '6', '5']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['Unclear/ not specified'],['Research staff'],6,4,40,['Toolkit: Arts participation '],['Drama'],['Other (please specify)'],['School']
41817042,McFadden (2010),2010,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4629,0.3529,['Post-test unadjusted (select one from this group)'],DIBELS - Arts  drama,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4629,0.3529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,1,2,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['External teachers'],9,1,55,['Toolkit: Arts participation '],['Drama'],['Outside experts or specialists'],['School']
41817164,McGee (1981),1981,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2275,0.2287,NA,Gates MacGinitie Reading Test,With business as usual,NA,Literacy  reading comprehension,NA,"['Toolkit primary outcome', 'Reading primary outcome']",-0.2275,0.2287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,1,4,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers']",8,5,30,['Toolkit: Arts participation '],['Music'],['Classroom teachers'],['School']
41817100,McMahon (2003),2003,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5867,0.0817,['Pre-post gain'],Code Knowledge  consonants -Reading through dance,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.5867,0.0817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,17,35,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],10,2,40,['Toolkit: Arts participation '],['Dance'],['Outside experts or specialists'],['School']
41817154,Mehr (2013),2013,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.0181,0.2982,['Post-test unadjusted (select one from this group)'],Numeric discrimination-Arts  music,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.0181,0.2982,NA,NA,NA,NA,NA,NA,74,NA,NA,['No information provided'],"['4', '5']",NA,NA,['USA'],['Individual RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'One to one', 'Paired learning']",['Unclear/ Not specified'],['No'],['Yes'],['Evenings and/or weekends'],['Research staff'],6,1,45,['Toolkit: Arts participation '],"['Music', 'Visual or other Fine arts']",['Outside experts or specialists'],['Specialist arts venue']
41425840,Menzies (2016),2016,['Technical report'],"['Extending school time', 'Arts participation']","['Toolkit primary outcome', 'Reading primary outcome']",0.1,0.05,['Post-test adjusted for baseline attainment AND clustering'],3rd Cohort Reading Outcome Y4/5,With business as usual,['Sample: All'],Literacy  reading comprehension,NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.1,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701,19,38,['Primary/elementary school'],"['8', '9', '10', '11']",FALSE,46.0,"['UK (Select all that apply)', 'England']",['Cluster RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],"['Class teachers', 'Teaching assistants', 'Peers']",25,1,300,NA,['Music'],"['Classroom teachers', 'Outside experts or specialists', 'Other (please specify)']",['School']
41817022,Moore (1990),1990,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",1.5037,0.3579,['Post-test unadjusted (select one from this group)'],Narrative Rating Scale (NRS) ,With business as usual,['Sample: All'],Literacy  writing,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,1,3,['Primary/elementary school'],"['7', '8', '9']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],15,1,90,['Toolkit: Arts participation '],['Drama'],['Classroom teachers'],['School']
41817152,Myant (2008),2008,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3231,0.2228,['Pre-post gain'],Syllabic segmentation-Kodály music teaching,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3231,0.2228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,2,NA,['Nursery school/pre-school'],"['3', '4']",NA,NA,"['UK (Select all that apply)', 'Scotland']",['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['External teachers'],28 weeks,1,not specified,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['School']
41816511,Norton (1973),1973,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.7018,0.2126,['Post-test adjusted for baseline attainment'],Coherence,With business as usual,['Sample: All'],Arts,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,2,4,['Primary/elementary school'],"['8', '7']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Unclear/ not specified'],['Research staff'],12,4,Not stated.,['Toolkit: Arts participation '],['Drama'],['Outside experts or specialists'],['School']
41817169,Olanoff (1969),1969,['Technical report'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0061,0.1572,['Post-test unadjusted (select one from this group)'],Metropolitan Achievement test (Reading) ,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0061,0.1572,NA,NA,NA,['Mathematics primary outcome'],-0.039,0.1539,NA,NA,NA,NA,NA,NA,500,5,20,['Middle school'],"['11', '12', '13', '14']",NA,NA,['USA'],['Multisite RCT'],"['Large group/class teaching (+6)', 'One to one']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],114,4,45,['Toolkit: Arts participation '],['Music'],['Classroom teachers'],['School']
41817114,Orsmond (1999),1999,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.6791,0.3183,['Post-test unadjusted (select one from this group)'],PPVT  Receptive voc-music instruction,With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,['Nursery school/pre-school'],"['4', '3', '5', '6']",NA,NA,['USA'],['Prospective QED'],['One to one'],['No'],['Yes'],['No'],['Before/after school'],['External teachers'],16,Not stated,not stated,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['Specialist arts venue']
41816503,Pappas (1979),1979,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.4894,0.154,['Post-test unadjusted (select one from this group)'],ITBS (exp vs control grps posttest),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.4894,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,1,1,['Middle school'],"['11', '12']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],28,2,60,['Toolkit: Arts participation '],"['Multi-component or integrated programme', 'Drama', 'Other (Please specify)']",['Classroom teachers'],['School']
41816499,Pate (1977),1977,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4865,0.1605,['Post-test adjusted for baseline attainment'],Nelson Denny Reading Test - Arts Participation,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4865,0.1605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210 ,2,NA,['Secondary/High school'],"['14', '15', '16', '17']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],18,1,45,['Toolkit: Arts participation '],['Drama'],['Classroom teachers'],['School']
41817148,Portowitz (2014),2014,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.4726,0.269,['Post-test unadjusted (select one from this group)'],Israel Memory Drawings Posttest,With business as usual,['Sample: All'],Arts,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1,2,['Primary/elementary school'],"['9', '10']",NA,NA,['Israel'],['Prospective QED'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)']",['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],"['Research staff', 'Class teachers', 'Teaching assistants']",16,1,100,['Toolkit: Arts participation '],['Music'],"['Classroom teachers', 'Other staff in the school(s)', 'Outside experts or specialists']",['School']
41817115,Rauscher (1997),1997,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.8333,0.2784,['Post-test unadjusted (select one from this group)'],WPPSI-R Spatial Temporal posttest Keyboard v control,With business as usual,['Sample: All'],Cognitive  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,2,NA,['Nursery school/pre-school'],['No information provided'],NA,NA,['USA'],['Individual RCT'],['One to one'],['Unclear/ Not specified'],['No'],['No'],['Unclear/ not specified'],['Unclear/not specified'],32,Not specified,Not specified,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['Other (Please specify)']
41817146,Rauscher (2000),2000,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.788,0.2655,['Post-test unadjusted (select one from this group)'],McCarthy test-Puzzle  keyboard tutoring,With business as usual,['Sample: All'],Cognitive  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,2,4,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],"['Large group/class teaching (+6)', 'Student alone (self-administered)']",['No'],['Yes'],['No'],['During regular school hours '],['Class teachers'],32,2,20,['Toolkit: Arts participation '],['Music'],['Classroom teachers'],['School']
41817147,Register (2004),2004,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.2545,0.3103,['Post-test unadjusted (select one from this group)'],TERA-3 Total ,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.2545,0.3103,NA,NA,NA,NA,NA,NA,42,1,2,['Primary/elementary school'],"['5', '6', '7']",TRUE,50.0,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Research staff'],8,5,30,['Toolkit: Arts participation '],['Music'],"['Classroom teachers', 'Outside experts or specialists']",['School']
41817018,Risemberg (1992),1992,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.842,0.3045,['Post-test adjusted for baseline attainment'],Vocabulary diversity -Arts  mime,With business as usual,['Sample: All'],Literacy  writing,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,1,2,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Research staff'],4,1,60,['Toolkit: Arts participation '],['Drama'],['Other (please specify)'],['School']
41817182,Roberts (1978),1978,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2249,0.3507,['Pre-post gain'],Basic Reading Rate Scale - Arts Participation,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2249,0.3507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,6,NA,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],6,5,10,['Toolkit: Arts participation '],['Music'],['Classroom teachers'],['School']
41817141,Roden (2012),2012,['Journal article'],['Arts participation'],['Toolkit primary outcome'],-0.3839,0.2918,NA,Corsi block test,With business as usual,NA,Cognitive  other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,7,10,['Primary/elementary school'],"['6', '7', '8', '9', '10']",NA,NA,['Germany'],['Individual RCT'],['Small group/intensive support (3-5)'],['No'],['No'],['No'],['During regular school hours '],['External teachers'],72,1,45,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['School']
41817145,Roden (2014),2014,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",1.8181,0.3404,NA,Nonword recall test,With business as usual,NA,Literacy  decoding/phonics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,4,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['Germany'],['Prospective QED'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['Yes'],['No'],['Unclear/ not specified'],['External teachers'],72,1,45,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['School']
41817203,Rose (2000),2000,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5263,0.1389,['Post-test unadjusted (select one from this group)'],ITBS Factual & Inferential Comprehension Overall ES ,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.5263,0.1389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,4,8,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['External teachers', 'Lay persons/volunteers']",10,2,60,['Toolkit: Arts participation '],['Drama'],['Outside experts or specialists'],['School']
41817174,Roskam (1979),1979,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.699,0.176,['Pre-post gain'],Peabody Reading Comp Gain Music v Lang therapy,With active control,['Sample: Low achievers'],Arts,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.699,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,['Other educational setting (please specify)'],"['6', '7', '8']",NA,NA,['USA'],['Individual RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['Unclear/ not specified'],['Research staff'],12,2,60,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['Other (Please specify)']
41817025,Saab (1987),1987,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2773,0.2409,['Post-test adjusted for baseline attainment'],CTBS Mathematics Computation (adjusted mean) - Arts Participation,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2773,0.2409,NA,NA,NA,NA,NA,NA,87,2,5,['Primary/elementary school'],"['11', '12']",NA,NA,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],8,NA,40 ,['Toolkit: Arts participation '],['Drama'],['Classroom teachers'],['School']
41817140,Schellenberg (2004) 1_1,2004,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.4785,0.2509,['Post-test unadjusted (select one from this group)'],WISC Posttest Keyboard v control,With business as usual,['Sample: All'],Cognitive  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,['Primary/elementary school'],['6'],NA,NA,['Canada'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['Unclear/ not specified'],['External teachers'],36,1,Not stated,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['Specialist arts venue']
46325697,Schellenberg (2004) 1_2,2004,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.3603,0.245,['Post-test unadjusted (select one from this group)'],WISC posttest Voice v control,With business as usual,['Sample: All'],Cognitive  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,['Primary/elementary school'],['6'],NA,NA,['Canada'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['Unclear/ not specified'],['External teachers'],36,1,Not stated,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['Specialist arts venue']
46325698,Schellenberg (2004) 1_3,2004,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.364,0.2412,['Post-test unadjusted (select one from this group)'],WISC postest drama v control,With business as usual,['Sample: All'],Cognitive  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,['Primary/elementary school'],['6'],NA,NA,['Canada'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['Unclear/ not specified'],['External teachers'],36,1,Not stated.,['Toolkit: Arts participation '],['Drama'],['Outside experts or specialists'],['Specialist arts venue']
41817019,Smith (2010),2010,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.0277,0.2196,['Post-test adjusted for baseline attainment'],NEPSY Theory of Mind (TM)- Adjusted mean - Arts Participation,With business as usual,['Sample: All'],Cognitive  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,6,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],12,1, 50,['Toolkit: Arts participation '],['Drama'],['Outside experts or specialists'],['School']
41817099,Standley (1997),1997,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.0,0.374,NA,Writing and Language skill score,With business as usual,NA,Literacy  writing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],['Prospective QED'],['Small group/intensive support (3-5)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Research staff'],15,2,30 ,['Toolkit: Arts participation '],['Music'],['Classroom teachers'],['School']
38296601,Styles (2016),2016,['Technical report'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.03,0.08,['Post-test adjusted for baseline attainment'],NGRT - Reading Score,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.03,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,6,NA,['Secondary/High school'],"['11', '12']",NA,NA,"['UK (Select all that apply)', 'England']",['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Research staff'],10,1,10,['Toolkit: Arts participation '],"['Multi-component or integrated programme', 'Music', 'Other (Please specify)']","['Classroom teachers', 'Outside experts or specialists']",['School']
41816978,Thomson (2013) AP,2013,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2675,0.4433,['Post-test unadjusted (select one from this group)'],TOWRE  Word Reading-RHYTHM ,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2675,0.4433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,['Primary/elementary school'],['9'],NA,NA,"['UK (Select all that apply)', 'England']",['Prospective QED'],['One to one'],['No'],['Yes'],['No'],['During regular school hours '],"['Research staff', 'Unclear/not specified']",6,1,30,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['School']
41816501,Vogel (1975),1975,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4962,0.3782,['Post-test unadjusted (select one from this group)'],Metropolitan Achievement Test (Reading),With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4962,0.3782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,2,NA,['Primary/elementary school'],"['7', '8', '9']",NA,NA,['USA'],['Individual RCT'],['Small group/intensive support (3-5)'],['No'],['No'],['No'],['During regular school hours '],"['Research staff', 'External teachers']",12,2,25,['Toolkit: Arts participation '],['Drama'],"['Outside experts or specialists', 'Other (please specify)']",['School']
41817032,Wagner (1986),1986,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.4691,0.2073,['Post-test unadjusted (select one from this group)'],Highest Target Orientation ,With business as usual,['Sample: All'],Literacy  writing,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,8,4,"['Primary/elementary school', 'Secondary/High school']","['9', '10', '13', '14']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers']",1,1,35,['Toolkit: Arts participation '],['Drama'],"['Classroom teachers', 'Outside experts or specialists']",['School']
41817033,Walker (2011),2011,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.1918,0.193,NA,NJASK Language Arts - Arts group,With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1149,14,56,['Primary/elementary school'],"['9', '10', '11']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],72,1,45,['Toolkit: Arts participation '],['Drama'],['Classroom teachers'],['School']
41817016,Weidner (1993),1993,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3619,0.3717,['Post-test unadjusted (select one from this group)'],Story Retell Combined Overall Effect - Arts Participation,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3619,0.3717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,2,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Individual RCT'],['Small group/intensive support (3-5)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers']",5,1,Not specified,['Toolkit: Arts participation '],"['Drama', 'Visual or other Fine arts']",['Outside experts or specialists'],['School']
41817166,Williams (1973),1973,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2784,0.1002,['Post-test unadjusted (select one from this group)'],Gates-MacGinitie Test,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2784,0.1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402 ,6,NA,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],"['Class teachers', 'Other school staff']",22,3,15,NA,['Music'],['Classroom teachers'],['School']
41817187,Wooderson (1977) 1_1,1977,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0,0.2041,['Post-test unadjusted (select one from this group)'],Reading Word test – Total for School A+B  fixed effect,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0,0.2041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105 ,2,NA,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['No'],['Yes'],['No'],['During regular school hours '],"['Research staff', 'Digital technology']",2,5,15,['Toolkit: Arts participation '],"['Music', 'Visual or other Fine arts']",['Other (please specify)'],['School']
