id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,ss_aim,ss_aim_catch_up,ss_aim_enrich,ss_aim_trans,ss_aim_gifted,ss_aim_unclear,ss_pupil_part,ss_resid_comp,ss_grp_size,ss_act_focus,ss_staff_kind,ss_par_invol,ss_dig_tech,ss_attendance
39253323,LeBoff (1995),1995,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0766,0.0512,['Post-test unadjusted (select one from this group)'],Combined Males & Females - Reading Achievement (Scaled Scores) of Chapter I,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0766,0.0512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,3,NA,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Unclear/not specified'],6,Not stated in report,Not stated in report,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Not mentioned'],['Unsure'],['Class size (16+)'],['Adademic only'],['Other (please specify)'],['No / not mentioned'],['No / not mentioned'],['Yes']
39253220,Leviton (1973),1973,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2868,0.2514,['Pre-post gain'],Reading Comprehension (t- and p-values),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2868,0.2514,NA,NA,NA,['Mathematics primary outcome'],0.8531,0.2618,NA,NA,NA,NA,NA,NA,64 ,7,NA,['Primary/elementary school'],"['9', '6', '7', '8']",NA,NA,['USA'],['Individual RCT'],"['Small group/intensive support (3-5)', 'One to one']",['Yes (Please specify)'],['No'],['No'],['Summer/ holiday period'],['External teachers'],6,5,180,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],"['One-to-one or individual teaching', 'Small group (2 - 5 pupils)']",['Adademic only'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
39253291,Li (2009),2009,['Journal article'],['Summer schools'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7184,0.087,['Post-test unadjusted (select one from this group)'],SAT Math,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7184,0.087,NA,NA,NA,NA,NA,NA,2790,NA,NA,['Middle school'],"['13', '14']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['Summer/ holiday period'],['Research staff'],3,6,420,['Toolkit: Summer schools'],['Acceleration and/of gifted and talented'],NA,NA,NA,['Acceleration and/of gifted and talented'],NA,['Voluntary or optional'],['Yes'],['Class size (16+)'],['Adademic only'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
39253292,Linder (2004),2004,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.62,0.22,['Post-test unadjusted (select one from this group)'],Oral Reading Fluency (ORF) - Fall 1st,With business as usual,['Sample: Low achievers'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.62,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,8,NA,['Primary/elementary school'],"['7', '6']",TRUE,55.0,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Unclear/not specified'],4,4,45,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],"['Large group (6-15 pupils)', 'Class size (16+)']",['Adademic only'],['Other (please specify)'],['No / not mentioned'],['No / not mentioned'],['Yes']
39253327,Luftig (2003) 1_1,2003,['Journal article'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",1.0654,0.3624,['Post-test unadjusted (select one from this group)'],Story Comprehension,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.0654,0.3624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,NA,['Primary/elementary school'],"['6', '7', '8', '9', '10']",TRUE,90.0,['USA'],['Prospective QED'],['Small group/intensive support (3-5)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['External teachers'],3,Not specified in report,Unclear,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Not mentioned'],['No'],['Small group (2 - 5 pupils)'],['Adademic only'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['Yes']
43090171,Luftig (2003) 1_2,2003,['Journal article'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.9355,0.1942,['Post-test unadjusted (select one from this group)'],Overall Effect - McGinitie & Summer Success,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.9355,0.1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,1,NA,['Primary/elementary school'],"['6', '7', '8', '9', '10']",TRUE,90.0,['USA'],['Prospective QED'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['External teachers'],3,Not stated,Unclear ,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Not mentioned'],['No'],['Small group (2 - 5 pupils)'],['Adademic only'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['Yes']
39253391,Mariano (2013) SS,2013,['Journal article'],['Summer schools'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.069,0.008,['Post-test adjusted for baseline attainment'],Math only-6th grade (regression),With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.069,0.008,NA,NA,NA,NA,NA,NA,57889,NA,NA,"['Primary/elementary school', 'Middle school']","['10', '11']",TRUE,83.0,['USA'],['Regression Continuity  - naturally occurring'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Unclear/not specified'],5,4,270,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Compulsory or required'],['No'],['Large group (6-15 pupils)'],['Adademic only'],['Other (please specify)'],['No / not mentioned'],['No / not mentioned'],['Yes']
39253392,Matsudaira (2008),2008,['Journal article'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.122,0.28,['Post-test adjusted for baseline attainment'],Reading Achievement - Grades 3-7,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: National test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.122,0.28,NA,NA,NA,['Mathematics primary outcome'],0.121,0.023,NA,NA,NA,NA,NA,NA,132874,NA,NA,"['Primary/elementary school', 'Middle school']","['9', '10', '11', '12', '8', '13']",TRUE,76.0,['USA'],['Regression Discontinuity - not randomised'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Class teachers'],6,5,180,['Toolkit: Summer schools'],['School transition'],NA,NA,['School transition'],NA,NA,['Compulsory or required'],['No'],['Large group (6-15 pupils)'],['Adademic only'],['Qualified teachers'],['Yes'],['No / not mentioned'],['Yes']
38296644,Maxwell (2014),2014,['Technical report'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.13,0.128,['Post-test adjusted for baseline attainment AND clustering'],Summer School - Reading Comprehension NGRT,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.13,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,10,NA,"['Primary/elementary school', 'Secondary/High school']","['11', '12', '10']",FALSE,34.0,"['UK (Select all that apply)', 'England']",['Individual RCT'],"['Large group/class teaching (+6)', 'One to one']",['Yes (Please specify)'],['No'],['Yes'],"['Summer/ holiday period', 'During regular school hours ']",['Lay persons/volunteers'],0.3,1,350,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['One-to-one or individual teaching'],['Adademic only'],"['Volunteers (unpaid)', 'Qualified teachers', 'Other (please specify)']",['Yes'],['No / not mentioned'],['Yes']
39253295,Meehan (2005),2005,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.057,0.4156,['Post-test unadjusted (select one from this group)'],Comprehensive Test of Basic Skills (CTBS) Reading Test,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.057,0.4156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,8,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Prospective QED'],"['Small group/intensive support (3-5)', 'One to one', 'Other (Explain in notes)']",['Yes (Please specify)'],['No'],['No'],['Summer/ holiday period'],['External teachers'],3,5,240,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],"['One-to-one or individual teaching', 'Small group (2 - 5 pupils)']",['Adademic only'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['Yes']
39253296,Melosh (2003),2003,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.44,0.3,['Post-test adjusted for baseline attainment'],SRI-Reading Comprehension (ANOVA - first post test),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.44,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,2,2,"['Home', 'Other educational setting (please specify)']","['8', '7']",TRUE,85.0,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'One to one']",['No'],['No'],['Yes'],['Summer/ holiday period'],"['Class teachers', 'External teachers']",10,1,45,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['One-to-one or individual teaching'],['Adademic only'],['Qualified teachers'],['Yes'],['No / not mentioned'],['Yes']
47269849,Mitchell (1968) SS,1968,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Other outcome']",0.2953,0.1148,['Post-test unadjusted (select one from this group)'],Iowa Test of Basic Skill (Summer school vs Matched control)-Grade 3,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,18,NA,"['Primary/elementary school', 'Middle school']","['10', '11', '12', '13', '14', '8', '9']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Class teachers'],Not stated,Not stated,not specified,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Not mentioned'],['Unsure'],['Large group (6-15 pupils)'],['Adademic only'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
47269854,Morris (1966) SS,1966,['Technical report'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.9171,0.3628,['Post-test unadjusted (select one from this group)'],Metropolitan Readiness Test- Word Meaning,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.9171,0.3628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Class teachers'],Not stated.,Not stated,not specified,['Toolkit: Summer schools'],['Enrichment or compensation for disadvantage'],NA,['Enrichment or compensation for disadvantage'],NA,NA,NA,['Voluntary or optional'],['No'],"['Large group (6-15 pupils)', 'Class size (16+)']",['Academic and social'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['Yes']
39253393,Opalinski (2006),2006,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1993,0.1102,['Post-test unadjusted (select one from this group)'],Alaska Benchmark Examinations - Reading,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1993,0.1102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331,12,NA,['Middle school'],"['13', '14']",FALSE,41.0,['USA'],['Prospective QED'],['Other (Explain in notes)'],['Yes (Please specify)'],['No'],['No'],['Summer/ holiday period'],['External teachers'],5,5,300,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],"['Large group (6-15 pupils)', 'Class size (16+)']",['Adademic only'],['Qualified teachers'],['No / not mentioned'],['Yes'],['Yes']
39253299,Paris (2004),2004,['Book or book chapter'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0186,0.0974,['Post-test unadjusted (select one from this group)'],Reading Achievement-Summer Schools,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0186,0.0974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,19,NA,['Primary/elementary school'],"['6', '7', '8', '9']",NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['No'],['No'],['No'],['Summer/ holiday period'],"['Class teachers', 'Teaching assistants', 'External teachers']",6.8,Not stated.,180,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],"['One-to-one or individual teaching', 'Large group (6-15 pupils)']",['Academic and social'],"['Teaching assistants/ paraprofessionals', 'Qualified teachers']",['Yes'],['No / not mentioned'],['No / not mentioned']
47269863,Porter (1965) SS,1965,['Technical report'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0286,0.2462,['Post-test unadjusted (select one from this group)'],Peabody Picture Vocabulary Test (IQ),With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0286,0.2462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],"['Class teachers', 'Teaching assistants', 'Parents/carers']",7,Not stated.,150,['Toolkit: Summer schools'],['Enrichment or compensation for disadvantage'],NA,['Enrichment or compensation for disadvantage'],NA,NA,NA,['Voluntary or optional'],['No'],['Large group (6-15 pupils)'],['Adademic only'],"['Qualified teachers', 'Young people/adults (paid)']",['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
39253334,Reed (2001),2001,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.471,0.2417,['Post-test adjusted for baseline attainment'],Overall ES  Terra Nova Level 12 - Analyse Text (M&F),With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.471,0.2417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,5,NA,['Primary/elementary school'],"['6', '7']",FALSE,35.0,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['Yes'],['No'],['Summer/ holiday period'],['External teachers'],4,Not stated,240,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['Large group (6-15 pupils)'],['Adademic only'],['Qualified teachers'],['No / not mentioned'],['Yes'],['Yes']
39253335,Rembert (1986),1986,['Journal article'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4044,0.1739,['Post-test unadjusted (select one from this group)'],CTBS - Reading,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4044,0.1739,NA,NA,NA,['Mathematics primary outcome'],0.3424,0.1735,['Science primary outcome'],0.3715,0.1737,NA,NA,NA,142,14,NA,['Secondary/High school'],"['15', '14']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['Summer/ holiday period'],['Other school staff'],11,6,200,['Toolkit: Summer schools'],"['Catch-up or remediation', 'Enrichment or compensation for disadvantage']",['Catch-up or remediation'],['Enrichment or compensation for disadvantage'],NA,NA,NA,['Not mentioned'],['Yes'],['Class size (16+)'],['Academic and vocational skills'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
39253336,Riley (1997),1997,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.9453,0.1691,['Post-test unadjusted (select one from this group)'],Mathematics Achievement Test,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.9453,0.1691,NA,NA,NA,NA,NA,NA,156,1,NA,['Secondary/High school'],"['14', '15', '16', '17', '18']",NA,NA,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'One to one']",['Yes (Please specify)'],['No'],['No'],['Summer/ holiday period'],"['Class teachers', 'Teaching assistants']",Not stated,Unclear/not specified,Unclear/not specified,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],"['One-to-one or individual teaching', 'Small group (2 - 5 pupils)', 'Class size (16+)', 'Large group (6-15 pupils)']",['Adademic only'],"['Qualified teachers', 'Young people/adults (paid)']",['No / not mentioned'],['No / not mentioned'],['Yes']
39253394,Schacter (2005),2005,['Journal article'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",1.0987,0.1986,['Post-test adjusted for baseline attainment'],Comprehension (Table 3),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.0987,0.1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,3,NA,['Primary/elementary school'],"['6', '7']",TRUE,100.0,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'Paired learning']",['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['External teachers'],7,5,540,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['Large group (6-15 pupils)'],['Academic and sports'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
39253304,Seward (2009),2009,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1623,0.2249,['Post-test unadjusted (select one from this group)'],Peabody Picture Vocabulary Test III (PPVT III),With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1623,0.2249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,13,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['Canada'],['Prospective QED'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['No'],['No'],['Yes'],['Summer/ holiday period'],['Research staff'],2,5,450,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Not mentioned'],['No'],"['Large group (6-15 pupils)', 'One-to-one or individual teaching', 'Small group (2 - 5 pupils)']",['Academic and social'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
40134828,Shelton (1997),1997,['Dissertation or thesis'],"['Behaviour interventions', 'Summer schools']","['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome']",0.54,0.23,['Post-test adjusted for baseline attainment'],GPA (f-test),With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome']",0.54,0.23,NA,NA,NA,"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome']",0.54,0.23,NA,NA,NA,NA,NA,NA,80,2,NA,['Middle school'],"['13', '14']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['Summer/ holiday period'],"['Research staff', 'Other school staff', 'Lay persons/volunteers']",5,5,330,"['Toolkit: Behaviour interventions', 'Toolkit: Summer schools']","['Enrichment or compensation for disadvantage', 'School transition']",NA,['Enrichment or compensation for disadvantage'],['School transition'],NA,NA,['Voluntary or optional'],['No'],['Class size (16+)'],['Adademic only'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['Yes']
38296692,Torgerson (2014),2014,['Technical report'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.21,0.3163,['Post-test adjusted for baseline attainment'],Reading,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.21,0.3163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,29,NA,"['Primary/elementary school', 'Secondary/High school']","['10', '11', '12']",TRUE,50.0,"['UK (Select all that apply)', 'England']",['Multisite RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['No'],['No'],['Yes'],['Summer/ holiday period'],"['Research staff', 'Class teachers', 'Lay persons/volunteers']",4,5,390,['Toolkit: Summer schools'],"['School transition', 'Catch-up or remediation']",['Catch-up or remediation'],NA,['School transition'],NA,NA,['Voluntary or optional'],['No'],['Class size (16+)'],['Adademic only'],"['Qualified teachers', 'Volunteers (unpaid)', 'Other (please specify)']",['No / not mentioned'],['No / not mentioned'],['Yes']
39253235,Tyler (1966),1966,['Technical report'],['Summer schools'],"['Toolkit primary outcome', 'Other outcome']",0.4518,0.109,['Post-test unadjusted (select one from this group)'],California achievement test -Grades combined,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,2,NA,['Primary/elementary school'],"['9', '10', '11', '12']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Class teachers'],Not stated,Not stated,Not specified,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Not mentioned'],['Unsure'],"['Small group (2 - 5 pupils)', 'Large group (6-15 pupils)']",['Academic and cultural or artistic'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
39253306,Ugel (1999),1999,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",1.7586,0.3441,['Post-test unadjusted (select one from this group)'],Gray Oral Reading Test-Third Edition (Comprehension Score),With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.7586,0.3441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,['Middle school'],"['11', '12', '13', '14']",TRUE,82.0,['USA'],['Prospective QED'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['Summer/ holiday period'],['Research staff'],4,5,150,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['Small group (2 - 5 pupils)'],['Adademic only'],['Teaching assistants/ paraprofessionals'],['No / not mentioned'],['No / not mentioned'],['Yes']
39253308,Waters (2004),2004,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.9638,0.3202,['Post-test adjusted for baseline attainment'],The Developmental Reading Assessment (2002 Cohort),With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.9638,0.3202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,8,NA,['Primary/elementary school'],"['8', '7']",FALSE,27.0,['USA'],['Prospective QED'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'Student alone (self-administered)', 'Paired learning']",['Yes (Please specify)'],['No'],['No'],['Summer/ holiday period'],['Class teachers'],4,4,240,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],"['Small group (2 - 5 pupils)', 'Class size (16+)']",['Adademic only'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['Yes']
39253240,Williams (1977),1977,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1505,0.1382,['Post-test unadjusted (select one from this group)'],SRA - Reading Comprehension (posttest only),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1505,0.1382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,7,7,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Retrospective QED  '],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Unclear/not specified'],6,5,180,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],NA,['Adademic only'],['Other (please specify)'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
39253241,Winston (1963),1963,['Technical report'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.38,0.2,['Pre-post gain'],STEP Language Arts,With business as usual,['Sample: Exceptional'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.38,0.2,NA,NA,NA,NA,NA,NA,['Science primary outcome'],0.25,0.2,NA,NA,NA,102,NA,NA,['Primary/elementary school'],"['10', '11', '12']",NA,NA,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['No'],['Summer/ holiday period'],['Class teachers'],6,5,240,['Toolkit: Summer schools'],['Acceleration and/of gifted and talented'],NA,NA,NA,['Acceleration and/of gifted and talented'],NA,['Voluntary or optional'],['No'],['Large group (6-15 pupils)'],['Academic and cultural or artistic'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
