StudyID,Strand,TypeofTest,TypeofTestHighlightedText,StandardisedTest,StandardisedTestHighlightedText,ResearcherDevelopedTest,ResearcherDevelopedTestHighlightedTest,SchoolDevelopedTest,SchoolDevelopedTestHighlightedTest,NationalTestorExam,NationalTestorExamHighlightedTest,InternationalTests,InternationalTestsHighlightedTest
39253283,Summer schools,NA,NA,NA,"['Page 23:\n[¬s]"" 4-Sight Benchmark Tests and the Pennsylvania System of School Assessment (PSSA) tests in reading and math [¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
40117194,NA,NA,NA,NA,NA,NA,NA,School records,NA,NA,NA,NA,NA
37133886,Peer Tutoring,NA,NA,"The Student Self-Concept Scale ( S S C S ) , Level 2, was used on b ot h testing occasions and mea s u r e d self-concept base d u p o n the student's own perceptions rather than on the observations of parents or teachers,composed of 72 items covering three subscales: social, academic, and self-awareness  Texas Assessment of Academic Skills -skills in reading, mathematics,and writing.","['Page 38:\n[¬s]""Texas Assessment of Academic Skills ( T A A S ) ; A state-wide standardized test that students in Grades 3, 4, 5, 6, 7, 8, and 10 must take. The T AAS has tests in reading, mathematics, writing, science, and social studies. Reading and mathematics tests are given at Grades 3, 4, 5, 6, 7, 8, and 10. The w r i t i n g test is given at Grades 4, 8, and 10 only. Science and social studies tests are given at Grade 8 only. TAAS results show the performance of non-sp eci al- edu cation students who were in the district as of late O c t o b e r in each school year. The TAAS standards for the school a c c o u n t \xad ability rating are as follows: Ex em p l a r y - - a t least 90% passing; Reco g n i z e d - -70% to 89.9% passing; Acceptable-- 25% to 69.9% passing; and Lo w-p e r f o r m i n g — less than 25% passing (TEA, 1996).[¬e]""', 'Page 79:\n[¬s]"" The Student Self-Concept Scale ( S S C S ) , Level 2, was used on b ot h testing occasions and mea s u r e d self-concept base d u p o n the student\'s own perceptions rather than on the observations of parents or teachers. The inventory assesses self-concept in students 10 t[¬e]""', 'Page 80:\n[¬s]""18 years of age and is composed of 72 items covering three subscales: social, academic, and self-awareness. For this study, the academic score and the composite score for social, academic, and self-awareness w e r e the two used for the statistical analysis.[¬e]""', 'Page 83:\n[¬s]""Texas Assessment of Academic Skills""\n""According to the TEA (1997), the goal of the assess\xad ment p r ogram in Texas is to measu re student progress toward achieving academic excellence""\n""n the fall of 1990, state law began to require the implementation of a n e w criterion-referenced testing program, the Texas Assessment of Academic Skills (TAAS) to be used as a measure of institutional accountability.[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37092761,Feedback,NA,NA,NA,NA,NA,"['Page 3:\n[¬s]""ests A table of specifications was employed to design a post test covering each of the dimensions of the content in the textual material. The result of this analysis was a posttest of 42 items consisting of three sub tests, which were: Recognition (16 items)?measuring subjects\' ability to identify examples of each set of numbers in the number system they had encountered in the text; Production (8 items)?measuring subjects\' ability to produce a hierarchy of the number system when the concepts were provided in random order; Comprehension (18 items)?measuring sub jects\' ability to identify relationships among concepts in the number system (e.g., of the numbers 2, 3/4, and -2, which two are most closely related?). Reliability was established using the Kuder-Richardson 21. The results for each subtest and the total test are as follows: Recognition.84 Production.75 Comprehension.60 Total test.78 Differences we[¬e]""']",NA,NA,NA,NA,NA,NA
40294902,Feedback,NA,NA,NA,NA,NA,"['Page 94:\n[¬s]""Comprehension Assessment Oral Retelling Scoring Procedure A scoring procedure for passage 3 oral retellings was modified from a procedure by Smith and Jackson (1985).[¬e]""', 'Page 97:\n[¬s]""Sentence Verification Technique Comprehension assessment questions for the passages were developed following the ""sentence verification technique"" (Royer, Greene, and Sinatra, 1987).[¬e]""']",NA,NA,NA,NA,NA,NA
38878251,Small Group Tuition,NA,NA,"Pretests  GMRT4 Level Beginning reading (BR), MacGinitie et al., 2000; 2002 The Ekwall/Shanker Reading Inventory, 2003  Posttests  WRMT-R Word Identification Test Form G and Word Attack test (Woodcock, 1987; 1998) The Ekwall/Shanker Reading Inventory, 2003 GMRT4, Level 1, MacGinitie et al., 2000; 2002","['Page 13:\n[¬s]"" WRMT-R Word Identification Test Form G of the WRMT-R required students to read a list of real words that increased in difficulty. The median split-half reliabil\xad ity of this measure is reported to be 0.98 (Woodcock, 1987, 1998). 2. WRMT-R Word Attack Test. Students read a list of decodable nonwords. The median split-half reliability of this measure is reported to b[¬e]""', 'Page 14:\n[¬s]"" the Ekwall/Shanker Reading Inventory (4th ed.; Shanker & Ekwall, 2003)[¬e]""', 'Page 14:\n[¬s]""The GMRT4, Level 1[¬e]""', 'Page 8:\n[¬s]""he GMRT4 Level BR (Beginning Reading; MacGinitie et al., 2000; MacGinitie, MacGinitie, Maria, & Dreyer, 2002) was administered to classrooms of first graders in all eight schools in November. This multiple-choice test mea\xad sured students’ knowledge of letter-sound correspondences and their ability to read high-frequency words.[¬e]""', 'Page 9:\n[¬s]"" Informal reading inventory. The Ekwall/Shanker Reading Inventory (4th ed.; Shanker & Ekwall, 2003)[¬e]""']","Pretests  Adapted tests from Clay (Reading Recovery) RES Individual Pretests, seven subtests  Posttests  RES Individual Posttests, seven subtests ","['Page 14:\n[¬s]"" RES individual posttests. The seven subtests of the RES individual pretest[¬e]""', 'Page 8:\n[¬s]""RES Classwide Screening Assessments. The RES screen consisted of four group- administered tests adapted from Clay (1993a, 2002[¬e]""', 'Page 9:\n[¬s]"" RES Individual Pretests.[¬e]""']",NA,NA,"Iowa Tests of Basic Skills (ITBS) Level 6 Vocabulary subtest. Hoover et al., 2001;2003","['Page 8:\n[¬s]"" Iowa Tests of Basic Skills (ITBS; H. Hoover et al., 2001, 2003) vocabulary test. The ITBS Level 6 vocabulary subtes[¬e]""']",NA,NA
39253253,Summer schools,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Page 88:\n[¬s]""he annual state SBA tests were used as both the pretest and the posttest.[¬e]""', 'Page 90:\n[¬s]""The Alaska SBA is a criterion-referenced assessment. The SBA is content-based and aligned directly to the Alaska statewide content standards.[¬e]""']",NA,NA
37061114,Feedback,NA,NA,NA,NA,NA,"['Page 76:\n[¬s]""The cloze tests of the two passages were constructed so that every fifth word was deleted (""the typical procedure"") resulting In fifty deletions per passage\x97the minimum needed for ""high reliability"" (Harris and Sipay, 1980). Only exact word responses were scored as correct; synonyms were not accepted.[¬e]""', 'Page 77:\n[¬s]"" 10 multiple-choice questions on each comprehension question posttest.[¬e]""']",NA,NA,NA,NA,NA,NA
40117128,Extending school time,NA,NA,Texas Assessment of Academic Skills (TAAS),NA,NA,NA,student achievement and attendance,NA,NA,NA,NA,NA
37093353,Peer Tutoring,NA,NA,"Gates-MacGinitie Reading Tests, 1965",NA,NA,NA,NA,NA,NA,NA,NA,NA
40117129,NA,NA,NA,IOWA Test of Basic Skills (ITBS) - maths - Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093472,Peer Tutoring,NA,NA,"Self-Perception Profile (Harter 1985), a 36-item pencil-and-paper instrument",NA,"Student satisfaction was assessed with an eight-item, 3-point Likert-type scale: did not like (1), like a little (2), like a lot (3).   Teacher satisfaction. Individual, structured interviews Teacher feedback was sought regarding the following: (a) acceptability of the methods, (b) collateral effects observed in the classroom (i.e., changes in student mathematics achievement, conduct, and social skills), (c) student self-reports about program activities, and (d) interest in continuing involvement in the program the following year.",NA,teachers helped design the math computation test and administered the test to students during a regular mathematics lesson.  both in the beginning and at the end of the study,NA,NA,NA,NA,NA
37093471,Peer Tutoring,NA,NA,"Curriculum-based computation test, Stanford Diagnostic Mathematics Test, andt the Self-Perception Profile for Children ",NA,NA,NA,NA,NA,NA,NA,NA,NA
38878265,Small Group Tuition,NA,NA,"pretest  TOLD-P-3, Relational vocabulary subtest (in Table 1, this is called: Oral language proficiency)   posttest  Narrative Assessment Procedure (Strong, 1998), retelling a narrative text, expository retell","['Page 7:\n[¬s]""The Relational Vocabulary subtest of the TOLD-P-3 was individually administered to all students before the intervention and was used to identify students at risk for language difÞculties, and to match and assign students to conditions[¬e]""', 'Page 9:\n[¬s]""Oral language proÞciency Control""\n""Narrative retell Control""\n""Expository retell[¬e]""']","Depth of Vocabulary knowledge  (in Table 1, this is shown to have been measured both before and after the intervention)","['Page 7:\n[¬s]""The Depth of Vocab- ulary Knowledge[¬e]""', 'Page 9:\n[¬s]""Vocabulary knowledge[¬e]""', 'Page 9:\n[¬s]""Vocabulary knowledge[¬e]""']",NA,NA,NA,NA,NA,NA
40117274,Small Group Tuition,NA,NA,NA,"['Page 11:\n[¬s]"" California Achievement Test (Spring, CAT 16E)[¬e]""']",NA,NA,NA,NA,NA,"['Page 11:\n[¬s]""Michigan Educational Assessment Program (Fall, MEAP)[¬e]""']",NA,NA
37093506,Peer Tutoring,NA,NA,"Gates-MacGinitie Reading Tests (GMRT), Fourth Edition, a standardized reading assessment that focuses on vocabu­ lary and reading comprehension skills.  Stanford Achievement Test (SAT-9)","['Page 3:\n[¬s]""Gates-MacGinitie Reading Tests (GMRT), Fourth Edition, a standardized reading assessment that focuses on vocabu\xad lary and reading comprehension skills.""\n""Second, the statewide assessment system Stanford""\n""Achievement Test (SAT-9)[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37092577,Feedback,NA,NA,NA,NA,NA,"['Page 10:\n[¬s]""D o w n l o a d e d b y [ D u r h a m U n i v e r s i t y L i b r a r y ] a t 0 8 : 4 1 1 7 S e p t e m b e r 2 0 1 7 TEACHING CHILDREN REVISION IN WRITING 11 variables for revisions made (all per 100 words) at each stage were formed from the writing/revision task""\n""Two trained doctoral students scored the typed stories (previously arranged in a random order) using an analytic scale based on the work of Diederich (1974) and Beach (1979).[¬e]""', 'Page 9:\n[¬s]"" Using Faigley and Witte’s (1981, 1984) classification scheme for revision, one lead variable and five follow-up[¬e]""']",NA,NA,NA,NA,NA,NA
37133895,Peer Tutoring,NA,NA,NA,NA,NA,"['Page 12:\n[¬s]""A fractions test was constructed, with five items per objective and this was administered in the primary and secondary classrooms two or three weeks before the project started.""\n""Due to the danger of a ceiling effect on the fractions test, (some had scored as high[¬e]""', 'Page 13:\n[¬s]"" as 70/72 ie 97%), a more difficult test was constructed for the post-test[¬e]""']",NA,NA,NA,NA,NA,NA
39253205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Page 58:\n[¬s]""Stanford Achievement Test (SAT)""\n""State Student Assessment Test (SSAT)[¬e]""']",NA,NA
37092578,Feedback,NA,NA,NA,NA,NA,"['Page 8:\n[¬s]""We constructed a comprehension test similar to the one the students would be tested with later that spring, one consisting of both open-ended as well as multiple-choice test items. For this purpose we selected retired, published com- prehension items from the Colorado Student Assessment Program (CSAP) to test comprehension performance of the students prior to and following the summary practice sessions. [¬e]""']",NA,NA,NA,NA,NA,NA
37671552,Teaching assistants,NA,NA,NA,"['Page 3:\n[¬s]""The verbal composite was based on z-scores on screening measures (CELF Preschool II UK Recalling Sentences and Expressive Vocabulary subtests""\n""and the Early Repetition Battery Word- and Nonword Repetition subtests""\n""the lowest scores on a composite measure derived from the following CELF Preschool II UK subtests (Recalling Sentences, Expressive Vocabulary,""\n""Sentence Structure, and Word Structure)[¬e]""', 'Page 4:\n[¬s]"" CELF Preschool II UK Word Structure""\n""Narrative skills were measured using a story retelling task (Squirrel Story; Carey, Leitao, & Allan, 2006; t1, t2, t4, t5, t6). Narratives were transcribed verbatim and analysed to derive three scores: mean length of utter- ance in words (MLUw), the number of words used (NW) and the number of different words used (NDW) retelling the story.""\n""Expressive Picture Naming and Receptive Picture Selection""\n""Picture Naming (t5, t6) and DeÞnitions task""\n""Alliteration Matching task""\n""Phoneme awareness: Measured using YARC Sound Isolation""\n""and Sound Linkage Segmen- tation, Blending and Deletion tasks[¬e]""']",NA,"['Page 4:\n[¬s]""Listening comprehension was assessed by children listening to two short stories and answering questions about them[¬e]""']",NA,NA,NA,NA,NA,NA
37671553,Teaching assistants,NA,NA,NA,"['Page 3:\n[¬s]""three standardized tests administered at screening and pretest (BPVS, CELF Expressive Vocabulary, CELF Sentence Structure).""\n""York Assessment of Reading for Comprehension[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37091029,Feedback,NA,NA,NA,"['Page 4:\n[¬s]""Passage Reading Test (PRT). The PRT (Fuchs, Deno, & Mirkin, 1982a), comprising three passages from a third grade book of the Ginn 720 series (1976), was employed.""\n""Stanford Diagnostic Reading Test, Two subtests, Structural Analysis (SA) and Reading Comprehension (RC), of the Stanford Diagnostic Read\xad ing Test (Karlsen, Madden, & Gardner, 1976), Green Level, Form A, were employed.""\n""Structure of Instruction Rating Scale (SIRS). The SIRS (Deno, King, Skiba, Sevcik, & Wesson, 1983) was employed[¬e]""']",NA,"['Page 4:\n[¬s]""Teacher questionnaire. A teacher questionnaire (see Fuchs, Deno, & Mirkin, 1982b) designed for the study""\n""Student interview. An interview schedule, designed for the stu[¬e]""']",NA,NA,NA,NA,NA,NA
37092579,Feedback,NA,NA,NA,NA,"The Word Spelling Test (WST) (Deno, Mirkin, Tindal & Lowry, 1980)",NA,"Teacher developed spelling tests at least twice weekly, which lasted 2 minutes using randomly selected words in a form of the standard CBM test.",NA,NA,NA,NA,NA
37092580,Feedback,NA,NA,"The Word Spelling Test-Revised (WST; Deno, Mirkin, Kuehnle, & Lowry, 1980) comprises 60 words randomly selected from Grades 1-6 of Basic ElementaryReading Vocab­ ularies (Harris & Jacobson, 1972).   Spelling Modified Accuracy of Implementation Rating Scale-Revised (S-MAIRS;Fuchs, 1988), which comprises three subscales: Structure,' Measurement, and Data Utilization.","['Page 2:\n[¬s]"" Spelling Modified Accuracy of Imple-[¬e]""', 'Page 3:\n[¬s]""mentation Rating Scale-Revised (S-MAIRS; Fuchs, 1988), which comprises three subscales: Structure,\' Measurement, and Data Utilization. Items are rated on a 5-point Likert-type scale (0 =""low""; 4 = ""high""), in accordance with detailed scoring guidelines.[¬e]""', 'Page 3:\n[¬s]""The WST was selected because it is one offew spelling achievement tests requiring a production rather than a recognition task. Criterion validity with the Test of Written Spelling, the Peabody Individual Achievement Test-Spelling, and the Stanford Achievement Test-Spelling was be\xad tween .73 and .99 (Deno et al., 1980). Test-retest reliability was .92 or higher (Fuchs, Deno, & Marston, 1983), and interscorer agreement (see Coulter formula), assessed on 28% of the proto\xad cols, was 97%. The highest possible score was 395. No ceiling effect was observed.[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37092581,Feedback,NA,NA,NA,"['Page 4:\n[¬s]""The accuracy with which teachers imple\xad mented treatments was assessed using the Spelling-Modified Accuracy of Implemen\xad tation Rating Scale-Revised (S-MAIRS; Fuchs, 1988), which comprises..three subscales: Structure (taking baseline, graphing data, writing goals, and drawing goal lines), Measurement (task adminis\xad tration, reliability of scoring, and\'fre\xad quency of measurement), and Evaluation (describing instructional procedures and timing instructional adjustments).""\n""Student accuracy during measurement was in\xad dexed through the Student Computer Observation, which assesses student accuracy in (a) date entry, (b) name entry, (c) test number and password entry, (d) word dictation sequence, (e) word dicta\xad tion timing, (f) response entry, and (g) test duration.[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
40294904,Feedback,NA,NA,"The Math Operations Test-Revised (Fuchs, Fuchs, Hamlett, & Stecker, 1991)' (p.529)",NA,NA,NA,NA,NA,NA,NA,NA,NA
37093553,Peer Tutoring,NA,NA,"Teacher planning. Instructional plan­ ning was measured in two ways. First, teachers maintained instructional plan sheets Second, we used the Teacher Planning Scale  Acquisition and transfer learning The acquisition measure was the Math Operations Test-Revised (Fuchs, Fuchs, Hamlett, & Stecker, 1991)  The transfer measure was the Mathe­ matics Concepts and Applications Test (Stecker, Fuchs, & Hamlett, 1992),","['Page 11:\n[¬s]""Measures Teacher planning. Instructional plan\xad ning was measured in two ways. First, teachers maintained instructional plan sheets (Wesson & Deno, 1989), on which they wrote descriptions of their instruc\xad tional plans each week for 3 weeks.""\n""Second, we used the Teacher Planning Scale (Fuchs, Fuchs, & Bishop, 1992a), ask\xad ing teachers to indicate, using a 5-point Lik\xad ert scale, the extent to which they agree with each of five statements (strongly dis\xad agree to strongly agree).""\n""The transfer measure was the Mathe\xad matics Concepts and Applications Test (Stecker, Fuchs, & Hamlett, 1992), which systematically samples problems across Grades 1 through 6 from the concepts/appli- cations portions of the Tennessee curricu\xad lum (i.e., numeration, concepts, geometry, measurement, charts and graphs, money, word problems)[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37093549,Peer Tutoring,NA,NA," Comprehensive Reading Assessment Battery (CRAB). The CRAB (L. S. Fuchs, Fuchs, & Maxwell, 1988) makes use of four 400-word traditional folktales, used in previous studies of reading comprehension (e.g., Brown & Smiley, 1977; Jenkins, Heliotis,","['Page 17:\n[¬s]""d prediction relay were 94, 88, 87, 88, and 90, respectively. Comprehensive Reading Assessment Battery (CRAB). The CRAB (L. S. Fuchs, Fuchs, & Maxwell, 1988) makes use of four 400-word traditional folktales, used in previous studies of reading comprehension (e.g., Brown & Smiley, 1977; Jenkins, Heliotis, Haynes, & Beck, 1986). The folktales were rewritten by Jenkins et al. (1986) to approximate a second- to third-grade readability level (Fry, 1968), while preserving their meaning. The CRAB requires students first to read aloud from one folktale for 3 minutes and then to answer 10 comprehension questions. On a second story, they (a) have 2 minutes to complete a cloze, or maze; (b) read aloud for 3 minutes; and (c) answer 10 comprehension questions. The comprehension questions, devel- oped by Jenkins et al. (1986), require short answers reflecting recall of information contained in idea units of high thematic importance. The maze activity was prepared by leaving the first sentence intact; thereafter, every 7th word was replaced with a 3-item multiple choice, where only one item provides a semantically correct replace[¬e]""']","Teacher questionnaires and student interviews. Between Weeks 13 and 15 of the treatment, PALS teachers independently completed a questionnaire  Instructional plan sheet","['Page 18:\n[¬s]""retreatment; 99.9%, 95.5%, and 99.0% at posttreatment. Teacher questionnaires and student interviews. Between Weeks 13 and 15 of the treatment, PALS teachers independently completed a questionnaire with two parts. The first part asks teachers to express their views of the academic and social benefits of PALS-both overall benefits and those associated with more specific components of the treatment-for LD, LP, and AA students, using a 5-point Likert-type scale. The second part asks open- ended questions, encouraging teachers to suggest how PALS may be improved.[¬e]""']",NA,NA,NA,NA,NA,NA
37093550,Peer Tutoring,NA,NA,"Achievement. We employed the Com­ prehensive Mathematics Test.  which systemati­ cally samples problems to represent the Tennessee mathematics curriculum in grades 1-6. The operations subtest includes 50 mathematical operations problems in­ volving addition, subtraction, multiplica­ tion, and division of whole numbers, deci­ mals, and fractions.","['Page 13:\n[¬s]""Achievement. We employed the Com\xad prehensive Mathematics Test""\n"" which systemati\xad cally samples problems to represent the Tennessee mathematics curriculum in grades 1-6. The operations subtest includes 50 mathematical operations problems in\xad volving addition, subtraction, multiplica\xad tion, and division of whole numbers, deci\xad mals, and fractions.[¬e]""']","Quality of student interactions. For both PMI conditions, we assessed the qual­ ity of student interactions with in situ ob­ servations, which occurred in the students' classrooms during regularly scheduled PMI sessions, and with structured tutoring gen­ eralization sessions, which occurred outside the students' classrooms and were video­ taped.  In the structured, videotaped generalization sessions, each dyad worked on two types of problems: one operations and one applica­ tions skill.","['Page 14:\n[¬s]""Quality of student interactions. For both PMI conditions, we assessed the qual\xad ity of student interactions with in situ ob\xad servations, which occurred in the students\' classrooms during regularly scheduled PMI sessions, and with structured tutoring gen\xad eralization sessions, which occurred outside the students\' classrooms and were video\xad taped.[¬e]""']",NA,NA,NA,NA,NA,NA
37093524,Peer Tutoring,NA,NA,"Comprehensive Mathematics Test (Fuchs, Fuchs, Hamlett, Phillips, & Karns, 1995)","['Page 12:\n[¬s]""CBM. These teachers employed CBM for 23 weeks to track improve- ment on the grade-level mathematics curriculum. Each week, teachers administered a classwide assessment.[¬e]""']"," PALS topics. Two RAs reviewed the master set of topics incorporated within the CBM/PALS system and developed a scheme for coding the difficulty level of those topics (1 = most easy, 5 = most difficult; more than one skill could receive the same code).  Effort : Teachers rated student effort  Intrinsic motivation: Teachers rated the student   Student feelings about the TFG treatment. A questionnaire tapped stu- dents' insights into and feelings about the TFG treatment","['Page 17:\n[¬s]""ributed evenly across administrations and treatments, was 99.1%. PALS topics. Two RAs reviewed the master set of topics incorporated within the CBM/PALS system and developed a scheme for coding the difficulty level of those topics (1 = most easy, 5 = most difficult; more than one skill could receive the same code)""\n""ch were identified for them on the basis of assessment profiles. Effort. Following methods described by Mac Iver, Stipek, and Daniels (1991), we asked teachers to rate student effort in the following way.""\n""ess to their initial ratings when they completed their final ratings. Intrinsic motivation. Following methods described by Gottfried (199[¬e]""']",NA,NA,NA,NA,NA,NA
37133902,Peer Tutoring,NA,NA," Traditional achievement measure. We employed the Comprehensive Test of Basic Skills, fourth edition (CTBS; Macmillan/ McGraw-Hill, 1989) Mathematics Total Bat­ tery, which comprises the Mathematics Computation Test and the Mathematics Concepts and Applications Test.  CBM. We employed three alternate forms of the mathematics computation and the mathematics concepts/applications CBM system (Fuchs, Fuchs, Hamlett, Thompson, Roberts, Kubek, & Stecker, 1994). Computations includes addition, subtraction, multiplication, and division of whole numbers, fractions, and decimals. Concepts and applications includes number concepts, numeration, applied computa­ tion, geometry, measurement, charts and graphs, and word problems.  PA. The PA designed for this study was adapted from Sammons, Kobett, Heiss, and Fennell (1992). It incorporated nine “core"" skills from the Tennessee statewide fourth- grade curriculum: multiplication with whole numbers and regrouping, concrete representation of decimals, additive com­ binations of decimals, multiplication with decimals and money with regrouping, rounding, drawing perimeter, drawing area with appropriate conventions, computing area, and labeling dimensions","['Page 8:\n[¬s]""Traditional achievement measure. We employed the Comprehensive Test of Basic Skills, fourth edition (CTBS; Macmillan/ McGraw-Hill, 1989) Mathematics Total Bat\xad tery, which comprises the Mathematics Computation Test and the Mathematics Concepts and Applications Test.""\n""CBM. We employed three alternate forms of the mathematics computation and the mathematics concepts/applications CBM system (Fuchs, Fuchs, Hamlett, Thompson, Roberts, Kubek, & Stecker, 1994).""\n""Computations includes addition, subtraction, multiplication, and division of whole numbers, fractions, and decimals. Concepts and applications includes number concepts, numeration, applied computa\xad tion, geometry, measurement, charts and graphs, and word problems.""\n""PA. The PA designed for this study was adapted from Sammons, Kobett, Heiss, and Fennell (1992). It incorporated nine “core"" skills from the Tennessee statewide fourth- grade curriculum: multiplication with whole numbers and regrouping, concrete representation of decimals, additive com\xad binations of decimals, multiplication with decimals and money with regrouping, rounding, drawing perimeter, drawing area with appropriate conventions, computing area, and labeling dimensions[¬e]""']",Teacher questionnaire. The question­ naire posed four questions with Likert-scale response formats and three questions with open-ended response formats.,"['Page 9:\n[¬s]""Teacher questionnaire. The question\xad naire posed four questions with Likert-scale response formats and three questions with open-ended response formats.[¬e]""']",NA,NA,NA,NA,NA,NA
37093618,Peer Tutoring,NA,NA,"Literacy Development. To assess literacy development, we used the Comprehensive Reading Assessment Battery","['Page 5:\n[¬s]""Literacy Development. To assess literacy development, we used the Comprehensive Reading Assessment Battery (CRAB; L. S. Fuchs, Fuchs, & Hamlett, 1989).[¬e]""']","Student Beliefs. We used a questionnaire to sample students beliefs along three dimensions: attitude toward read- ing, working hard to become a better reader, and working with other students.","['Page 6:\n[¬s]""Student Beliefs. We used a questionnaire to sample students\x92 beliefs along three dimensions: attitude toward read- ing, working hard to become a better reader, and working with other students.[¬e]""']",NA,NA,NA,NA,NA,NA
37093551,Peer Tutoring,NA,NA,"Learning. To assess student learning, we used the reading comprehension subtest of the third edition of the Stanford Diagnostic Reading Test (Karlsen & Gardner, 1986).  Student help. For PALS and PALS-HG conditions, we assessed the nature of the help students provided with in situ obser­ vations that occurred in classrooms during regularly scheduled PALS and PALS-HG sessions.","['Page 11:\n[¬s]""Learning. To assess student learning, we used the reading comprehension subtest of the third edition of the Stanford Diagnostic Reading Test ""\n""Student help. For PALS and PALS-HG conditions, we assessed the nature of the help students provided with in situ obser\xad vations that occurred in classrooms during regularly scheduled PALS and PALS-HG sessions.[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37093523,Peer Tutoring,NA,NA,Children were tested on the mathematics portion of the SESAT standardised maths test (primary outcome). Children were also posttested on the mathematics portion of the Primary level 1 of the Stanford Achievement Test. ,"['Page 8:\n[¬s]"" Children were pre- and posttested in groups on the mathemat-[¬e]""', 'Page 9:\n[¬s]""ics portion of the SESAT (Madden, Gardner, & Collins, 1987), a standardized test of mathematics readiness. This instrument uses 40 items to assess number identifica\xad tion, number concepts, number relations, mathematical vocabulary, and adding and subtracting concepts. The SESAT is de\xad signed to span mathematical knowledge and skills expected from the beginning to the end of kindergarten.""\n""Children were also posttested in groups on the mathematics portion of the Primary 1 level of the Stanford Achievement Test (Gardner, Rudman, Karlsen, & Merwin, 1987).[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37116212,Peer Tutoring,NA,NA,NA,"['Page 7:\n[¬s]"" mathematics portion of the Primary 1 level and the Primary 2 level of the Stanford Achievement Test (Gardner, Rudman, Karlsen, & Merwin, 1987).[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
40117132,NA,NA,NA,NA,"['Page 7:\n[¬s]"" the Comprehensive Test of Basic Skills (CTBS) at Lark, the Stanford Achieve\xad ment Test (SAT) at Brady, and the 3R\'s Test at Palm Avenue[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37133906,Peer Tutoring,NA,NA,"1. California Reading Test - to ascertain reading achievement  2. Index of Adjustment Values (Bills, 1951) self-concept measure 3. Iowa Tests of Basic Skills - reading scores section used to determine the ""low achievers"" in the participating grade classes",NA,"1. Attitude Test: Eight-scale demantic differential test was developed by the investigator to measures changes in attitudes towards the school pre-test and post-test.   2. Cultural Disadvantage Test: While not explicitly stated as a researcher-developed test, it is noted that ""cultural disadvantage"" was determined using multiple student indicators, such as housing adequacy, parental education, and other related measures. (NoteL There are questions around this indicator regarding its reliability, especially considering the subjectivity of the main researcher as school principal but also the situatedness of this knowledge in local region.) ",NA,1. Teacher evaluation forms were used to measure behavioural changes in students before and after the test,NA,NA,NA,NA,NA
37093555,Peer Tutoring,NA,NA,The California Reading Test Upper Primary Forms W and Xwere used to measure the reading achievement of the third and fourth grade subjects   Bills' Elementary School Index of Adjustment and Values (ESIAV) was used to measure the self-concept  The teacher evaluation form was used to measure behavior of the subjects in the project,"['Page 4:\n[¬s]""The California Reading Test Upper Primary Forms W and Xwere used to measure the reading achievement of the third and fourth grade subjects. The test has two major sections, reading vocabulary and reading comprehension. The test yietds agrade placement score and an anticipated achievement grade placement score for each of the two major sections and the total reading profile. (9) Bills\' Elementary School Index of Adjustment and Values (ESIAV) was used to measure the self-concepts of subjects in grades three and four. The examiner reads the instructions while the subjects mark their ratings by circling the appropriate alternatives on athree-point scale. The form consists of nineteen questions related to traits describing human behavi""\n""The teacher evaluation form was used to measure behavior of the sub- jects in the project. The instrument is comprised of 15 scales arranged on abipolar conti[¬e]""']",A semantic differential was developed by the researcher and used to assess the third and fourth grade subjects' attitudes toward school   Ashort informal questionnaire was developed by the researcher to gather parent reactions to the total tutorial project,"['Page 4:\n[¬s]""Asemantic differential was developed by the researcher and used to assess the third and fourth grade subjects\' attitudes toward school. The assessment instrument contains eight bipolar scales with adjectives of opposite meanings placed at each end of the scale. The subjects react to each scale separately on a1--7 point c[¬e]""', 'Page 5:\n[¬s]""Ashort informal questionnaire was developed by the researcher to gather parent reactions to the total tutoria[¬e]""']",NA,NA,NA,NA,NA,NA
40117276,Extending school time,NA,NA,California Achievement Test (CAT): Reading and Language,NA,NA,NA,NA,NA,English Language Arts pre-test (New York State Board oF Regents) used for identifying students scoring at Level 1 and 2 who are considered at risk of failing Regents Examinations.   Post test: 8th grade NYS ELA Assessment,NA,NA,NA
37061127,Feedback,NA,NA,NA,NA,NA,"['Page 49:\n[¬s]""The criterion post test was developed following the principles of (c.R.T) (Criterion Referenced Testing!.. construction as outlined in W. J. Popham; Criterion Reference Measurement, 1978. The test was validated before it was put into use.[¬e]""']",NA,NA,NA,NA,NA,NA
