StudyID,Strand,CurriculumSubjectsTested,CurriculumSubjectsTestedComments,CurriculumSubjectsTestedCommentsHT
40117137,NA,"['Mathematics', 'Science', 'Social studies', 'Spelling', 'Reading other']",NA,NA
37671627,Teaching assistants,"['Spelling', 'Reading comprehension', 'Reading other', 'Writing', 'Decoding/phonics', 'Speaking and listening/Oral language']",NA,NA
37093568,Peer Tutoring,['Science'],This is more of an association test than a science test,"['Page 5:\n[¬s]""For this task, students were provided with a sheet that contained the names of the six animals across the top of the page. The sheet also contained the 36 target statements with a blank preceding each statement. The statements were presented in a random order, with students instructed to fill in each blank with the appropriate animal name.[¬e]""']"
37116222,Peer Tutoring,"['Mathematics', 'Spelling']",NA,"['Page 105:\n[¬s]""Mathematics[¬e]""', 'Page 105:\n[¬s]"" Spelling[¬e]""']"
40117257,Extending school time,"['Mathematics', 'Science', 'Other curriculum test']",NA,"['Page 75:\n[¬s]"" English language arts (ELA)[¬e]""']"
37091034,Feedback,['Reading other'],Reading Fluency,NA
37092606,Feedback,['Science'],NA,NA
38296632,Small Group Tuition,"['Reading comprehension', 'Decoding/phonics', 'Spelling', 'Reading other']",NA,NA
40117138,NA,"['Mathematics', 'Reading comprehension', 'Reading other']",NA,NA
40117141,Small Group Tuition,"['Mathematics', 'Reading other']",NA,NA
39253322,NA,"['Mathematics', 'Reading comprehension']",NA,NA
37092607,Feedback,['Mathematics'],NA,NA
40294919,NA,['Reading other'],NA,NA
37092586,Feedback,['Writing'],NA,NA
40294920,Feedback,['Mathematics'],NA,NA
40117142,NA,"['Mathematics', 'Reading comprehension', 'Reading other']",NA,NA
37092670,Feedback,['Speaking and listening/Oral language'],NA,"['Page 3:\n[¬s]""During the training session, children in all groups were instructed to repeat aloud the names of a different set of Peabody drawings as the E[¬e]""', 'Page 4:\n[¬s]""presented them on each of 10 trials, and to continue repeating them until the recall signal was given. Following Hagen, Hargrave, and Ross (9), prompts were given when children neglected to rehearse or rehearsed in incorrect sequence. Children in Rehearsal Only had five additional rehearsal trials. The remaining children were, instead, initially trained for five trials in a careful looking strategy. They were told to think about how each picture looked as the E pointed to the pictures on each trial, and to keep thinking about how they looked until the signal for recall was given. In order to block overt verbal rehearsal, they were also asked to stick out their tongues during presentation and delay periods. Children in the Compare Rehearsal & Look condition were initially told that we were trying the two strategies in order to see which way of remembering produced more correct recalls. This compari\xad son was made and explained with the use of the child’s own data at the end of training.[¬e]""']"
37093356,Peer Tutoring,"['Decoding/phonics', 'Reading comprehension', 'Speaking and listening/Oral language']",NA,NA
40117259,Extending school time,NA,NA,NA
40117258,Extending school time,"['Mathematics', 'Science', 'Social studies', 'Languages']",NA,"['Page 6:\n[¬s]""math, sci- ence, language arts, and history[¬e]""']"
40117206,Extending school time,"['Other curriculum test', 'Arts']","hours per week participating in arts, music or dance","['Page 87:\n[¬s]"" Hours per week doing strength-training exercises in a fitness center or home; (3) Hours per week spent exercising or playing sports;[¬e]""', 'Page 87:\n[¬s]"" Hours per week participating in arts, music, or dance[¬e]""']"
39253323,NA,"['Mathematics', 'Reading comprehension']",NA,NA
40117260,Extending school time,"['Mathematics', 'Decoding/phonics', 'Reading other', 'Speaking and listening/Oral language']",NA,"['Page 20:\n[¬s]""The mathematics assessment measured conceptual knowl- edge, procedural knowledge, and problem solving. [¬e]""', 'Page 20:\n[¬s]"" The literacy assessment included items \x93designed to measure basic skills (print familiarity, letter recognition, beginning and ending sounds, rhyming sounds, word recognition), vocabulary (receptive vocabulary), and comprehension (listening comprehension, words in context)[¬e]""']"
37671606,Teaching assistants,['Speaking and listening/Oral language'],NA,NA
40117283,NA,"['Reading other', 'Mathematics']",NA,NA
38878267,NA,"['Decoding/phonics', 'Reading comprehension', 'Reading other']",NA,NA
40117284,NA,"['Mathematics', 'Reading other']",NA,NA
39253220,Summer schools,"['Mathematics', 'Reading comprehension', 'Reading other']",NA,NA
39253291,Summer schools,"['Mathematics', 'Reading other']",NA,NA
40117261,Summer schools,"['Writing', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']",The GRADE tool - listening comprehension,"['Page 91:\n[¬s]"" The GRADE tool produces normative scores in five areas or stages of reading development, and the information obtained was used to guide instructional activities for students based on their developmental reading progress. Each stage represents different types of learning tasks that are generally sequential, yet overlap. The key in measuring reading progress is to discover what the developmentally[¬e]""']"
39253292,Summer schools,"['Speaking and listening/Oral language', 'Reading other']",Oral reading fluency,"['Page 23:\n[¬s]"" oral reading fluency[¬e]""']"
38296633,Peer Tutoring,['Reading comprehension'],NA,"['Page 16:\n[¬s]"" The primary outcome of this trial was reading ability""\n"" the two secondary outcomes: sentence completion and passage comprehension.[¬e]""']"
38296634,Peer Tutoring,['Mathematics'],NA,"['Page 5:\n[¬s]"" discuss and work through maths problems[¬e]""']"
40294923,NA,['Speaking and listening/Oral language'],NA,NA
39253327,NA,"['Decoding/phonics', 'Reading comprehension']",NA,NA
43090171,Summer schools,"['Decoding/phonics', 'Reading comprehension', 'Speaking and listening/Oral language']",1sr grade:  3. Story telling: repeat or paraphrase a story read to them 4. Story Comprehension: comprehension questions on a story read to them,"['Page 6:\n[¬s]""1. Phonological Awareness: Students know the sounds of letters (20 items).[¬e]""', 'Page 7:\n[¬s]""6 Reading Research and Instruction Summer 2003, 42 (4) 2. Letter Identification: Students can name letters, upper and lower case (52 items)[¬e]""', 'Page 7:\n[¬s]""vocabulary and comprehension.[¬e]""', 'Page 7:\n[¬s]"" Story telling: Students can repeat or paraphrase a story read to them (13 items). 4. Story Comprehension: Students can answer comprehension questions on a story read to them at different levels of difficulty (4 items).[¬e]""']"
37092587,Feedback,"['Reading other', 'Writing']",NA,NA
37092588,Feedback,"['Writing', 'Reading other']",NA,NA
37671566,NA,"['Decoding/phonics', 'Reading other', 'Speaking and listening/Oral language']",NA,NA
39253391,Summer schools,"['Mathematics', 'Reading comprehension']",only specifies 'english language arts',NA
37093622,Peer Tutoring,['Reading comprehension'],NA,NA
37093577,Peer Tutoring,['Reading comprehension'],NA,"['Page 13:\n[¬s]""Reading achievement[¬e]""']"
37116235,Peer Tutoring,"['Decoding/phonics', 'Reading comprehension', 'Speaking and listening/Oral language']",NA,NA
46325689,NA,NA,NA,NA
37116234,Peer Tutoring,"['Decoding/phonics', 'Reading comprehension', 'Speaking and listening/Oral language']",NA,NA
38878258,Small Group Tuition,"['Mathematics', 'Decoding/phonics', 'Reading comprehension', 'Reading other']",NA,NA
40294924,Small Group Tuition,"['Mathematics', 'Decoding/phonics', 'Reading comprehension', 'Reading other']",NA,NA
39253392,Summer schools,"['Mathematics', 'Reading other']",they do not say what was in the reading test,NA
40117146,Extending school time,"['Mathematics', 'Reading comprehension']",NA,"['Page 12:\n[¬s]""Cooperative Mathematics Test, Form A, and (2) algebra achievement a[¬e]""']"
38296644,Summer schools,['Reading comprehension'],NA,NA
37092684,Feedback,NA,NA,NA
37093360,Peer Tutoring,"['Reading other', 'Reading comprehension']",teacher-made comprehension test employing the words from the SORT ,NA
40117357,NA,"['Mathematics', 'Reading other']",NA,NA
37671568,Teaching assistants,"['Reading comprehension', 'Reading other']",NA,NA
39253295,Summer schools,['Reading comprehension'],NA,NA
40117358,NA,"['Decoding/phonics', 'Reading other']",reading speed and correctness,NA
39253296,Summer schools,"['Reading comprehension', 'Reading other']",NA,NA
37133945,Peer Tutoring,['Mathematics'],NA,NA
38296647,Extending school time,"['Reading comprehension', 'Mathematics']",NA,NA
37671570,Teaching assistants,"['Decoding/phonics', 'Reading comprehension', 'Reading other']",NA,NA
40294926,Feedback,['Reading other'],NA,NA
37133947,Peer Tutoring,['Science'],Biology,NA
37093581,Peer Tutoring,['Mathematics'],NA,"['Page 4:\n[¬s]""mathematics[¬e]""']"
37093579,Peer Tutoring,['Mathematics'],NA,"['Page 4:\n[¬s]""Mathematical[¬e]""']"
37092589,Feedback,"['Writing', 'Decoding/phonics', 'Spelling', 'Reading comprehension', 'Speaking and listening/Oral language']",NA,NA
37671572,Teaching assistants,"['Decoding/phonics', 'Reading comprehension']",NA,NA
37091036,Feedback,"['Reading comprehension', 'Reading other']",NA,NA
40117150,Extending school time,"['Mathematics', 'Languages', 'Reading comprehension', 'Reading other']",NA,"['Page 14:\n[¬s]""The full reading, mathematics, and language batteries were administered.[¬e]""', 'Page 14:\n[¬s]"" reading comprehension[¬e]""']"
40117264,Extending school time,NA,NA,NA
40117289,Extending school time,['Reading comprehension'],NA,NA
43090186,NA,"['Reading comprehension', 'Reading other']",Vocabulary ,NA
37061123,Feedback,['Spelling'],NA,NA
40294931,Feedback,NA,NA,NA
40294930,Peer Tutoring,"['Reading comprehension', 'Reading other']",NA,NA
40117359,NA,"['Decoding/phonics', 'Spelling']",NA,NA
40117214,Extending school time,['Mathematics'],NA,NA
37671607,Teaching assistants,['Mathematics'],NA,NA
37116214,Peer Tutoring,['Science'],Physics,"['Page 4:\n[¬s]""Achievement test in Physics prepared and validated by the investigator[¬e]""']"
37092701,Feedback,['Other curriculum test'],Psychological planning/IQ test,"['Page 1:\n[¬s]""The Porteus Maze Test ""\n""(b) aqualitative score (Q-score), which is concerned with errors of execution and style (Porteus, 1942). The Q-score mainly deals with how well the subject is able to follow certain instruct[¬e]""']"
37671575,Teaching assistants,"['Decoding/phonics', 'Reading comprehension', 'Speaking and listening/Oral language']",NA,NA
40117215,NA,['Other curriculum test'],Not specified,NA
37133954,Peer Tutoring,['Mathematics'],NA,NA
38296657,Teaching assistants,['Mathematics'],NA,"['Page 7:\n[¬s]"" performance in end-of-KS1 maths tests.[¬e]""']"
37093585,Peer Tutoring,"['Reading comprehension', 'Reading other']",NA,"['Page 3:\n[¬s]""M A T subtests of Word Knowledge and Comprehension[¬e]""', 'Page 3:\n[¬s]""M A T subtests of Word Knowledge and Comprehension[¬e]""']"
37092590,Feedback,['Writing'],NA,NA
37092703,Feedback,['Mathematics'],NA,NA
37092704,Feedback,['Mathematics'],A curriculum subject was not tested here. Conservation is more of a general skill than subject-specific. ,NA
39253393,Summer schools,"['Mathematics', 'Reading comprehension', 'Writing']",NA,NA
40294937,Peer Tutoring,"['Reading comprehension', 'Reading other']",NA,NA
40117154,Extending school time,"['Mathematics', 'Reading comprehension']",NA,NA
37133956,Peer Tutoring,['Writing'],NA,NA
37092591,Peer Tutoring,['Writing'],NA,NA
40294939,Peer Tutoring,['Writing'],NA,NA
37133957,Peer Tutoring,['Mathematics'],NA,NA
39253299,Summer schools,"['Decoding/phonics', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']",NA,"['Page 5:\n[¬s]"" For those children who were unable to read at least 14 words on the preprimer list, we ad ministered several tasks fro m the Mich\xad igan Literacy Progress Profile (M LPP), including tasks to assess phonemic awareness and concepts of print.[¬e]""', 'Page 5:\n[¬s]"" answers to the QRI comprehension question[¬e]""', 'Page 5:\n[¬s]"" level at which they could read at least 14 of the 20""\n"" narrative QRI passage to read aloud at the level of the highest word list the child had completed successfully. The child\'s reading was recorded on audiotape and later analyzed for mis\xad cues, sell-correct ions, retelling of the selection, and answers to the QRI comprehension questions[¬e]""', 'Page 5:\n[¬s]"" retelling of the selection[¬e]""']"
38296659,Teaching assistants,['Reading comprehension'],NA,NA
37061141,Feedback,['Reading comprehension'],NA,NA
37061139,Feedback,['Reading comprehension'],"I am not sure about this question as they were not testing reading comprehension (or a curriculum subject) explicitly, rather they were working under the assumption of initial understnding of the reading material and testing for retention of answers after 1 week.",NA
40294942,Feedback,['Reading comprehension'],NA,NA
37092708,Feedback,['Decoding/phonics'],NA,NA
40294947,Small Group Tuition,NA,NA,NA
37093590,Peer Tutoring,['Mathematics'],NA,NA
37092592,Feedback,['Writing'],NA,NA
38878269,Small Group Tuition,['Reading comprehension'],NA,NA
40117157,Extending school time,"['Mathematics', 'Reading comprehension', 'Reading other']",Fourth-graders: SCAT (4th grade): 50 verbal analogy items,NA
37092593,Feedback,['Writing'],Note: Assessment of writing in this study targetted LEP students - Limited English Proficiency students,NA
40117291,NA,"['Mathematics', 'Reading comprehension']",NA,NA
38878270,Small Group Tuition,['Reading comprehension'],NA,NA
38878271,Small Group Tuition,"['Spelling', 'Reading comprehension', 'Speaking and listening/Oral language']",NA,NA
37671611,Teaching assistants,"['Decoding/phonics', 'Reading other', 'Writing', 'Reading comprehension']",NA,NA
39253229,NA,NA,NA,NA
39253334,Summer schools,"['Decoding/phonics', 'Reading comprehension', 'Reading other']",NA,NA
37092715,Feedback,['Speaking and listening/Oral language'],NA,NA
40117178,NA,"['Mathematics', 'Reading comprehension']",NA,NA
39253335,NA,"['Writing', 'Mathematics', 'Science', 'Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other']",NA,NA
37092594,Feedback,['Writing'],NA,NA
37092778,Feedback,['Reading comprehension'],NA,NA
38296661,Feedback,"['Mathematics', 'Reading other']",NA,NA
39253336,Summer schools,['Mathematics'],NA,NA
40117295,Extending school time,['Mathematics'],NA,NA
40117160,Extending school time,['Mathematics'],NA,NA
37671612,Teaching assistants,['Reading other'],NA,NA
38878272,Small Group Tuition,"['Mathematics', 'Reading other']",Reading fluency,NA
37092595,Feedback,"['Writing', 'Reading comprehension']",NA,NA
40294951,NA,"['Reading other', 'Speaking and listening/Oral language']",NA,NA
40398944,Teaching assistants,"['Reading comprehension', 'Decoding/phonics']",NA,NA
37092719,Feedback,['Science'],NA,NA
38296668,Teaching assistants,"['Mathematics', 'Reading other']",NA,NA
38296667,Teaching assistants,['Reading other'],NA,NA
37133962,Peer Tutoring,['Science'],Biology,NA
39253394,NA,['Reading comprehension'],NA,NA
40117223,Extending school time,['Other curriculum test'],No currciulum subject tested - knowledge about substance abuse ,NA
40117180,Extending school time,"['Reading comprehension', 'Science', 'Social studies', 'Spelling']",NA,NA
37092597,Feedback,['Writing'],NA,NA
37092598,Feedback,['Writing'],NA,NA
43090192,NA,['Writing'],NA,NA
40294954,Peer Tutoring,['Reading comprehension'],NA,NA
40294955,Peer Tutoring,['Reading other'],NA,"['Page 3:\n[¬s]"" words correctly read[¬e]""']"
38296671,Teaching assistants,['Mathematics'],NA,"['Page 14:\n[¬s]""Pupils’ prior KS1 point scores in maths were used as the pre-test score[¬e]""']"
39253304,Summer schools,"['Writing', 'Decoding/phonics', 'Spelling', 'Reading comprehension', 'Speaking and listening/Oral language']",NA,NA
37093595,Peer Tutoring,['Mathematics'],NA,NA
38296672,Teaching assistants,"['Decoding/phonics', 'Spelling', 'Reading comprehension']",NA,NA
40117166,NA,"['Writing', 'Mathematics', 'Science', 'Social studies', 'Reading comprehension']",NA,NA
43090193,Teaching assistants,"['Reading comprehension', 'Reading other']",NA,NA
37671584,Teaching assistants,"['Decoding/phonics', 'Reading comprehension']",NA,NA
37671585,Teaching assistants,"['Speaking and listening/Oral language', 'Spelling', 'Reading other']",NA,NA
38296673,Teaching assistants,"['Reading comprehension', 'Reading other']",accuracy,NA
38296676,Summer schools,"['Writing', 'Mathematics', 'Reading comprehension']",NA,NA
38296677,Feedback,NA,NA,NA
37133964,Peer Tutoring,['Science'],NA,NA
37093596,Peer Tutoring,['Reading comprehension'],NA,NA
38878122,Small Group Tuition,"['Reading comprehension', 'Speaking and listening/Oral language']",NA,NA
37093365,Peer Tutoring,['Mathematics'],NA,"['Page 7:\n[¬s]""The California Achievement math sub-tests of Math Computation and Math Concepts/Applications was used as a measure to deter\xad mine pre- and post-test results.[¬e]""']"
40117298,NA,"['Mathematics', 'Science', 'Social studies', 'Reading comprehension']",Just states 'English',NA
37133968,Peer Tutoring,['Mathematics'],NA,NA
37092727,Feedback,['Speaking and listening/Oral language'],NA,NA
40117168,Feedback,"['Writing', 'Mathematics', 'Reading comprehension']",NA,NA
38296682,Feedback,NA,NA,NA
37116236,Peer Tutoring,"['Reading comprehension', 'Reading other']", students’ understanding of self-regulated read- ing; (b) their knowledge about reading strategies; (c) the effective use of such strategies;,NA
40117229,NA,['Other curriculum test'],'Academic records' collected but subjects not specified,NA
37093602,Peer Tutoring,['Mathematics'],NA,"['Page 2:\n[¬s]""arithmetic achievement and personal and social adjustment[¬e]""']"
37116233,Peer Tutoring,['Reading other'],NA,NA
37133971,Peer Tutoring,"['Writing', 'Reading comprehension']",NA,NA
37093603,Peer Tutoring,"['Writing', 'Spelling', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language', 'Decoding/phonics']",NA,"['Page 2:\n[¬s]"" In writ\xad ing and language arts, students used a process approach to writing, and participated in peer conferences during planning, revising, and editing stages of the process.[¬e]""', 'Page 2:\n[¬s]""The authors found significant effects in favor of the CIRC students on standardized measures of reading comprehension, reading vocabulary, language mechanics, language expression, and spelling.[¬e]""', 'Page 2:\n[¬s]""In reading, students worked with partners during follow-up times on partner reading, decoding, story structure, prediction, and story summary activities related to the basal stories. Students also received direct instruc\xad tion on comprehension and metacomprehension activities, followed by team practice.[¬e]""', 'Page 2:\n[¬s]"" Students also received direct instruc\xad tion on comprehension and metacomprehension activities, followed by team practice.[¬e]""', 'Page 5:\n[¬s]""One objective of the CIRC program was to greatly increase stu\xad dents’ opportunities to read aloud and receive feedback on their reading by having students read to teammates and training them in how to respond to one another’s reading.[¬e]""']"
38296685,Small Group Tuition,['Reading comprehension'],NA,"['Page 13:\n[¬s]""The NGRT has two subscales: sentence completion and passage comprehension, which can be combined into a composite reading score. The composite score was used as the primary outcome. The two subscales were used as secondary outcomes. These outcomes were chosen since one aim of the intervention is to improve reading ability and the NGRT is a reliable test of reading that has been standardised for the age group in question.[¬e]""']"
37671586,Teaching assistants,"['Writing', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']",NA,NA
37093606,Peer Tutoring,['Writing'],NA,"['Page 1:\n[¬s]"" quality of creative writing and attitudes to writing[¬e]""']"
37671517,Teaching assistants,"['Decoding/phonics', 'Reading other']",NA,NA
37092790,Feedback,['Science'],NA,NA
37093367,Peer Tutoring,['Mathematics'],NA,"['Page 30:\n[¬s]""Buswell-John Arithmetic Diagnostic Tea[¬e]""']"
37061134,Feedback,['Mathematics'],NA,NA
40294957,Feedback,['Mathematics'],NA,NA
37093607,Peer Tutoring,['Reading comprehension'],NA,"['Page 5:\n[¬s]""word recognitio[¬e]""']"
37133974,Peer Tutoring,"['Spelling', 'Reading comprehension']",NA,NA
45336793,NA,NA,NA,NA
45336794,NA,NA,NA,NA
40294958,Feedback,"['Mathematics', 'Science']",NA,NA
37133976,Peer Tutoring,"['Mathematics', 'Reading other']",NA,NA
37061135,Feedback,['Reading comprehension'],NA,NA
37092791,Feedback,"['Mathematics', 'Reading comprehension']",NA,NA
37092612,Feedback,['Science'],NA,NA
43090197,Peer Tutoring,['Reading comprehension'],NA,NA
43090198,NA,"['Decoding/phonics', 'Reading comprehension']",NA,NA
37133980,Peer Tutoring,['Other curriculum test'],"No curriculum subject tested. Instead, thinking skills and attitude to reading were assessed. ",NA
37133982,Peer Tutoring,['Science'],NA,"['Page 1:\n[¬s]""science[¬e]""']"
37116207,Peer Tutoring,"['Mathematics', 'Reading other']",NA,"['Page 2:\n[¬s]""tutoring method for working with mathematical problems[¬e]""', 'Page 2:\n[¬s]""mathematics vs mathematics þ reading tutoring[¬e]""']"
38296692,NA,"['Writing', 'Spelling', 'Reading comprehension']",NA,NA
38296693,Small Group Tuition,"['Writing', 'Spelling', 'Reading comprehension']",NA,NA
38296689,Small Group Tuition,"['Mathematics', 'Reading comprehension']",NA,NA
38878260,Small Group Tuition,"['Decoding/phonics', 'Reading comprehension', 'Reading other']",NA,NA
38878273,Small Group Tuition,"['Spelling', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']",NA,NA
40398947,Small Group Tuition,['Writing'],NA,NA
37093368,Peer Tutoring,['Spelling']," A Functional Basic Word List for Special Pupils (Tudyman and Groelle, 1963) List I (30 randomly selected words) List II (30 randomly selected words, only for the older group)","['Page 54:\n[¬s]"" A Functional Basic Word List for Special Pupils (Tudyman and Groelle, 1963)[¬e]""', 'Page 56:\n[¬s]""Table A (see appendix) shows the 30 randomly selected « words from various levels (5) of the first list (Elemen\xad tary) used as a pre- and posttest for the younger EMR sub\xad jects. Thirty words, Table B (see appendix), were randomly selected from the second list (intermediate) for pre- and posttesting the older subjects.[¬e]""']"
40117231,NA,"['Mathematics', 'Other curriculum test', 'Reading comprehension']",NA,NA
37092613,Feedback,['Mathematics'],NA,NA
39253235,NA,"['Writing', 'Mathematics', 'Decoding/phonics', 'Spelling', 'Languages', 'Reading comprehension', 'Speaking and listening/Oral language']",NA,NA
37133983,Peer Tutoring,['Science'],A LEVEL CHEMISTRY,"['Page 1:\n[¬s]"" The topic chosen was ""mechanisms in organic chemistry."" [¬e]""', 'Page 1:\n[¬s]""A LEVEL CHEMISTRY STUDENTS[¬e]""']"
37116208,Peer Tutoring,"['Mathematics', 'Science', 'Reading comprehension']",NA,NA
40117363,NA,['Other curriculum test'],Report doesn't specify but refers to many subjects,NA
39253306,Summer schools,"['Reading comprehension', 'Reading other']",NA,NA
40117360,NA,"['Decoding/phonics', 'Writing', 'Spelling', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']",NA,NA
37671592,Teaching assistants,"['Decoding/phonics', 'Reading comprehension']",NA,NA
37671636,Teaching assistants,"['Decoding/phonics', 'Spelling', 'Reading other']",NA,NA
37671638,NA,"['Reading comprehension', 'Reading other']","Passage-reading fluency (PRF) oral text reading (OTR) time, pretest rapid automatized naming (RAN) (Wolf & Denckla, 2005), pretest word reading accuracy (Word Identification subtest, Woodcock Reading Mastery Test, Revised/Normative Update, Form H (Woodcock, 1987/1998). ","['Page 3:\n[¬s]""passage-reading fluency (PRF), on students\x92 word reading, fluency, and compre- hension gain""\n""oral text reading (OTR) time, pretest rapid automatized naming (RAN), and pretest word reading accuracy?[¬e]""']"
40294961,Small Group Tuition,"['Decoding/phonics', 'Reading comprehension', 'Reading other']",NA,NA
37671637,Teaching assistants,"['Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other']",NA,NA
43090199,NA,"['Reading comprehension', 'Reading other']",NA,NA
37671588,Teaching assistants,"['Decoding/phonics', 'Reading comprehension', 'Reading other']","word-level skills, reading fluency,",NA
37671589,NA,"['Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other']","Word reading was measured at pretest and posttest with the mean standard score of the Word Attack and Word Identification subtests from the Woodcock Reading Mastery TestRevised/Normative Update (WRMTR/NU; Woodcock, 1998)  Passage reading fluency was assessed at posttest only using the mean words correctly read in 1 min on two grade-level story passages. Both stories are from the Primary Phonics series (Makar, 1996) ",NA
37671614,Teaching assistants,"['Languages', 'Decoding/phonics', 'Reading comprehension', 'Reading other']","Peabody Picture Vocabulary Test IIIA (Dunn, & Dunn, 2006) Word Attack and Word Identification subtests from the WRMT-R/NU (Woodcock, 1987/ 1998)",NA
37133984,Peer Tutoring,"['Reading comprehension', 'Reading other']",Reading ability,NA
37116237,Peer Tutoring,"['Reading comprehension', 'Reading other']",1.) Reading strategy awareness  2.) Cognitive and metacognitive reading strategy,NA
37093609,Peer Tutoring,['Spelling'],NA,NA
40294962,Feedback,['Spelling'],NA,NA
40117232,Extending school time,"['Writing', 'Mathematics', 'Science', 'Social studies', 'Reading comprehension', 'Speaking and listening/Oral language']",NA,NA
37092614,Feedback,['Science'],NA,NA
37092599,NA,['Spelling'],NA,NA
37092600,Feedback,['Writing'],NA,NA
40117182,NA,NA,NA,NA
43090202,NA,"['Decoding/phonics', 'Reading comprehension', 'Reading other']",NA,NA
39253308,Summer schools,['Reading comprehension'],NA,NA
39253238,NA,"['Writing', 'Reading other']",NA,NA
37671616,Teaching assistants,"['Mathematics', 'Reading other']",NA,NA
37092796,Feedback,NA,NA,NA
37133987,Peer Tutoring,['Mathematics'],mathematics achievement and academic efficacy,"['Page 45:\n[¬s]""Because this study examines mathematics achievement, the operational definition o f at-risk for this study focused on the mathematics portion o f the criterion. T[¬e]""']"
37093610,NA,['Spelling'],NA,NA
38296697,Feedback,"['Mathematics', 'Reading other']",NA,NA
37092615,Feedback,"['Mathematics', 'Science']",NA,NA
39253240,Summer schools,"['Reading comprehension', 'Reading other']",NA,NA
39253241,Summer schools,"['Mathematics', 'Science', 'Reading comprehension', 'Reading other']","Sequential Tests of Educational Progress (STEP) in Language Arts / Reading Test measures the ability to reproduce ideas, ability to translate ideas and make inferences, ability to analyze motivation, presentation and ability to criticize.",NA
37092601,Feedback,['Writing'],NA,NA
37092602,Feedback,['Writing'],NA,NA
40294963,Feedback,['Writing'],NA,NA
39253243,NA,NA,NA,NA
40117171,Feedback,"['Reading comprehension', 'Writing', 'Mathematics']",NA,NA
37671591,Teaching assistants,"['Mathematics', 'Science', 'Social studies', 'Spelling', 'Reading comprehension', 'Speaking and listening/Oral language']",NA,NA
37092800,Feedback,['Reading comprehension'],NA,NA
37116218,Peer Tutoring,['Mathematics'],NA,NA
37133992,Peer Tutoring,['Writing'],Quality of writing Attitudes to writing both during collaborative writing and in subsequent individual writing,NA
37092616,Feedback,['Science'],NA,NA
37092603,Feedback,['Writing'],NA,NA
39253343,NA,NA,NA,NA
40117237,NA,"['Mathematics', 'Reading comprehension']",NA,NA
40117361,NA,"['Mathematics', 'Reading comprehension']",NA,NA
37092801,Feedback,NA,NA,NA
39253395,Summer schools,['Reading other'],NA,NA
39253396,Summer schools,"['Writing', 'Decoding/phonics', 'Spelling', 'Reading comprehension', 'Speaking and listening/Oral language']",NA,NA
