id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,pt_tut_desc,pt_tut_desc_same_age,pt_tut_desc_cross_age,pt_same_age_attainment,pt_cross_age_attainment,pt_tut_from,pt_tut_role,pt_tutee_attain_level,pt_digit_tech,pt_incentive
74069982,Müller (2016),2016,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3138,0.2441,['Post-test unadjusted (select one from this group)'],ELFE tutees posttest reading strategy v control,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3138,0.2441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,14,14,['Primary/elementary school'],"['9', '10']",FALSE,28.57,['Germany'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants', 'Peers']",12,2,45,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,['From the same school'],['No'],['Low attaining'],['No'],['No']
74069984,Ohadugha (2020),2020,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Other outcome']",2.94,0.3225,['Post-test adjusted for baseline attainment'],BCSAT,With business as usual,['Sample: All'],Curriculum  other,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,['Secondary/High school'],"['15', '16', '17', '18']",NA,NA,['Niger'],['Individual RCT'],['Paired learning'],['No'],['Yes'],['No'],['During regular school hours '],['Peers'],4,Not stated,Not stated ,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['not matched on attainment'],NA,['From the same school'],['Yes'],['Not mentioned'],['Yes'],['No']
74069985,Oloyede (2019),2019,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Science primary outcome']",1.24,0.25,['Post-test adjusted for baseline attainment'],CAT (PT vs TE),With business as usual,['Sample: All'],Science,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",1.24,0.25,NA,NA,NA,75,3,NA,['Secondary/High school'],"['16', '17', '18']",NA,NA,['Nigeria'],['Retrospective QED  '],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['Unclear/ not specified'],['Peers'],8,Not stated,Not stated,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,['From the same school'],['No'],['Mixed'],['No'],['No']
74069986,Olulowo (2020),2020,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",3.6184,0.2828,['Post-test adjusted for baseline attainment'],FAAT,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",3.6184,0.2828,NA,NA,NA,NA,NA,NA,NA,8,NA,['Secondary/High school'],"['16', '17', '18']",NA,NA,['Nigeria'],['Retrospective QED  '],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",5,1,80,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['not matched on attainment'],NA,['From the same school'],['No'],['Not mentioned'],['No'],['No']
74069987,Onabanjo (2006),2006,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",2.4425,0.1579,['Post-test adjusted for baseline attainment'],MAT,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",2.4425,0.1579,NA,NA,NA,NA,NA,NA,199,6,NA,['Secondary/High school'],"['17', '18']",NA,NA,['Nigeria'],['Retrospective QED  '],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",NA,Not provided,Not provided,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['not matched on attainment'],NA,['From the same school'],['No'],['Not mentioned'],['No'],['No']
74069988,Pastore (2008),2008,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2733,0.7136,['Post-test unadjusted (select one from this group)'],Reading comprehension achievement,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2733,0.7136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1,3,['Middle school'],"['11', '12']",NA,NA,['USA'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],unclear,Unclear - I have highlighted the reference to frequency but it does not state further how the researcher allocated the 4 x 1 hour slots that she had available each week.,1,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,['From the same school'],['No'],['Mixed'],['No'],['No']
74070002,Takala (2006),2006,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3236,0.1624,['Post-test unadjusted (select one from this group)'],Standardised reading comp hierachy posttest table 5,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3236,0.1624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,NA,NA,['Primary/elementary school'],"['10', '12']",NA,NA,['Finland'],['Cluster RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)', 'Paired learning', 'Other (Explain in notes)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers']",5,2,45,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)', 'Cross-age (i.e. different school year from tutees)']","['Same-age as tutees (if yes, select one from drop down)']",['Cross-age (i.e. different school year from tutees)'],['not matched on attainment'],['Not matched on attainment'],['From the same school'],['Yes'],['Average'],['No'],['No']
74070008,Ullah (2018),2018,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Science primary outcome']",1.3015,0.3514,['Post-test unadjusted (select one from this group)'],T&T_Peer tutoring v control table 4,With business as usual,['Sample: Low achievers'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",1.3015,0.3514,NA,NA,NA,40,1,2,['Secondary/High school'],"['15', '16']",NA,NA,['Pakistan'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['Unclear/ not specified'],"['Research staff', 'Peers']",7 ,5,not specified,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,['From the same school'],['No'],['Low attaining'],['No'],['No']
74070009,Ullah (2020),2020,['Journal article'],['Peer tutoring'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,['Secondary/High school'],"['15', '16']",NA,NA,['Pakistan'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['Unclear/ not specified'],['Peers'],7,5,not specified,NA,"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,['From the same school'],['No'],['Low attaining'],['No'],['No']
74578044,Van Keer (2004) 1_2,2004,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.36,0.17,['Post-test adjusted for baseline attainment AND clustering'],Reading Comp Posttest multi level model STRAT and CA table 3,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.36,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454,19,NA,NA,"['9', '10', '11', '12']",NA,NA,['Belgium'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['Unclear/ not specified'],"['Class teachers', 'Peers']",38,1.5,37.5,['Toolkit: Peer Tutoring'],['Cross-age (i.e. different school year from tutees)'],NA,['Cross-age (i.e. different school year from tutees)'],NA,['Matched to same relative level of attainment'],['From the same school'],['No'],['Mixed'],['No'],['No']
74070010,Van Keer (2005) 1_1,2005,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.14,0.11,['Post-test adjusted for baseline attainment AND clustering'],REC_REading Comp Grade 2 STRAT SA same age table 5 model 3,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.14,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,['Primary/elementary school'],"['7', '8']",NA,NA,['Belgium'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",38,1,37.5,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,NA,['Yes'],['Mixed'],['No'],['No']
74070011,Van Keer (2005) 1_2,2005,NA,['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.22,0.11,['Post-test adjusted for baseline attainment AND clustering'],REC_reading comp strat ca cross age grade 2 table 5 model 3,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.22,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,9,['Primary/elementary school'],"['7', '8']",NA,NA,['Belgium'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['Unclear/ not specified'],"['Class teachers', 'Peers']",38,1,50,['Toolkit: Peer Tutoring'],['Cross-age (i.e. different school year from tutees)'],NA,['Cross-age (i.e. different school year from tutees)'],NA,['Matched to same relative level of attainment'],NA,['No'],['Mixed'],['No'],['No']
