id,pub_author,pub_year,abstract,smd_tool,se_tool
37671515,Guerrero (2015),2015,"English language learners, one of the fastest growing groups of students in public schools, continue to score lower in reading achievement when compared to non-English language learners. Struggling readers who do not receive early intervention are at-risk for reading failure and often continue to struggle with reading and academics. This small-n, quasi-experimental, longitudinal study (n=20) explored the differences in English reading between two closely matched groups of elementary Spanish-speaking ELLS, identified as struggling English readers, representing both structured English immersion and transitional bilingual programs. Treatment students received two years of supplemental English direct reading instruction provided by highly-trained bilingual paraprofessionals during Grades 2 and 3. Control students received standard district-based ESL instruction. This study derived from a randomized, longitudinal, federally funded research project (Project ELLA, #R305P030032) targeting native Spanish-speaking ELLs from low-SES backgrounds in a large urban school district in Southeast Texas. Scores for English oral reading fluency and broad reading ability were used to compare growth over time and to compare students across conditions using descriptive statistics and repeated measures mixed analysis of variance (ANOVA). Students demonstrated statistically significant gains over time in both English oral reading and English road reading ability. However, there were no significant differences in oral reading fluency or broad reading ability between conditions at the end of Grade 3. Additional exploratory analyses further examined bilingual program within the treatment group. Treatment students demonstrated similar growth in English oral reading fluency, across both bilingual programs. In English broad reading ability, transitional bilingual treatment students outperformed structured English immersion treatment students. The findings of this study expand the work of previous researchers in the area of supplemental direct English reading instruction of Grade 1 Spanish-speaking ELLs. The study adds to research that has not yet reported longitudinal L2 oral reading fluency and L2 broad reading findings for ELLs in Grades 2 and 3 who are struggling to learn to read in English. This study also contributes to limited studies investigating the effectiveness of bilingual paraprofessionals as tutors. The electronic version of this dissertation is accessible from http //hdl.handle.net/1969.1/155659 English language learners, one of the fastest growing groups of students in public schools, continue to score lower in reading achievement when compared to non-English language learners. Struggling readers who do not receive early intervention are at-risk for reading failure and often continue to struggle with reading and academics. This small-n, quasi-experimental, longitudinal study (n=20) explored the differences in English reading between two closely matched groups of elementary Spanish-speaking ELLS, identified as struggling English readers, representing both structured English immersion and transitional bilingual programs. Treatment students received two years of supplemental English direct reading instruction provided by highly-trained bilingual paraprofessionals during Grades 2 and 3. Control students received standard district-based ESL instruction. This study derived from a randomized, longitudinal, federally funded research project (Project ELLA, #R305P030032) targeting native Spanish-speaking ELLs from low-SES backgrounds in a large urban school district in Southeast Texas. Scores for English oral reading fluency and broad reading ability were used to compare growth over time and to compare students across conditions using descriptive statistics and repeated measures mixed analysis of variance (ANOVA). Students demonstrated statistically significant gains over time in both English oral reading and English road reading ability. However, there were no significant differences in oral reading fluency or broad reading ability between conditions at the end of Grade 3. Additional exploratory analyses further examined bilingual program within the treatment group. Treatment students demonstrated similar growth in English oral reading fluency, across both bilingual programs. In English broad reading ability, transitional bilingual treatment students outperformed structured English immersion treatment students. The findings of this study expand the work of previous researchers in the area of supplemental direct English reading instruction of Grade 1 Spanish-speaking ELLs. The study adds to research that has not yet reported longitudinal L2 oral reading fluency and L2 broad reading findings for ELLs in Grades 2 and 3 who are struggling to learn to read in English. This study also contributes to limited studies investigating the effectiveness of bilingual paraprofessionals as tutors. The electronic version of this dissertation is accessible from http //hdl.handle.net/1969.1/155659",0.6,0.5
37671559,Gwernan-Jones (2018),2018,"This paper describes the mixed methodology evaluation of the Own-Voice Intensive Phonics (OVIP) programme with 33 secondary students with persistent literacy difficulties. The evaluation involved a quasi-experimental evaluation in which 33 students in years 7-9 in four schools used OVIP over an 8 week period and were monitored at three times for their word reading, phonic decoding and phonological skills. Students, teaching assistants and teachers involved were also interviewed about the use of OVIP, the perceived processes and outcomes. Assessment results showed that OVIP was associated with greater gains in word reading than these students' usual teaching/intervention approaches. Those interviewed also experienced benefits associated with using OVIP. It was further found that word reading gains were not related to a measure of being at risk of significant literacy difficulties. Participants identified the use of their own voice, the student's agency and working at their own pace as key factors relevant to how OVIP worked. These factors aligned with a working OVIP programme theory. The findings are discussed in terms of further development and research related to an own voice approach to addressing persistent literacy difficulties. ",0.6437,0.4221
37671520,Haley (2017),2017,"Background While practitioners are increasingly asked to be mindful of the evidence base of intervention programmes, evidence from rigorous trials for the effectiveness of interventions that promote oral language abilities in the early years is sparse. Aims To evaluate the effectiveness of a language intervention programme for children identified as having poor oral language skills in preschool classes. Methods & Procedures A randomized controlled trial was carried out in 13 UK nursery schools. In each nursery, eight children ( N = 104, mean age = 3 years 11 months) with the poorest performance on standardized language measures were selected to take part. All but one child were randomly allocated to either an intervention ( N = 52) or a waiting control group ( N = 51). The intervention group received a 15-week oral language programme in addition to their standard nursery curriculum. The programme was delivered by trained teaching assistants and aimed to foster vocabulary knowledge, narrative and listening skills. Outcomes & Results Initial results revealed significant differences between the intervention and control group on measures of taught vocabulary. No group differences were found on any standardized language measure  however, there were gains of moderate effect size in listening comprehension. Conclusions & Implications The study suggests that an intervention, of moderate duration and intensity, for small groups of preschool children successfully builds vocabulary knowledge, but does not generalize to non-taught areas of language. The findings strike a note of caution about implementing language interventions of moderate duration in preschool settings. The findings also highlight the importance of including a control group in intervention studies. ",0.46,0.5
37671562,Hatcher (2006),2006,"Background  This study evaluated the effectiveness of an intervention for reading-delayed children in Year-1 classes. Methods  A sample (N = 77) of children drawn from 14 schools representing those with the weakest reading skills were randomly allocated to one of two groups. A 20-week intervention group received the intervention for two consecutive 10-week periods, while a 10-week intervention group only received the intervention for the second 10 weeks of the study. The programme was delivered in daily 20-minute sessions that alternated between small group (N = 3) and individual teaching. The programme combined phoneme awareness training, word and text reading, and phonological linkage exercises. Results  The children receiving the intervention during the first 10-week period made significantly more progress on measures of letter knowledge, single word reading, and phoneme awareness than children not receiving the intervention. However, the children who only received the intervention during the second 10-week period made rapid progress and appeared to catch up with the children who had been given the more prolonged intervention. Failure to respond to the intervention was predicted by poor initial literacy skills and being in receipt of free school meals. Conclusion  A reading intervention programme delivered on a daily basis by trained teaching assistants is an effective intervention for children who show reading delays at the end of their first year in school. However, around one-quarter of the children did not respond to this intervention and these children would appear to need more intensive or more prolonged help to improve their reading skills. ",0.1236,0.2282
40398941,Hodgen (2019),2019,"The Catch Up® Numeracy programme trains teaching assistants (TAs) to provide numeracy support to pupils in Years 3, 4, and 5 (ages 7–10). It aims to improve the numeracy of low attaining pupils. The support consists of two 15-minute one-to-one sessions led by TAs each week over a school year. In this trial, pupils were selected by schools based on maths attainment and the professional judgement of teachers. If participating pupils were judged to have reached an age-appropriate level of numeracy on the basis of termly assessment, they were ‘rolled-off’ the programme and no longer received support. Each school was asked to appoint a member of staff as the Catch Up® Numeracy Coordinator to coordinate the intervention and to support the TAs. Prior to the start of the intervention, TAs received three half-days of training and Catch Up® Numeracy Coordinators received one half-day of training. Catch Up® Numeracy was developed by the Catch Up® charity, part of the Caxton Trust, together with Dr Ann Dowker of Oxford University. This was a randomised controlled trial involving 150 schools. Schools were randomly allocated to either deliver Catch Up® Numeracy or be in an ‘active control’ comparison group delivering a broadly time-equivalent amount of TA-led numeracy support sessions informed by the EEF’s ‘Making best use of teaching assistants’ guidance report. The implementation and process evaluation involved  surveys of TAs, school coordinators, and senior leaders  analysis of delivery data  and case studies of intervention and comparison schools. The intervention began in September 2016 and finished in July 2017. Impact was measured using the Progress Test in Maths by GL Assessment.",0.1278,0.0475
37671521,Holmes (2013),2013,"Many children who would not be identified as having special educational needs are low-attaining in mathematics, which often has a severe impact on their progress at school and their successes in later life. This paper describes Catch Up Numeracy, a non-intensive targeted intervention for children who are low-attaining in mathematics, which is delivered by classroom assistants in only thirty minutes per week. Data for 440 children, including controls, show that children receiving Catch Up Numeracy intervention attained average gains more than twice that expected of typically attaining children, and more than twice that attained by children receiving non-targeted mathematics support. The evidence suggests that Catch Up Numeracy is effective for children who are low-attaining in mathematics. More generally, it supports the view that many children's arithmetical difficulties are highly susceptible to intervention, and that the intervention does not need to be intensive or delivered by highly-trained teachers to be effective. ",0.4,0.12
37671626,Hund-Reid (2008),2008,"This study investigated the effectiveness of a phonological awareness intervention in improving the phonological awareness skills of kindergarten children with moderate to severe language impairment. The study was conducted in 10 full-day kindergarten classrooms in 9 schools in an urban school district in western Canada. All children (N = 30) were not yet reading words and demonstrated deficits in phonological and letter-sound awareness. Children were randomly assigned into 2 groups  (a) a phonological awareness intervention group or (b) a no-intervention control group. Educational assistants were trained to provide phonological and letter-sound awareness intervention in 20-minute lessons, five times per week in groups of 2 children, for 14 weeks. Additionally, all students received classroom phonological awareness programming. Lessons were scripted and contained examples, practice, and review. Children were assessed at pre-intervention on three phonological awareness and three alphabetic measures. Probes were administered at three points during the intervention and at two post-intervention maintenance points. Results indicated statistically significant group performance for children in the intervention group on measures of initial sound fluency, phonemic segmentation, and nonsense word fluency skills using measures designed to show change in these skills over time. There were no statistically significant differences between the groups on the norm-referenced, standardized measures of phonological awareness and print knowledge and on letter naming fluency at the end of the intervention. The data provide evidence to support the clinical practice of the provision of small group, direct, explicit, and intense phonological and letter-sound awareness intervention supplementary to whole class phonological awareness programming for kindergarten children with moderate to severe language impairment. ",0.5901,0.4198
37671605,Hund-Reid (2013),2013,"Purpose  This study investigated the effectiveness of phonological awareness (PA) intervention in improving the PA skills of kindergarten children with moderate to severe language impairment. Method  Thirty-seven kindergarten children aged between 4 9 and 6 3 (years months) who demonstrated moderate to severe receptive or expressive or total language skills and low PA skills were randomly assigned to either an experimental group (n = 22) and received PA and letter-sound awareness intervention or a no intervention control group (n = 15). The intervention was implemented by educational assistants in groups of two children for 14 weeks, 20 minutes per day, 5 days per week, for a total 67 days. Participants received an average of 18.45 hours of intervention (SD 4.64, range 12.75-21.5 hours) that focused on initial sound identification, phonemic segmentation and blending, and letter-sound awareness. Results  Participants in the experimental group made significantly greater gains than those in the control group on measures of initial sound fluency, phonemic segmentation fluency, and nonsense word fluency. Results were maintained for at least one month after intervention. Conclusion  Kindergarten children with moderate to severe language impairment who receive direct, explicit, intensive, small group PA intervention demonstrate significantly better PA skills than children with moderate to severe language impairment who do not receive this intervention. ",1.2,0.41
37671565,Jason (1994),1994,"Two cohorts of children from inner-city elementary schools were provided a paraprofessional tutoring intervention to ease their transition to new schools. Participants had low-income status, lags in achievement tests, and stressful life events. Academic and sociometric follow-up data showed some academic improvements over the next three years but no significant changes on sociometric indices. (AC) Two cohorts of children from inner-city elementary schools were provided a paraprofessional tutoring intervention to ease their transition to new schools. Participants had low-income status, lags in achievement tests, and stressful life events. Academic and sociometric follow-up data showed some academic improvements over the next three years but no significant changes on sociometric indices. ",0.5906,0.1985
37671627,Jones (2016),2016,"Reading failure in elementary school is highly correlated with future academic and social problems. Schools commonly use Tier 2 reading interventions in Response to Intervention (RtI) frameworks to help close the gap between at-risk readers and their peers who read on grade-level. This dissertation presents the findings of a quasi-experimental research study of the effects of three Tier 2 reading interventions in an urban Title I elementary school’s RtI framework. A regression discontinuity design (RDD) with two cutoff points was used to assign 320 students in grades 1-6 to two types of Tier 2 reading interventions administered by paraeducators  direct instruction (DI) and computer-assisted instruction (CAI). Students were assigned using normal curve equivalent reading composite scores on the Kaufman Test of Educational Achievement II, Brief Form (KTEA-II BFR). Students scoring below a lower cutoff were assigned to a DI reading intervention, while students scoring at or below an upper cutoff and above the lower cutoff were assigned to CAI reading interventions. January and May posttest iterations of the KTEA-II BFR served as outcome measures for all students. Results of the analysis indicated that the DI intervention was more effective than the CAI interventions at the lower cutoff ( p < .01). Participation in CAI interventions was not any more or less effective than business-as-usual reading activities (p > .10). These findings suggest that CAI programs may not be as helpful in closing the achievement gap between struggling students and their peers as DI interventions, and should be implemented with deliberation. ",0.3045,0.1433
43100933,Lapsely (2002),2002,"This large-scale evaluation of Indiana's Prime Time, a funding mechanism designed to reduce class size or pupil-teacher ratio (PTR) in grades K-3 examined the academic performance of nearly 11,000 randomly selected third graders on the state mandated standardized achievement test as a function of class size, PTR, and presence of an instructional aid. Data analysis using hierarchical linear modeling (HLM) indicated that student achievement was strongly influenced by socioeconomic status (SES) and race. Larger class size related to better composite and mathematics achievement, particularly in higher SES schools. Similarly, the presence of an instructional assistant predicted better achievement in reading, language, and the composite score only in higher SES schools. Analysis of race and class size showed that black students had better achievement in smaller classes, while white students did better in larger classes. HLM analyses of the student-teacher ratio showed pervasive SES and race effects. Better language, mathematics, and composite achievement was associated with classrooms that had Prime Time Assistants in higher SES schools. Better mathematics, reading, and composite achievement related to classrooms with higher PTR. (Contains 16 tables and 16 references.) (SM)",-0.2584,0.0578
37671606,Lee (2016),2016,"Extensive evidence exists that many children who experience early socio-economic disadvantage have delayed language development. These delays have been shown to exist when children start school and appear to persist through their education. Interventions that can help these children are desirable to ease the difficulties they have in school and to address the loss in human capital which these children represent. We evaluated an intervention (Talk Boost) to treat children’s receptive and expressive language in the early school years. A between-schools design was used. Eighteen schools in socially deprived areas were randomly assigned to receive the intervention or to act as waiting controls. Children in reception classes and in Years 1 and 2 attended language groups. The evaluation used the standard procedure for the intervention. Teachers were given guidance on selecting appropriate children, and the intervention was carried out by teaching assistants  180 children participated. Those with English as their first language and those learning it as an additional language increased their scores significantly more than did controls. Most of the children selected had significant delays, which did not diminish as they advanced in school. Despite their improvement the treated children remained behind the expected level for their age after the intervention. These findings add to previous evidence that intervention can help children who start school with delayed language. There appears to be insufficient awareness of the communication needs of these children and of their likely inability to access other areas of the curriculum as a result. (PsycINFO Database Record (c) 2016 APA, all rights reserved) Extensive evidence exists that many children who experience early socio-economic disadvantage have delayed language development. These delays have been shown to exist when children start school and appear to persist through their education. Interventions that can help these children are desirable to ease the difficulties they have in school and to address the loss in human capital which these children represent. We evaluated an intervention (Talk Boost) to treat children’s receptive and expressive language in the early school years. A between-schools design was used. Eighteen schools in socially deprived areas were randomly assigned to receive the intervention or to act as waiting controls. Children in reception classes and in Years 1 and 2 attended language groups. The evaluation used the standard procedure for the intervention. Teachers were given guidance on selecting appropriate children, and the intervention was carried out by teaching assistants  180 children participated. Those with English as their first language and those learning it as an additional language increased their scores significantly more than did controls. Most of the children selected had significant delays, which did not diminish as they advanced in school. Despite their improvement the treated children remained behind the expected level for their age after the intervention. These findings add to previous evidence that intervention can help children who start school with delayed language. There appears to be insufficient awareness of the communication needs of these children and of their likely inability to access other areas of the curriculum as a result. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",0.2445,0.1878
37671566,MacLeod (2007),2007,"This article takes up the proposal, originally postulated by George Miller in the US (Miller, 1969) and later taken up by Harry Kay in the UK (Kay, 1972), that psychologists should work through non-psychologists to help alleviate social problems. Specifically it evaluates a reading intervention programme devised by educational psychologists and delivered by teaching assistants specially trained by a psychologist. The article assesses the extent to which a psychologist, working through school personnel, added value to the education process within participating schools, the nature of that value and the challenges that had to be overcome. Results showed significant group level improvements in word recognition abilities amongst readers with delayed reading, although the extent of these improvements varied according to school and age with older pupils benefiting more than younger ones. Girls gained more than boys, but this difference was not statistically significant. It was also demonstrated that the programme could be delivered to schools on a low budget including the training of school personnel and taught effectively by non-professional teachers with minimum disruption. It was concluded that the service-delivery approach taken was in keeping with the new expectations of professional educational psychologists and as such provides a useful model for others operating in a changing service context. ",1.6016,0.2728
37671568,McNally (2016) 1_1,2016,"Abracadabra (ABRA) is a 20-week online literacy program composed of phonic fluency and comprehension activities based around a series of age-appropriate texts. Four 15-minute sessions per week are delivered by a teaching assistant (TA) to groups of three to five pupils. This report summarizes the findings of a randomized controlled trial assessing the impact of ABRA on literacy outcomes for Year 1 pupils. The trial also assesses the impact of an offline, paper and pencil version of the same intervention (referred to here at ""the non-Information and Communication Technologies (ICT) intervention""). There were 51 participating schools and 2,241 pupils at randomization, and a total of 48 schools and 1,884 pupils were included in the final analysis (84% of the initial pupils at randomization). The trial took place between October 2014 and May 2015. Fifty-one schools were randomly assigned to either receive some version of the intervention or to act as a ""control"" school delivering business as usual. In the schools receiving the intervention, pupils were randomized to receive one of the following options  (1) ABRA, (2) the non-ICT intervention, and (3) standard literacy provision. The process evaluation involved observing sessions to understand a variety of factors in the intervention. These included an evaluation of which elements contributed to successful implementation, the perceptions and experiences of TAs and project leads, levels of pupil engagement, and the mechanisms behind the estimated impacts. This was an efficacy study, due to the involvement of the developer in the delivery of the program. Key conclusions of this report are  (1) The children who received ABRA, or its offline alternative were found to make two and three months' progress in literacy respectively compared to the children who received standard provision. This positive result would be unlikely to occur by chance  (2) For both ABRA and the offline alternative, the impact for children eligible for free school meals and children with below average pre-test outcomes was larger than for all pupils  (3) Successful implementation contributed to a well-designed and delivered training program which emphasized fidelity and consistency, enforced by ongoing support from the project team  (4) The process evaluation found that both the ICT and non-ICT interventions may be best delivered in groups of similar rather than mixed ability. The process evaluation also suggested minor changes to the intervention to make it more culturally relevant to British pupils, and to remove some repetition in the non-ICT program  and (5) Future research will examine whether ABRA or the non-ICT intervention can be successfully delivered at scale, and will look at longer-term impacts through assessing Key Stage 1 data from this trial. ",0.231,0.001
37671570,Merrell (2015),2015,"Butterfly Phonics aims to improve the reading of struggling pupils through phonics instruction and a formal teaching style where pupils sit at desks in rows facing the teacher. It is based on a course book created by Irina Tyk, and was delivered in this evaluation by Real Action, a charity based in London. Real Action staff recruited and trained practitioners to deliver the intervention. These practitioners worked with trained teaching assistants to teach classes of six to eight pupils, although some groups were larger. Pupils were eligible for participation in the trial if they did not reach level 4 in their Key Stage 2 SATs or their reading skills were at least a year behind their chronological age. The evaluation was set up as a randomised controlled trial, which compared the progress of pupils who received Butterfly Phonics to a ""business-as-usual"" control group. Key conclusions include  (1) This evaluation provided evidence of promise  there was a positive, statistically significant effect on the primary outcome measure of reading comprehension. However, this effect size was lower than the minimum detectable effect size of the trial, so we cannot confidently conclude that the effect was due to the intervention and did not occur by chance  (2) The secondary outcome measures indicated positive impacts on children's literacy skills, but these were not statistically significant  (3) This intervention is recommended to take place during the school day, when it is easier to secure sustained co-operation and support from school staff. Where that support was present, the intervention was able to progress more satisfactorily than in schools where it was lacking  (4) Schools should ensure that people delivering the intervention receive training in the Butterfly method so that it is implemented as intended  and (5) Further research could investigate the intervention's impact on early readers. Its emphasis on larger word units and comprehension skills might enable a more rapid progression in early reading than a pure phonics course. [The project was independently evaluated by a team from the Centre for Evaluation and Monitoring (CEM) and the Wolfson Institute for Health and Wellbeing at Durham University.] ",0.43,0.21
37671572,Miller (2003),2003,"Evaluated the feasibility of using classroom assistants to tutor 1st-grade struggling readers in a school with limited financial and personal resources. Comparison of intervention students, students in traditional tutoring, and control students indicated that, although equivalent at the year's start, both intervention groups outperformed the control group at the end of the year, and students with classroom assistants outperformed the other two groups on reading comprehension. (SM) Evaluated the feasibility of using classroom assistants to tutor 1st-grade struggling readers in a school with limited financial and personal resources. Comparison of intervention students, students in traditional tutoring, and control students indicated that, although equivalent at the year's start, both intervention groups outperformed the control group at the end of the year, and students with classroom assistants outperformed the other two groups on reading comprehension. (SM)",0.4114,0.2043
37671607,Muijs (2003),2003,"The use of learning support assistants in schools has become increasingly common in England, partly as a result of government support for this strategy. One suggested advantage of the deployment of learning support assistants is to provide additional support to low achieving pupils. However, so far research on the effects of this strategy is very limited. In this study the effect of using trained learning support assistants to help pupils underachieving in mathematics is examined using a quasi-experimental design whereby pupils receiving support were matched to those not receiving support on prior achievement and pupil background factors.   ",0.098,0.08
37671575,Nelson (2010),2010,"Broadly, the current study contributes to the growing body of evidence supporting the positive effects of PA (phonological awareness) interventions for preschoolers, demonstrating that PA instruction need not be postponed until kindergarten. Specifically, the current study addresses the paucity of research on PA training in preschool by testing the efficacy of a supplemental cohesive and explicit PA focused intervention that has been shown in previous studies to improve PA and alphabetic knowledge of at-risk kindergarteners. Second, the current study employs community-based paraeducator tutors as interventionists, and in so doing, extends other early K-1 reading research showing that paraeducators can deliver supplemental early reading interventions with a high degree of fidelity, particularly if the interventions are well scripted for non-certificated teachers' use. Finally, the authors chose to use a modified form of Interactive Book Reading as their comparison (control) condition to (a) control for supplemental instruction time and consistency, and (b) provide an alternative intervention approach appropriate for preschoolers. Indeed, studies support the benefit of interactive storybook reading for building emergent literacy skills  however, supplemental instruction that focuses on vocabulary acquisition has not, to date, been tested against explicit supplemental instruction in PA focused instruction with diverse (i.e., low socioeconomic, limited English proficiency) preschool children. Thus, this study also provides information regarding the relative impact of two approaches on preschoolers' PA and alphabetic and vocabulary knowledge. The primary research questions for the current study were  (a) does a supplemental PA focused intervention implemented by paraeducators have a direct, positive impact on at-risk preschool children's literacy outcomes?, and (b) does the intervention have a unique impact on children's outcomes, after controlling for pretest skill, classroom and home literacy environments, and treatment fidelity? (Contains 1 table.) ",0.6924,0.22
38296657,Nunes (2018),2018,"1stClass@Number was developed by the Every Child Counts (ECC) team at Edge Hill University to support pupils who are struggling with mathematics. The ECC team trained teaching assistants (TAs) to deliver highly scripted lessons to small groups of up to four children. The programme is normally implemented outside of mathematics lessons in other lesson time. It covers five basic mathematics topics  the number system, place value, addition, subtraction, and multiplication. The lessons include the teaching of procedures (for example, counting on, counting up to, counting backwards, and counting in twos and in fives), mathematical signs (+, -, =) and mathematical language and concepts (such as more, less, and equal). Schools are advised to deliver 30 lessons of approximately half an hour, usually three times a week for ten weeks, and are encouraged to deliver additional sessions for pupils who need them. A classroom teacher colleague (the “Link Teacher”) is expected to meet the TA once a week to help them review and plan upcoming lessons, and provide feedback. 1stClass@Number was evaluated using a randomised controlled trial. 133 schools in South and West Yorkshire each nominated four children in Year 2 to participate in the project. The schools were then randomly assigned either to receive the intervention or to continue with their normal teaching in Year 2 and receive the opportunity to implement another ECC intervention with a different year group. The primary outcome for the trial was the Quantitative Reasoning Test, which focuses on number knowledge and mathematical problem solving, and the secondary outcome was performance in end-of-KS1 maths tests. A process evaluation collected additional data through observations, questionnaires, and phone interviews. The recruitment of schools began in September 2015 and the research completed in July 2017. The implementation of the intervention took place, approximately, between September 2016 and February 2017. Key",0.18,0.1301
38296659,Patel (2017),2017,"Switch-on is an intensive, targeted literacy intervention that aims to improve the reading skills of pupils who are struggling with literacy. There are two versions of the intervention  Switch-on Reading and Switch-on Reading and Writing. Both involve specially trained Teaching Assistants (TAs) delivering a tailored programme of literacy support in daily 20-minute sessions over a ten-week period. A previous EEF-funded evaluation of Switch-on had shown signs of promise in raising reading outcomes for Year 7 pupils, hence a larger scale effectiveness evaluation was conducted. Each of the 184 participating schools were randomly assigned to receive either Switch-on Reading, Switch-on Reading and Writing, or continue their usual practices of supporting pupils with reading difficulties (called ‘business as usual’ control). Between two and four TAs in each school were trained to deliver the interventions by a team of trainers who were distinct from the developers. TAs received 1.5 days training for Switch-on Reading, and 2.5 days for Switch-on Reading and Writing. Each TA worked with between two and four Year 3 pupils who had not met age-related expectations in literacy at the end of Key Stage 1, and who did not have a high level of special needs. In total, 999 pupils were involved in the trial. The primary outcome measure was the Hodder Group Reading Test 2A. The evaluation was conducted over the 2015/2016 academic year. A process and implementation evaluation was carried out which included depth telephone interviews with the developers, trainers, and TAs, and six case studies incorporating the views of TAs, class teachers, and Switch-on co-ordinators in the school.",0.001,0.0663
37671611,Ratcliff (2009),2009,"Reading First (RF) is the largest and the foremost federal initiative in improving reading achievement of struggling students in high-poverty, low performing schools in the U.S. The purpose of this study was to investigate the efficacy of the RF program on the early literacy acquisition of young children. The primary research question was to investigate whether first grade students in RF schools would have better reading performances than those students in non-RF schools as measured by Dynamic Indicators of Basic Early Literacy Skills (DIBELS) subtests. The secondary research question was concerned with whether third and fourth grade students in RF schools performed better than those students in non-RF schools on statewide-mandated English Language Arts (ELA) assessment measures. A three-year longitudinal study was conducted to examine the ELA scores between 2006 and 2008. The data were obtained from six elementary schools in two rural school districts in Louisiana. The results showed that the first grade RF students had better performances in reading than the non-RF students at the beginning of the school year 2007–08. However, the differences in the adjusted means of the DIBELS subtests (Nonsense Word Fluency and Oral Reading Fluency) were not statistically significant at the end of the school year. Also, all of the first graders in both the RF and non-RF schools demonstrated significant gains in their reading skills. As the non-RF schools had adopted some of the RF components in their reading instruction, the findings indicated that the RF practices, which were based on scientifically based reading research (SBRR), helped produce positive reading outcomes in both RF and non-RF classrooms. The study also confirmed the efficacy of using well-trained paraprofessionals as intervention implementers. As for the statewide-mandated ELA assessment, the findings of the longitudinal study indicated that the students in the RF schools performed better than those in the non-RF schools on statewide-mandated ELA assessments between 2006 and 2008. The study provided evidence that the efforts of the RF program in implementing research-based reading instructional strategies into classrooms were successful. Recommendations for future studies and implications for practice were discussed. ",0.2725,0.1128
37671612,Roberts (2010),2010,"This article describes an investigation into the outcomes of a school-based initiative to improve the word reading skills of a group of secondary school students (n = 77). The project involved the delivery of an enhanced precision teaching (PT) programme across two cohorts of students by teaching assistants (TAs) in each school who themselves received ongoing training and support throughout the project. Using a quasi-experimental design the research points to the contribution of this approach to PT in promoting basic reading skills. This was achieved through elaborating on the formative aspects of PT and increased structure to intervention delivery and the continuous development of staff skills. As a venture networking schools, a local authority educational psychology service and a university department, it is suggested this research reflects a description of how contemporary educational psychology services might operate. This article describes an investigation into the outcomes of a school-based initiative to improve the word reading skills of a group of secondary school students (n = 77). The project involved the delivery of an enhanced precision teaching (PT) programme across two cohorts of students by teaching assistants (TAs) in each school who themselves received ongoing training and support throughout the project. Using a quasi-experimental design the research points to the contribution of this approach to PT in promoting basic reading skills. This was achieved through elaborating on the formative aspects of PT and increased structure to intervention delivery and the continuous development of staff skills. As a venture networking schools, a local authority educational psychology service and a university department, it is suggested this research reflects a description of how contemporary educational psychology services might operate.",0.3967,0.2865
40398944,Roy (2019),2019,"Catch Up® Literacy is a structured one-to-one intervention that aims to improve the reading ability of struggling readers. The intervention is book-based and comprises two 15-minute sessions each week on a one-to-one basis. Students receive Catch Up® for approximately 6 to 12 months depending on individual need  once the pupil’s reading age has caught up to their chronological reading age, they leave the programme. Schools receive three half-day training sessions for the Teaching Assistants (TAs) who deliver the intervention and their designated Catch Up® Literacy coordinator in their school, as well as materials to support the one-to-one sessions. The project was a randomised controlled trial. One hundred and fifty six primary schools were randomised to receive Catch Up® Literacy or to continue with their existing practices and act as Business as Usual (BaU) control schools. All the schools nominated up to 12 pupils in Years 4 or 5 (aged eight to ten years old) who were underperforming or struggling with literacy. The purpose of this trial was to evaluate the effect of Catch Up® Literacy over existing practice - ‘Business as Usual’ - for these pupils. The evaluation sought to answer the primary research question  what is the impact of Catch Up® Literacy on Year 4 and Year 5 pupils’ reading comprehension skills as measured by the Hodder Group Reading Test (HGRT). The implementation and process evaluation drew on observations of training sessions, surveys of TAs and coordinators, and telephone interviews in Catch Up® schools and a termly activity log for the BaU control schools.",0.01,0.0867
38296668,Rutt (2014),2014,"Catch Up® Numeracy is a one to one intervention for learners who are struggling with numeracy. It consists of two 15-minute sessions per week, delivered by teaching assistants (TAs). The approach is based on research indicating that numeracy is not a single skill, but a composite of several component skills that are relatively discrete. The intervention breaks numeracy down into ten elements, including counting verbally, counting objects, word problems and estimation. Pupils are assessed on each component and instruction is targeted on those areas requiring development. In this evaluation, the intervention was run for 30 weeks and delivered to Year 2-6 pupils who were struggling with numeracy, as identified by TAs. The Catch Up Numeracy intervention was compared to a ‘business as usual’ control group and a ‘time equivalent’ intervention group, who received the same amount of one to one teaching by TAs, but did not use Catch Up Numeracy. Those TAs delivering Catch Up Numeracy were supplied with detailed session plans and received three half-day training sessions, led by Catch Up and Dr Ann Dowker of the University of Oxford. The project ran from September 2012 to July 2013. The overall effect size of Catch Up Numeracy in comparison to the ‘business as usual’ control group was +0.21, meaning the programme led to a noticeable improvement in numeracy outcomes. This effect size suggests that, on average, pupils receiving the interventions would make approximately three additional months of progress over the course of the year compared to pupils that did not. However, the ‘time equivalent’ group also showed similar significant gains (+0.27), suggesting the effect is likely to be a result of regular and sustained one to one teaching, rather than an intrinsic benefit of Catch Up Numeracy. The study demonstrates that one to one teaching with TAs is an effective strategy to increase numeracy skills in Year 2-6 pupils. Sub-group analysis did not identify any differential effects for pupil gender or eligibility for free school meals. The process evaluation indicated that most TAs valued Catch Up Numeracy and believed it had a positive impact on pupils’ confidence, engagement with learning and willingness to attempt numeracy problems.",0.21,0.1097
