id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,hw_dur,hw_dur_info,hw_dur_tot_time,hw_who_involved,hw_par_role,hw_where,hw_mark_method_info
49048436,Schwankl (2013),2013,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",2.4639,0.4008,['Post-test unadjusted (select one from this group)'],Posttest,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",2.4639,0.4008,NA,NA,NA,NA,NA,NA,46,1,NA,['Secondary/High school'],"['14', '15', '16', '17']",NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['No'],['Yes'],['No'],['Evenings and/or weekends'],"['Research staff', 'Digital technology']",6,5,60,['Toolkit: Homework'],['No'],NA,NA,['Individual students working on their own'],NA,['Not especified / Unclear'],['No']
48091561,Smith (2015),2015,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1049,0.211,['Post-test unadjusted (select one from this group)'],Unit Exam Scores,With business as usual,['Sample: All'],Mathematics,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1049,0.211,NA,NA,NA,NA,NA,NA,90,1,4,['Middle school'],"['10', '11']",NA,NA,['USA'],['Cluster RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['No'],['Yes'],['No'],"['During regular school hours ', 'Evenings and/or weekends']","['Class teachers', 'Digital technology']",6,2,60,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],NA,3.75,['Individual students working on their own'],NA,"['At school', 'At home']",['Yes (Please highlight the relevant text in the study report)']
48091573,Spilka (2014),2014,['Technical report'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7401,0.282,['Post-test unadjusted (select one from this group)'],Mathematics Achievement,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7401,0.282,NA,NA,NA,NA,NA,NA,54,2,2,['Secondary/High school'],"['13', '14']",NA,NA,['Czech Republic'],['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['No'],['Yes'],['No'],"['During regular school hours ', 'Evenings and/or weekends']",['Digital technology'],20,Not provided,Not provided,['Toolkit: Homework'],['No'],NA,NA,"['Individual students working on their own', 'Students working together (collaborative homework)']",NA,['At home'],['No']
49048455,Tamayo (1992),1992,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1661,0.3601,NA,Mathematics Test,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1661,0.3601,NA,NA,NA,NA,NA,NA,59,1,NA,['Middle school'],"['12', '13']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['Yes'],['Before/after school'],['Parents/carers'],9,"Not specified, parents support students with their homework, they were contacted by the researcher on a weekly basis but this is not really relevant to the intervention.","Not specified, could vary between students",['Toolkit: Homework'],['No'],Not specified,NA,['Parents or other family members.'],"['Direct help or involvement with the homework', 'Encouragement and general support']",['At home'],['No']
48091562,Tsai (2015),2015,['Journal article'],['Homework'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.589,0.2066,['Post-test unadjusted (select one from this group)'],Writing Grades,With business as usual,['Sample: All'],Literacy  writing,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,1,2,['Primary/elementary school'],"['11', '12']",NA,NA,['Taiwan'],['Prospective QED'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)']",['Unclear/ Not specified'],['Yes'],['No'],"['During regular school hours ', 'Evenings and/or weekends']","['Class teachers', 'Digital technology']",20 ,1,40,['Toolkit: Sports participation'],['Yes (Please highlight the relevant text in the study report)'],"There is some information on how long students spent on homework. The video was 10 minutes long, however it is not stated how long any additional discussion with peers online may have been.",0.167,"['Students working together (collaborative homework)', 'Individual students working on their own']",NA,['At home'],['Unclear']
48091544,Tupesis (1972),1972,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.7185,0.3157,NA,Post test Achievement Test,,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.7185,0.3157,NA,NA,NA,NA,NA,NA,43,1,2,['Secondary/High school'],"['14', '15', '16', '17', '18']",NA,NA,['USA'],['Cluster RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],9 ,5,55 ,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],NA,1.25,"['Individual students working on their own', 'Students working together (collaborative homework)']",NA,['At school'],['Yes (Please highlight the relevant text in the study report)']
49048483,Van Voorhis (2011),2011,['Journal article'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3959,0.1793,['Post-test adjusted for baseline attainment AND clustering'],Maths Achievement,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3959,0.1793,NA,NA,NA,NA,NA,NA,304,4,NA,"['Primary/elementary school', 'Home']","['8', '9', '10']",NA,NA,['USA'],['Prospective QED'],['One to one'],['Unclear/ Not specified'],['No'],['Yes'],['Evenings and/or weekends'],['Parents/carers'],72,1,Not specified,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],NA,1.167,['Parents or other family members.'],"['Direct help or involvement with the homework', 'Encouragement and general support']",['At home'],['Yes (Please highlight the relevant text in the study report)']
48091574,Wiginton (2013) 1_1,2013,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7446,0.3285,NA,Mathematics Self-Efficacy Scale-Revised (MSES-R) posttest,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7446,0.3285,NA,NA,NA,NA,NA,NA,66 ,1,2,['Secondary/High school'],"['14', '15']",NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'One to one', 'Paired learning']",['No'],NA,['Yes'],"['During regular school hours ', 'Before/after school']",['Class teachers'],16,5,90,['Toolkit: Homework'],['No'],NA,NA,"['Individual students working on their own', 'Parents or other family members.']",['Encouragement and general support'],['At home'],['No']
57768747,Wiginton (2013) 1_2,2013,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",1.5334,0.3392,['Post-test unadjusted (select one from this group)'],QualityCore EOC Maths assessment,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",1.5334,0.3392,NA,NA,NA,NA,NA,NA,48,1,2,['Secondary/High school'],"['14', '15']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['Yes'],['No'],"['During regular school hours ', 'Evenings and/or weekends']",['Class teachers'],16,3,60,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],NA,2.5,"['Students working together (collaborative homework)', 'Individual students working on their own']",NA,"['At school', 'At home']",['Yes (Please highlight the relevant text in the study report)']
48091563,Yousefzadeh (2015),2015,['Journal article'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",1.8261,0.3409,NA,Math test,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",1.8261,0.3409,NA,NA,NA,NA,NA,NA,250,1,10,['Secondary/High school'],"['7', '8']",NA,NA,['Iran'],['Prospective QED'],['Student alone (self-administered)'],['Unclear/ Not specified'],['Yes'],['No'],['Before/after school'],"['Class teachers', 'Digital technology']",8,5,60,['Toolkit: Homework'],['No'],NA,NA,"['Students working together (collaborative homework)', 'Individual students working on their own']",NA,"['At home', 'At school']",['Yes (Please highlight the relevant text in the study report)']
