id,pub_author,pub_year,strand_raw,strand_info,toolkit_version,out_tit_tool,out_desc_tool,out_type_tool,smd_tool,se_tool,out_measure_tool,out_g1_n_tool,out_g1_mean_tool,out_g1_sd_tool,out_g2_n_tool,out_g2_mean_tool,out_g2_sd_tool,ci_lower_tool,ci_upper_tool,out_label_tool,out_samp_tool,out_comp_tool,out_es_type_tool,out_test_type_raw_tool,out_tit_red,out_desc_red,out_type_red,smd_red,se_red,out_measure_red,out_g1_n_red,out_g1_mean_red,out_g1_sd_red,out_g2_n_red,out_g2_mean_red,out_g2_sd_red,ci_lower_red,ci_upper_red,out_label_red,out_samp_red,out_comp_red,out_es_type_red,out_test_type_raw_red,out_tit_wri,out_desc_wri,out_type_wri,smd_wri,se_wri,out_measure_wri,out_g1_n_wri,out_g1_mean_wri,out_g1_sd_wri,out_g2_n_wri,out_g2_mean_wri,out_g2_sd_wri,ci_lower_wri,ci_upper_wri,out_label_wri,out_samp_wri,out_comp_wri,out_es_type_wri,out_test_type_raw_wri,out_tit_math,out_desc_math,out_type_math,smd_math,se_math,out_measure_math,out_g1_n_math,out_g1_mean_math,out_g1_sd_math,out_g2_n_math,out_g2_mean_math,out_g2_sd_math,ci_lower_math,ci_upper_math,out_label_math,out_samp_math,out_comp_math,out_es_type_math,out_test_type_raw_math,out_tit_sci,out_desc_sci,out_type_sci,smd_sci,se_sci,out_measure_sci,out_g1_n_sci,out_g1_mean_sci,out_g1_sd_sci,out_g2_n_sci,out_g2_mean_sci,out_g2_sd_sci,ci_lower_sci,ci_upper_sci,out_label_sci,out_samp_sci,out_comp_sci,out_es_type_sci,out_test_type_raw_sci,out_tit_fsm,out_desc_fsm,out_type_fsm,smd_fsm,se_fsm,out_measure_fsm,out_g1_n_fsm,out_g1_mean_fsm,out_g1_sd_fsm,out_g2_n_fsm,out_g2_mean_fsm,out_g2_sd_fsm,ci_lower_fsm,ci_upper_fsm,out_label_fsm,out_samp_fsm,out_comp_fsm,out_es_type_fsm,out_test_type_raw_fsm
74069965,Kotsopoulos (2009),2009,['Peer tutoring'],NA,NA,TE_WIAT Written Expression total table 5a and 5d,WIAT writing,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.8529,0.3219,Literacy  writing,24,15.12,5.1,19,11,4.24,0.222,1.4838,Primary outcome,['Sample: Low achievers'],With active control,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069966,Lee (2014),2014,['Peer tutoring'],NA,['MT_2023 (in progress)'],Reading skills (posttest),"This standardized reading test contains four sets of tests (one set for each grade from Grade 3 to 6), with each set parallel in format. The two parallel tests for Grade 3 were used and administered for this study, with one as a pretest and the other as a posttest to assess the effects of PALS implementation. Each test comprised of 25 multiple-choice items where 4–5 items assessed vocabulary and 20–21 item evaluated reading comprehension. Students were given 40 min to complete the test. Cronbach’s alpha was .70 at pretest and .69 at posttest.","['Toolkit primary outcome', 'Reading primary outcome']",0.4232,0.1974,Literacy  reading comprehension,53,71.21,15.24,52,64.11,17.98,0.0362,0.8102,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],Reading skills (posttest),"This standardized reading test contains four sets of tests (one set for each grade from Grade 3 to 6), with each set parallel in format. The two parallel tests for Grade 3 were used and administered for this study, with one as a pretest and the other as a posttest to assess the effects of PALS implementation. Each test comprised of 25 multiple-choice items where 4–5 items assessed vocabulary and 20–21 item evaluated reading comprehension. Students were given 40 min to complete the test. Cronbach’s alpha was .70 at pretest and .69 at posttest.","['Toolkit primary outcome', 'Reading primary outcome']",0.4232,0.1974,Literacy  reading comprehension,53,71.21,15.24,52,64.11,17.98,0.0362,0.8102,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069967,Li (2006) 1_1,2006,['Peer tutoring'],NA,NA,T&T_ Reading comprehension test (RSA vs CA),The test was previously used in a similar Flemish study and was translated into Chinese,"['Toolkit primary outcome', 'Reading primary outcome']",-0.9008,0.1705,Literacy  reading comprehension,114,0.08,0.154,56,0.46,0.7,-1.235,-0.5666,Primary outcome,['Sample: All'],With active control,['Post-test adjusted for baseline attainment AND clustering'],['Test type: Standardised test '],T&T_ Reading comprehension test (RSA vs CA),The test was previously used in a similar Flemish study and was translated into Chinese,"['Toolkit primary outcome', 'Reading primary outcome']",-0.9008,0.1705,Literacy  reading comprehension,114,0.08,0.154,56,0.46,0.7,-1.235,-0.5666,Primary outcome,['Sample: All'],With active control,['Post-test adjusted for baseline attainment AND clustering'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069968,Li (2006) 1_2,2006,['Peer tutoring'],NA,['MT_2023 (in progress)'],Reading comprehension (CA vs RS),"we measured seven separate domains of students’ reading comprehension  understanding specific words, phrases or sentences in the context  identifying specific information or details  summarizing main idea of paragraph(s) or whole text  recognizing the structure or genre of the text  understanding the logic or reasoning in a text  appreciating the mood, emotion of characters or author  recognizing the viewpoint of a character or the author. The content of the reading comprehension tests is in general agreement with most of the tests in reading in use","['Toolkit primary outcome', 'Reading primary outcome']",-0.5092,0.1572,Literacy  reading comprehension,160,0.04,0.86,56,0.46,0.7,-0.8174,-0.2011,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],Reading comprehension (CA vs RS),"we measured seven separate domains of students’ reading comprehension  understanding specific words, phrases or sentences in the context  identifying specific information or details  summarizing main idea of paragraph(s) or whole text  recognizing the structure or genre of the text  understanding the logic or reasoning in a text  appreciating the mood, emotion of characters or author  recognizing the viewpoint of a character or the author. The content of the reading comprehension tests is in general agreement with most of the tests in reading in use","['Toolkit primary outcome', 'Reading primary outcome']",-0.5092,0.1572,Literacy  reading comprehension,160,0.04,0.86,56,0.46,0.7,-0.8174,-0.2011,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069969,Li (2006) 1_3,2006,['Peer tutoring'],NA,NA,Reading comprehension test (RSA vs RS),"With the reading comprehension tests for 2nd grade students, we intended to measure several aspects of students’ reading comprehension skills, e.g., finding out the meaning of specific words, phrases or sentences from the contexts  understanding the main ideas of paragraphs or the whole texts  recognizing the structure or genre  appreciating the mood or emotion of the characters in the stories, or inferring authors’ purpose to write the texts, etc.","['Toolkit primary outcome', 'Reading primary outcome']",0.3607,0.1141,Literacy  reading comprehension,191,1.33,0.45,132,1.15,0.56,0.1371,0.5843,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],Reading comprehension test (RSA vs RS),"With the reading comprehension tests for 2nd grade students, we intended to measure several aspects of students’ reading comprehension skills, e.g., finding out the meaning of specific words, phrases or sentences from the contexts  understanding the main ideas of paragraphs or the whole texts  recognizing the structure or genre  appreciating the mood or emotion of the characters in the stories, or inferring authors’ purpose to write the texts, etc.","['Toolkit primary outcome', 'Reading primary outcome']",0.3607,0.1141,Literacy  reading comprehension,191,1.33,0.45,132,1.15,0.56,0.1371,0.5843,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069970,Li (2006) 1_4,2006,['Peer tutoring'],NA,['MT_2023 (in progress)'],Reading comprehension test (CA vs RS),"With the reading comprehension tests for 2nd grade students, we intended to measure several aspects of students’ reading comprehension skills, e.g., finding out the meaning of specific words, phrases or sentences from the contexts  understanding the main ideas of paragraphs or the whole texts  recognizing the structure or genre  appreciating the mood or emotion of the characters in the stories, or inferring authors’ purpose to write the texts, etc.","['Toolkit primary outcome', 'Reading primary outcome']",0,0.1117,Literacy  reading comprehension,204,1.15,0.5,132,1.15,0.56,-0.2189,0.2189,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],Reading comprehension test (CA vs RS),"With the reading comprehension tests for 2nd grade students, we intended to measure several aspects of students’ reading comprehension skills, e.g., finding out the meaning of specific words, phrases or sentences from the contexts  understanding the main ideas of paragraphs or the whole texts  recognizing the structure or genre  appreciating the mood or emotion of the characters in the stories, or inferring authors’ purpose to write the texts, etc.","['Toolkit primary outcome', 'Reading primary outcome']",0,0.1117,Literacy  reading comprehension,204,1.15,0.5,132,1.15,0.56,-0.2189,0.2189,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069971,Li (2012) 1_1,2012,['Peer tutoring'],NA,NA,TE_PRI_Non Monetary ES from page 344,ES diff in diff adjusted ,"['Toolkit primary outcome', 'Other outcome']",0.615,0.26,Curriculum  other,NA,NA,NA,NA,NA,NA,0.1054,1.1246,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test adjusted for baseline attainment AND clustering'],['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069972,Li (2012) 1_2,2012,['Peer tutoring'],NA,['MT_2023 (in progress)'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069973,Mackley (2009),2009,['Peer tutoring'],NA,NA,REC_LNF,Letter Naming Fluency,"['Toolkit primary outcome', 'Reading primary outcome']",-0.5896,0.4843,Literacy  reading other,9,51.56,37.52,9,68.11,4.65,-1.5389,0.3597,Secondary outcome(s),['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],REC_LNF,Letter Naming Fluency,"['Toolkit primary outcome', 'Reading primary outcome']",-0.5896,0.4843,Literacy  reading other,9,51.56,37.52,9,68.11,4.65,-1.5389,0.3597,Secondary outcome(s),['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069974,Marshak (2011),2011,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_Total gain Scores Table 2,Social Studies school tests,"['Toolkit primary outcome', 'Other outcome']",0.8661,0.1745,Social Studies,72,33,8.44,72,24.72,10.47,0.5241,1.2082,Primary outcome,['Sample: All'],With business as usual,['Pre-post gain'],['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069975,Martí-Alcaide (2021),2021,['Peer tutoring'],NA,['MT_2023 (in progress)'],T&T_Maths Post test v pre test table 4,,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.6251,0.4859,Mathematics,9,8.29,1,9,7.16,2.22,-0.3273,1.5775,Primary outcome,['Sample: All'],With business as usual,['Pre-post gain'],['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T&T_Maths Post test v pre test table 4,,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.6251,0.4859,Mathematics,9,8.29,1,9,7.16,2.22,-0.3273,1.5775,Primary outcome,['Sample: All'],With business as usual,['Pre-post gain'],['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069976,Mastropieri (2005),2005,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_Chemistry Posttest Peer tutoring v traditional control special ed and general ed combined table 2,Researcher made chemistry test,"['Toolkit primary outcome', 'Science primary outcome']",0.7925,0.334,Science,19,21.688,5.587,20,16.856,6.316,0.1378,1.4473,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,REC_Chemistry Posttest Peer tutoring v traditional control special ed and general ed combined table 2,Researcher made chemistry test,"['Toolkit primary outcome', 'Science primary outcome']",0.7925,0.334,Science,19,21.688,5.587,20,16.856,6.316,0.1378,1.4473,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069977,Mattatall (2017),2017,['Peer tutoring'],NA,['MT_2023 (in progress)'],T&T_Reading f ratio in text page 163,DRA district reading test,"['Toolkit primary outcome', 'Reading primary outcome']",0.2707,0.058,Literacy  reading other,NA,NA,NA,NA,NA,NA,0.157,0.3844,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: School-developed test'],T&T_Reading f ratio in text page 163,DRA district reading test,"['Toolkit primary outcome', 'Reading primary outcome']",0.2707,0.058,Literacy  reading other,NA,NA,NA,NA,NA,NA,0.157,0.3844,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069978,McDuffie (2009),2009,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_Peer Tutoring vs non Peer Tutoring table 2,Cumulative academic content measures,"['Toolkit primary outcome', 'Other outcome']",0.113,0.1437,Combined subjects,98,0.67,0.168,96,0.651,0.167,-0.1687,0.3947,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test adjusted for baseline attainment AND clustering'],['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069981,Mitchell (2016),2016,['Peer tutoring'],NA,['MT_2023 (in progress)'],TE_SUB_Gain second grade tutees post vs pre,Dictated words correct,"['Toolkit primary outcome', 'Reading primary outcome']",0.2721,0.3288,Literacy  spelling,28,41.8,7.9,14,39.6,8,-0.3724,0.9166,Secondary outcome(s),['Sample: All'],,['Pre-post gain'],['Test type: Standardised test '],TE_SUB_Gain second grade tutees post vs pre,Dictated words correct,"['Toolkit primary outcome', 'Reading primary outcome']",0.2721,0.3288,Literacy  spelling,28,41.8,7.9,14,39.6,8,-0.3724,0.9166,Secondary outcome(s),['Sample: All'],,['Pre-post gain'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069982,Müller (2016),2016,['Peer tutoring'],NA,['MT_2023 (in progress)'],TE_PRI_ELFE tutees posttest reading strategy v control,standardised reading comprehension test,"['Toolkit primary outcome', 'Reading primary outcome']",0.3138,0.2441,Literacy  reading comprehension,34,8.85,3.14,34,7.85,3.16,-0.1646,0.7923,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],TE_PRI_ELFE tutees posttest reading strategy v control,standardised reading comprehension test,"['Toolkit primary outcome', 'Reading primary outcome']",0.3138,0.2441,Literacy  reading comprehension,34,8.85,3.14,34,7.85,3.16,-0.1646,0.7923,Primary outcome,['Sample: Low achievers'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069983,Nnamani (2020),2020,['Peer tutoring'],NA,NA,REC Expository Essay writing Interest Inventory (EEWII),"Posttest means and SD's for essay interest as per the EEWII. As noted, this outcome is related to interest rather than direct academic achievement","['Toolkit primary outcome', 'Writing and spelling primary outcome.']",1.747,0.2739,Curriculum  other,35,73.22,9.4,40,58.35,7.47,1.21,2.2839,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069984,Ohadugha (2020),2020,['Peer tutoring'],NA,['MT_2023 (in progress)'],BCSAT,"Basic Computer Skill Acquisition Test (BCSAT) contained questions drawn from related WASCE past questions papers on Computer Science. The test instrument has two sections. Section A which contained twenty (20) items multiple choice questions was aimed at testing students’ theoretical knowledge while section B which had five questions, each containing practical demonstrative steps aimed at testing students’ psychomotor skills as well as their practical utilization of the computer which covered topics on Word Processor, the Internet and Email.","['Toolkit primary outcome', 'Other outcome']",2.94,0.3225,Curriculum  other,NA,NA,NA,NA,NA,NA,2.3079,3.5721,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069985,Oloyede (2019),2019,['Peer tutoring'],NA,['MT_2023 (in progress)'],CAT (PT vs TE),"The questions for Chemistry Achievement Test were obtained from past questions of West Africa Examination Council (WAEC) in Chemistry. The CAT consisted of two sections. Section A dealt with personal data of the students with respect to  name, age, class and sex.","['Toolkit primary outcome', 'Science primary outcome']",1.24,0.25,Science,NA,NA,NA,NA,NA,NA,0.75,1.73,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT (PT vs TE),"The questions for Chemistry Achievement Test were obtained from past questions of West Africa Examination Council (WAEC) in Chemistry. The CAT consisted of two sections. Section A dealt with personal data of the students with respect to  name, age, class and sex.","['Toolkit primary outcome', 'Science primary outcome']",1.24,0.25,Science,NA,NA,NA,NA,NA,NA,0.75,1.73,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069986,Olulowo (2020),2020,['Peer tutoring'],NA,['MT_2023 (in progress)'],FAAT,,"['Toolkit primary outcome', 'Mathematics primary outcome']",3.6184,0.2828,Mathematics,53,23.302,0.35,84,15.648,0.243,3.0641,4.1726,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAAT,,"['Toolkit primary outcome', 'Mathematics primary outcome']",3.6184,0.2828,Mathematics,53,23.302,0.35,84,15.648,0.243,3.0641,4.1726,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069987,Onabanjo (2006),2006,['Peer tutoring'],NA,['MT_2023 (in progress)'],MAT,Mathematics achievement test (MAT),"['Toolkit primary outcome', 'Mathematics primary outcome']",2.4425,0.1579,Mathematics,NA,NA,NA,NA,NA,NA,2.133,2.752,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAT,Mathematics achievement test (MAT),"['Toolkit primary outcome', 'Mathematics primary outcome']",2.4425,0.1579,Mathematics,NA,NA,NA,NA,NA,NA,2.133,2.752,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
